LABEL,BAND,START,STOP,CENTRE,FWHM,NAME
M3M Green,S1,534,566,550,?,GREEN
M3M NIR,S2,834,886,860,?,NIR
M3M RED EDGE ,S3,714,746,730,?,RED EDGE
M3M RED,S4,634,666,650,?,RED
MAIA VIOLET,S1,433,453,443,20,VIOLET
MAIA BLUE,S2,457.5,522.5,490,65,BLUE
MAIA GREEN,S3,542.5,577.5,560,35,GREEN
MAIA RED,S4,650,680,665,30,RED
MAIA RED EDGE 1,S5,697.5,712.5,705,15,RED EDGE 1
MAIA RED EDGE 2,S6,732.5,747.5,740,15,RED EDGE 2
MAIA NIR 1,S7,773,793,783,20,NIR 1
MAIA NIR 2,S8,784.5,899.5,842,115,NIR 2
MAIA NIR 3,S9,855,875,865,20,NIR 3
