"","sample.id","latitude","longitude","first.yr","last.yr","n.yr.obs","trend.period","si","slope","intercept","tau","pval","total.change","total.change.pcnt","trend.cat"
"1","blaesedalen_1",69.3001828,-53.4686378,2000,2020,20,"2000to2020","ndvi.max",-0.00165,0.6774,-0.135,0.4415,-0.035,-5.2,"no_trend"
"2","blaesedalen_10",69.2998367,-53.4648865,2000,2020,20,"2000to2020","ndvi.max",-0.0038,0.6423,-0.392,0.0209,-0.08,-12.5,"browning"
"3","blaesedalen_100",69.2974975,-53.469076,2000,2020,20,"2000to2020","ndvi.max",-0.00141,0.579,-0.24,0.1617,-0.03,-5.2,"no_trend"
"4","blaesedalen_101",69.297482,-53.468317,2000,2020,20,"2000to2020","ndvi.max",-0.00243,0.7863,-0.228,0.1837,-0.051,-6.5,"no_trend"
"5","blaesedalen_102",69.2974665,-53.4675581,2000,2020,19,"2000to2020","ndvi.max",-0.00266,0.4703,-0.203,0.2558,-0.056,-11.9,"no_trend"
"6","blaesedalen_103",69.297451,-53.4667991,2000,2020,19,"2000to2020","ndvi.max",-0.00126,0.7761,-0.111,0.5445,-0.026,-3.4,"no_trend"
"7","blaesedalen_105",69.2974199,-53.4652812,2000,2020,18,"2000to2020","ndvi.max",-0.00251,0.7008,-0.265,0.1494,-0.053,-7.6,"no_trend"
"8","blaesedalen_106",69.2974044,-53.4645223,2000,2020,20,"2000to2020","ndvi.max",-0.00313,0.6139,-0.298,0.0802,-0.066,-10.8,"browning"
"9","blaesedalen_107",69.2973889,-53.4637633,2000,2020,20,"2000to2020","ndvi.max",-0.00504,0.42,-0.38,0.0252,-0.106,-25.2,"browning"
"10","blaesedalen_108",69.2973734,-53.4630044,2000,2020,18,"2000to2020","ndvi.max",-0.00374,0.5385,-0.206,0.2661,-0.079,-14.7,"no_trend"
"11","blaesedalen_109",69.2972445,-53.4698787,2000,2020,18,"2000to2020","ndvi.max",-0.00205,0.4549,-0.191,0.3031,-0.043,-9.5,"no_trend"
"12","blaesedalen_110",69.297229,-53.4691198,2000,2020,18,"2000to2020","ndvi.max",-0.00128,0.4207,-0.191,0.3031,-0.027,-6.4,"no_trend"
"13","blaesedalen_111",69.2972135,-53.4683608,2000,2020,18,"2000to2020","ndvi.max",-0.00353,0.5541,-0.353,0.0529,-0.074,-13.4,"browning"
"14","blaesedalen_112",69.297198,-53.4676019,2000,2020,19,"2000to2020","ndvi.max",-0.00243,0.5051,-0.203,0.2558,-0.051,-10.1,"no_trend"
