X,Y,sample.id,first.yr,last.yr,n.yr.obs,trend.period,si,slope,intercept,tau,pval,total.change,total.change.pcnt,trend.cat
-53.4686378,69.3001828,blaesedalen_1,2000,2020,"20",2000to2020,ndvi.max,-0.00152,0.6317,-0.146,0.4011,-0.032,-5.1,no_trend
-53.4648865,69.2998367,blaesedalen_10,2000,2020,"20",2000to2020,ndvi.max,-0.0044,0.5664,-0.509,0.0026,-0.092,-16.2,browning
-53.469076,69.2974975,blaesedalen_100,2000,2020,"20",2000to2020,ndvi.max,-0.00241,0.6677,-0.275,0.1075,-0.051,-7.6,no_trend
-53.468317,69.297482,blaesedalen_101,2000,2020,"20",2000to2020,ndvi.max,-0.00338,0.7677,-0.357,0.0358,-0.071,-9.2,browning
-53.4675581,69.2974665,blaesedalen_102,2000,2020,"20",2000to2020,ndvi.max,-0.0034,0.5581,-0.357,0.0358,-0.071,-12.7,browning
-53.4667991,69.297451,blaesedalen_103,2000,2020,"20",2000to2020,ndvi.max,-0.00187,0.6497,-0.368,0.0301,-0.039,-6,browning
-53.4660402,69.2974355,blaesedalen_104,2000,2020,"20",2000to2020,ndvi.max,-0.00369,0.8491,-0.427,0.0118,-0.077,-9.1,browning
-53.4652812,69.2974199,blaesedalen_105,2000,2020,"19",2000to2020,ndvi.max,-0.00223,0.7054,-0.281,0.1116,-0.047,-6.7,no_trend
-53.4645223,69.2974044,blaesedalen_106,2000,2020,"20",2000to2020,ndvi.max,-0.00306,0.7478,-0.333,0.0501,-0.064,-8.6,browning
-53.4637633,69.2973889,blaesedalen_107,2000,2020,"20",2000to2020,ndvi.max,-0.005,0.4386,-0.462,0.0064,-0.105,-23.9,browning
-53.4630044,69.2973734,blaesedalen_108,2000,2020,"19",2000to2020,ndvi.max,-0.00221,0.6953,-0.163,0.3633,-0.046,-6.6,no_trend
-53.4698787,69.2972445,blaesedalen_109,2000,2020,"20",2000to2020,ndvi.max,-0.0017,0.5019,-0.275,0.1075,-0.036,-7.2,no_trend
-53.4694845,69.2996612,blaesedalen_11,2000,2020,"19",2000to2020,ndvi.max,0.0002,0.3541,0.033,0.8796,0.004,1.1,no_trend
-53.4691198,69.297229,blaesedalen_110,2000,2020,"20",2000to2020,ndvi.max,-0.00126,0.4152,-0.205,0.2342,-0.026,-6.3,no_trend
-53.4683608,69.2972135,blaesedalen_111,2000,2020,"20",2000to2020,ndvi.max,-0.00315,0.657,-0.368,0.0301,-0.066,-10,browning
-53.4676019,69.297198,blaesedalen_112,2000,2020,"20",2000to2020,ndvi.max,-0.00281,0.4657,-0.368,0.0301,-0.059,-12.7,browning
-53.4668429,69.2971824,blaesedalen_113,2000,2020,"20",2000to2020,ndvi.max,-0.00209,0.368,-0.263,0.1237,-0.044,-12,no_trend
