X,Y,sample.id,first.yr,last.yr,n.yr.obs,trend.period,si,slope,intercept,tau,pval,total.change,total.change.pcnt,trend.cat
-53.4686378,69.3001828,blaesedalen_1,2000,2020,"15",2000to2020,ndvi.max,-6e-05,0.6329,-0.033,0.9128,-0.001,-0.2,no_trend
-53.4648865,69.2998367,blaesedalen_10,2000,2020,"19",2000to2020,ndvi.max,-0.00292,0.6453,-0.346,0.0489,-0.061,-9.5,browning
-53.4675581,69.2974665,blaesedalen_102,2000,2020,"14",2000to2020,ndvi.max,-0.00164,0.7499,-0.205,0.3601,-0.034,-4.5,no_trend
-53.4667991,69.297451,blaesedalen_103,2000,2020,"15",2000to2020,ndvi.max,0.00065,0.709,0.077,0.7426,0.014,2,no_trend
-53.4660402,69.2974355,blaesedalen_104,2000,2020,"15",2000to2020,ndvi.max,-0.00185,0.8124,-0.165,0.4434,-0.039,-4.8,no_trend
-53.4645223,69.2974044,blaesedalen_106,2000,2020,"16",2000to2020,ndvi.max,-0.00194,0.5926,-0.295,0.1376,-0.041,-6.9,no_trend
-53.4637633,69.2973889,blaesedalen_107,2000,2020,"17",2000to2020,ndvi.max,-0.00478,0.4884,-0.417,0.0274,-0.1,-20.5,browning
-53.4630044,69.2973734,blaesedalen_108,2000,2020,"15",2000to2020,ndvi.max,0.00029,0.6077,0.033,0.9128,0.006,1,no_trend
-53.4683608,69.2972135,blaesedalen_111,2000,2020,"14",2000to2020,ndvi.max,-0.00255,0.6127,-0.231,0.2997,-0.054,-8.8,no_trend
-53.4676019,69.297198,blaesedalen_112,2000,2020,"15",2000to2020,ndvi.max,-0.00096,0.7478,-0.143,0.5112,-0.02,-2.7,no_trend
-53.4645661,69.2971359,blaesedalen_116,2000,2020,"16",2000to2020,ndvi.max,4e-05,0.5322,0.01,1,0.001,0.2,no_trend
-53.4638072,69.2971204,blaesedalen_117,2000,2020,"16",2000to2020,ndvi.max,-0.00387,0.801,-0.333,0.0925,-0.081,-10.1,browning
-53.4630483,69.2971049,blaesedalen_118,2000,2020,"16",2000to2020,ndvi.max,0.00076,0.6639,0.048,0.8431,0.016,2.4,no_trend
-53.4699225,69.2969759,blaesedalen_120,2000,2020,"14",2000to2020,ndvi.max,-0.00246,0.4922,-0.359,0.0995,-0.052,-10.6,browning
-53.4653689,69.2968829,blaesedalen_126,2000,2020,"14",2000to2020,ndvi.max,-0.00185,0.6757,-0.205,0.3601,-0.039,-5.8,no_trend
-53.4630921,69.2968363,blaesedalen_129,2000,2020,"15",2000to2020,ndvi.max,-0.00092,0.8236,-0.055,0.8267,-0.019,-2.3,no_trend
-53.4684484,69.2966764,blaesedalen_133,2000,2020,"14",2000to2020,ndvi.max,-0.00464,0.3583,-0.615,0.0041,-0.097,-27.1,browning
-53.463136,69.2965678,blaesedalen_140,2000,2020,"14",2000to2020,ndvi.max,-0.00112,0.588,-0.205,0.3601,-0.024,-4.1,no_trend
-53.4639827,69.2960463,blaesedalen_160,2000,2020,"14",2000to2020,ndvi.max,-0.00404,0.2815,-0.41,0.0586,-0.085,-30.2,browning
-53.4708566,69.2959173,blaesedalen_161,2000,2020,"15",2000to2020,ndvi.max,-0.00066,0.5733,-0.077,0.7426,-0.014,-2.4,no_trend
-53.4700977,69.2959018,blaesedalen_162,2000,2020,"15",2000to2020,ndvi.max,0.00057,0.5735,0.077,0.7426,0.012,2.1,no_trend
-53.4634123,69.2995371,blaesedalen_19,2000,2020,"17",2000to2020,ndvi.max,-0.00612,0.8279,-0.65,0.0005,-0.129,-15.6,browning
-53.4678788,69.3001673,blaesedalen_2,2000,2020,"18",2000to2020,ndvi.max,0.00084,0.6864,0.103,0.5923,0.018,2.6,no_trend
-53.4626533,69.2995216,blaesedalen_20,2000,2020,"15",2000to2020,ndvi.max,-0.0023,0.6614,-0.275,0.1889,-0.048,-7.3,no_trend
-53.4618943,69.2995061,blaesedalen_21,2000,2020,"15",2000to2020,ndvi.max,-0.0051,0.7909,-0.451,0.0285,-0.107,-13.5,browning
-53.4680103,69.2993617,blaesedalen_24,2000,2020,"14",2000to2020,ndvi.max,-0.0003,0.4961,-0.026,0.9514,-0.006,-1.2,no_trend
-53.4672512,69.2993462,blaesedalen_25,2000,2020,"14",2000to2020,ndvi.max,-0.00139,0.5832,-0.077,0.7603,-0.029,-5,no_trend
-53.4671197,69.3001517,blaesedalen_3,2000,2020,"18",2000to2020,ndvi.max,-0.00048,0.6652,-0.074,0.7108,-0.01,-1.5,no_trend
-53.4626972,69.2992531,blaesedalen_31,2000,2020,"14",2000to2020,ndvi.max,-0.00566,0.7632,-0.538,0.0124,-0.119,-15.6,browning
-53.4619382,69.2992375,blaesedalen_32,2000,2020,"18",2000to2020,ndvi.max,-0.00531,0.8036,-0.574,0.0015,-0.112,-13.9,browning
-53.4688131,69.2991086,blaesedalen_35,2000,2020,"14",2000to2020,ndvi.max,-3e-05,0.4674,0,1,-0.001,-0.2,no_trend
-53.4680541,69.2990931,blaesedalen_36,2000,2020,"14",2000to2020,ndvi.max,-0.00071,0.518,-0.026,0.9514,-0.015,-2.9,no_trend
-53.4657771,69.2990466,blaesedalen_39,2000,2020,"15",2000to2020,ndvi.max,-0.00366,0.6784,-0.275,0.1889,-0.077,-11.4,no_trend
-53.4650181,69.2990311,blaesedalen_40,2000,2020,"15",2000to2020,ndvi.max,-0.00225,0.8788,-0.231,0.2736,-0.047,-5.3,no_trend
-53.4642591,69.2990156,blaesedalen_41,2000,2020,"14",2000to2020,ndvi.max,-0.00123,0.7004,-0.154,0.5022,-0.026,-3.7,no_trend
-53.4627411,69.2989845,blaesedalen_43,2000,2020,"15",2000to2020,ndvi.max,-0.00405,0.7591,-0.473,0.0215,-0.085,-11.2,browning
-53.4619821,69.298969,blaesedalen_44,2000,2020,"16",2000to2020,ndvi.max,-0.00372,0.7451,-0.543,0.0056,-0.078,-10.5,browning
-53.4686816,69.2999142,blaesedalen_5,2000,2020,"15",2000to2020,ndvi.max,-0.00018,0.4858,-0.011,1,-0.004,-0.8,no_trend
-53.4650619,69.2987626,blaesedalen_51,2000,2020,"14",2000to2020,ndvi.max,-0.00059,0.6395,-0.051,0.8548,-0.012,-1.9,no_trend
-53.4643029,69.2987471,blaesedalen_52,2000,2020,"16",2000to2020,ndvi.max,-0.00136,0.6746,-0.162,0.4285,-0.029,-4.3,no_trend
-53.4635439,69.2987315,blaesedalen_53,2000,2020,"14",2000to2020,ndvi.max,-0.00204,0.6882,-0.154,0.5022,-0.043,-6.2,no_trend
-53.462785,69.298716,blaesedalen_54,2000,2020,"14",2000to2020,ndvi.max,-0.00108,0.6596,-0.128,0.583,-0.023,-3.5,no_trend
-53.462026,69.2987005,blaesedalen_55,2000,2020,"14",2000to2020,ndvi.max,-0.00174,0.6221,-0.179,0.4277,-0.037,-5.9,no_trend
-53.4651058,69.2984941,blaesedalen_62,2000,2020,"14",2000to2020,ndvi.max,0.00013,0.7859,0,1,0.003,0.4,no_trend
-53.4620699,69.298432,blaesedalen_66,2000,2020,"15",2000to2020,ndvi.max,-0.00134,0.5663,-0.165,0.4434,-0.028,-4.9,no_trend
-53.4697035,69.2983186,blaesedalen_67,2000,2020,"17",2000to2020,ndvi.max,-0.00157,0.8712,-0.25,0.1917,-0.033,-3.8,no_trend
-53.4689445,69.2983031,blaesedalen_68,2000,2020,"16",2000to2020,ndvi.max,-0.001,0.675,-0.105,0.6207,-0.021,-3.1,no_trend
-53.4681855,69.2982876,blaesedalen_69,2000,2020,"16",2000to2020,ndvi.max,0.00017,0.6729,0.01,1,0.004,0.6,no_trend
-53.4674266,69.2982721,blaesedalen_70,2000,2020,"17",2000to2020,ndvi.max,-0.00239,0.8834,-0.183,0.3444,-0.05,-5.7,no_trend
-53.4666676,69.2982566,blaesedalen_71,2000,2020,"16",2000to2020,ndvi.max,-0.00271,0.7188,-0.295,0.1376,-0.057,-7.9,no_trend
-53.4628727,69.298179,blaesedalen_76,2000,2020,"14",2000to2020,ndvi.max,0.00245,0.6146,0.205,0.3601,0.051,8.3,no_trend
-53.4697473,69.29805,blaesedalen_78,2000,2020,"16",2000to2020,ndvi.max,-0.00188,0.6375,-0.219,0.2763,-0.039,-6.1,no_trend
-53.4689883,69.2980345,blaesedalen_79,2000,2020,"17",2000to2020,ndvi.max,-0.00184,0.7333,-0.217,0.2604,-0.039,-5.3,no_trend
