"";"sample.id";"latitude";"longitude";"first.yr";"last.yr";"n.yr.obs";"trend.period";"si";"slope";"intercept";"tau";"pval";"total.change";"total.change.pcnt";"trend.cat"
"1";"blaesedalen_1";69,3001828;-53,4686378;2000;2020;20;"2000to2020";"ndvi.max";0,00174;0,7404;0,111;0,5289;0,037;5;"no_trend"
"2";"blaesedalen_10";69,2998367;-53,4648865;2000;2020;20;"2000to2020";"ndvi.max";-0,00226;0,7211;-0,368;0,0301;-0,047;-6,5;"browning"
"3";"blaesedalen_100";69,2974975;-53,469076;2000;2020;20;"2000to2020";"ndvi.max";-0,00139;0,7359;-0,146;0,4011;-0,029;-3,9;"no_trend"
"4";"blaesedalen_101";69,297482;-53,468317;2000;2020;20;"2000to2020";"ndvi.max";-0,00362;0,7549;-0,415;0,0143;-0,076;-10,1;"browning"
"5";"blaesedalen_102";69,2974665;-53,4675581;2000;2020;20;"2000to2020";"ndvi.max";-0,00163;0,7375;-0,158;0,363;-0,034;-4,6;"no_trend"
"6";"blaesedalen_103";69,297451;-53,4667991;2000;2020;20;"2000to2020";"ndvi.max";-0,00168;0,8154;-0,181;0,2939;-0,035;-4,3;"no_trend"
"7";"blaesedalen_104";69,2974355;-53,4660402;2000;2020;20;"2000to2020";"ndvi.max";-0,00251;0,7844;-0,216;0,2079;-0,053;-6,8;"no_trend"
"8";"blaesedalen_105";69,2974199;-53,4652812;2000;2020;18;"2000to2020";"ndvi.max";-0,0011;0,9428;-0,147;0,4338;-0,023;-2,4;"no_trend"
"9";"blaesedalen_106";69,2974044;-53,4645223;2000;2020;20;"2000to2020";"ndvi.max";-0,00311;0,7779;-0,263;0,1237;-0,065;-8,4;"no_trend"
"10";"blaesedalen_107";69,2973889;-53,4637633;2000;2020;20;"2000to2020";"ndvi.max";-0,00291;0,5592;-0,24;0,1617;-0,061;-10,9;"no_trend"
"11";"blaesedalen_108";69,2973734;-53,4630044;2000;2020;19;"2000to2020";"ndvi.max";-0,00166;0,8882;-0,124;0,4954;-0,035;-3,9;"no_trend"
"12";"blaesedalen_109";69,2972445;-53,4698787;2000;2020;20;"2000to2020";"ndvi.max";-0,0015;0,6524;-0,181;0,2939;-0,032;-4,9;"no_trend"
"13";"blaesedalen_11";69,2996612;-53,4694845;2000;2020;18;"2000to2020";"ndvi.max";-0,00014;0,537;0;1;-0,003;-0,6;"no_trend"
"14";"blaesedalen_110";69,297229;-53,4691198;2000;2020;20;"2000to2020";"ndvi.max";-0,00111;0,5918;-0,193;0,2629;-0,023;-3,9;"no_trend"
"15";"blaesedalen_111";69,2972135;-53,4683608;2000;2020;20;"2000to2020";"ndvi.max";0,00103;0,5672;0,099;0,5756;0,022;3,9;"no_trend"
"16";"blaesedalen_112";69,297198;-53,4676019;2000;2020;20;"2000to2020";"ndvi.max";-0,00076;0,5797;-0,099;0,5756;-0,016;-2,8;"no_trend"
"17";"blaesedalen_113";69,2971824;-53,4668429;2000;2020;20;"2000to2020";"ndvi.max";-0,00205;0,6034;-0,216;0,2079;-0,043;-7,1;"no_trend"
"18";"blaesedalen_114";69,2971669;-53,466084;2000;2020;20;"2000to2020";"ndvi.max";-0,00086;0,6961;-0,076;0,6746;-0,018;-2,6;"no_trend"
"19";"blaesedalen_115";69,2971514;-53,4653251;2000;2020;20;"2000to2020";"ndvi.max";-0,00103;0,704;-0,135;0,4415;-0,022;-3,1;"no_trend"
"20";"blaesedalen_116";69,2971359;-53,4645661;2000;2020;20;"2000to2020";"ndvi.max";0,00235;0,6591;0,146;0,4011;0,049;7,4;"no_trend"
"21";"blaesedalen_117";69,2971204;-53,4638072;2000;2020;20;"2000to2020";"ndvi.max";-0,00414;0,7363;-0,345;0,0424;-0,087;-11,8;"browning"
"22";"blaesedalen_118";69,2971049;-53,4630483;2000;2020;20;"2000to2020";"ndvi.max";0,00052;0,81;0,088;0,6243;0,011;1,4;"no_trend"
"23";"blaesedalen_119";69,2969914;-53,4706814;2000;2020;19;"2000to2020";"ndvi.max";0,00103;0,4218;0,111;0,5445;0,022;5,2;"no_trend"
"24";"blaesedalen_12";69,2996457;-53,4687255;2000;2020;18;"2000to2020";"ndvi.max";-0,00231;0,6659;-0,176;0,3434;-0,049;-7,4;"no_trend"
"25";"blaesedalen_120";69,2969759;-53,4699225;2000;2020;20;"2000to2020";"ndvi.max";-0,00106;0,6268;-0,263;0,1237;-0,022;-3,5;"no_trend"
"26";"blaesedalen_121";69,2969604;-53,4691636;2000;2020;20;"2000to2020";"ndvi.max";-0,00122;0,5247;-0,181;0,2939;-0,026;-5;"no_trend"
"27";"blaesedalen_122";69,2969449;-53,4684046;2000;2020;20;"2000to2020";"ndvi.max";-0,00128;0,6029;-0,123;0,4841;-0,027;-4,5;"no_trend"
"28";"blaesedalen_123";69,2969294;-53,4676457;2000;2020;20;"2000to2020";"ndvi.max";0,0002;0,6841;0,041;0,8337;0,004;0,6;"no_trend"
"29";"blaesedalen_124";69,2969139;-53,4668868;2000;2020;20;"2000to2020";"ndvi.max";-0,00052;0,7595;-0,053;0,7796;-0,011;-1,4;"no_trend"
"30";"blaesedalen_125";69,2968984;-53,4661278;2000;2020;20;"2000to2020";"ndvi.max";-0,00054;0,7824;-0,088;0,6243;-0,011;-1,4;"no_trend"
"31";"blaesedalen_126";69,2968829;-53,4653689;2000;2020;20;"2000to2020";"ndvi.max";-0,00163;0,7128;-0,146;0,4011;-0,034;-4,8;"no_trend"
"32";"blaesedalen_127";69,2968674;-53,46461;2000;2020;20;"2000to2020";"ndvi.max";-0,00128;0,7736;-0,123;0,4841;-0,027;-3,5;"no_trend"
"33";"blaesedalen_128";69,2968519;-53,4638511;2000;2020;20;"2000to2020";"ndvi.max";-0,00233;0,6224;-0,275;0,1075;-0,049;-7,9;"no_trend"
"34";"blaesedalen_129";69,2968363;-53,4630921;2000;2020;20;"2000to2020";"ndvi.max";-0,00023;0,7079;-0,053;0,7796;-0,005;-0,7;"no_trend"
"35";"blaesedalen_13";69,2996302;-53,4679664;2000;2020;20;"2000to2020";"ndvi.max";-0,00178;0,7054;-0,135;0,4415;-0,037;-5,2;"no_trend"
"36";"blaesedalen_130";69,2967229;-53,4707252;2000;2020;17;"2000to2020";"ndvi.max";-0,00228;0,4858;-0,317;0,0957;-0,048;-9,9;"browning"
"37";"blaesedalen_131";69,2967074;-53,4699663;2000;2020;19;"2000to2020";"ndvi.max";-0,00242;0,5795;-0,32;0,069;-0,051;-8,8;"browning"
"38";"blaesedalen_132";69,2966919;-53,4692074;2000;2020;19;"2000to2020";"ndvi.max";-0,00054;0,4296;-0,124;0,4954;-0,011;-2,6;"no_trend"
"39";"blaesedalen_133";69,2966764;-53,4684484;2000;2020;20;"2000to2020";"ndvi.max";-0,00203;0,4994;-0,216;0,2079;-0,043;-8,6;"no_trend"
"40";"blaesedalen_134";69,2966609;-53,4676895;2000;2020;18;"2000to2020";"ndvi.max";0,00125;0,6771;0,176;0,3434;0,026;3,8;"no_trend"
"41";"blaesedalen_135";69,2966454;-53,4669306;2000;2020;19;"2000to2020";"ndvi.max";-0,00095;0,7827;-0,19;0,2889;-0,02;-2,6;"no_trend"
"42";"blaesedalen_136";69,2966299;-53,4661717;2000;2020;19;"2000to2020";"ndvi.max";-0,00038;0,709;-0,072;0,7049;-0,008;-1,1;"no_trend"
"43";"blaesedalen_137";69,2966144;-53,4654128;2000;2020;19;"2000to2020";"ndvi.max";-0,00236;0,767;-0,373;0,0339;-0,05;-6,5;"browning"
"44";"blaesedalen_138";69,2965989;-53,4646538;2000;2020;18;"2000to2020";"ndvi.max";-0,00191;0,8275;-0,279;0,1275;-0,04;-4,8;"no_trend"
"45";"blaesedalen_139";69,2965833;-53,4638949;2000;2020;18;"2000to2020";"ndvi.max";-0,00287;0,9942;-0,485;0,0074;-0,06;-6;"browning"
