"","sample.id","latitude","longitude","first.yr","last.yr","n.yr.obs","trend.period","si","slope","intercept","tau","pval","total.change","total.change.pcnt","trend.cat"
"1","kluane_high_1",60.9643862,-138.4188455,2000,2020,21,"2000to2020","ndvi.max",0.0013,0.6234,0.158,0.3468,0.027,4.3,"no_trend"
"2","kluane_high_10",60.9638626,-138.4182347,2000,2020,21,"2000to2020","ndvi.max",0.00184,0.4228,0.147,0.381,0.039,9.2,"no_trend"
"3","kluane_high_100",60.9623616,-138.4136372,2000,2020,21,"2000to2020","ndvi.max",0.00248,0.6416,0.358,0.0297,0.052,8.1,"greening"
"4","kluane_high_101",60.9623757,-138.4130841,2000,2020,21,"2000to2020","ndvi.max",0.00082,0.4958,0.074,0.6732,0.017,3.4,"no_trend"
"5","kluane_high_102",60.9623897,-138.4125311,2000,2020,21,"2000to2020","ndvi.max",-3e-05,0.5705,-0.011,0.9741,-0.001,-0.2,"no_trend"
"6","kluane_high_103",60.9619103,-138.4207977,2001,2020,20,"2000to2020","ndvi.max",0.00098,0.6713,0.064,0.7264,0.021,3.1,"no_trend"
"7","kluane_high_104",60.9619244,-138.4202446,2000,2020,21,"2000to2020","ndvi.max",0.00216,0.637,0.2,0.23,0.045,7.1,"no_trend"
"8","kluane_high_105",60.9619384,-138.4196916,2000,2020,21,"2000to2020","ndvi.max",0.00411,0.4991,0.316,0.0556,0.086,17.2,"greening"
"9","kluane_high_106",60.9619525,-138.4191386,2001,2020,20,"2000to2020","ndvi.max",0.00437,0.4962,0.38,0.0252,0.092,18.5,"greening"
"10","kluane_high_107",60.9619665,-138.4185856,2001,2020,19,"2000to2020","ndvi.max",0.00493,0.6094,0.281,0.1116,0.104,17.1,"no_trend"
"11","kluane_high_108",60.9619805,-138.4180325,2001,2020,20,"2000to2020","ndvi.max",0.00403,0.5871,0.251,0.1417,0.085,14.5,"no_trend"
"12","kluane_high_109",60.9619946,-138.4174795,2000,2020,21,"2000to2020","ndvi.max",0.00187,0.541,0.126,0.4555,0.039,7.2,"no_trend"
"13","kluane_high_11",60.9638766,-138.4176816,2000,2020,21,"2000to2020","ndvi.max",0.00291,0.3917,0.263,0.1119,0.061,15.6,"no_trend"
"14","kluane_high_110",60.9620086,-138.4169265,2000,2020,21,"2000to2020","ndvi.max",0.00289,0.504,0.221,0.1834,0.061,12.1,"no_trend"
"15","kluane_high_111",60.9620226,-138.4163735,2000,2020,21,"2000to2020","ndvi.max",0.00389,0.5548,0.253,0.1273,0.082,14.8,"no_trend"
"16","kluane_high_112",60.9620367,-138.4158204,2000,2020,20,"2000to2020","ndvi.max",0.00417,0.6394,0.345,0.0424,0.088,13.8,"greening"
"17","kluane_high_113",60.9620507,-138.4152674,2001,2020,19,"2000to2020","ndvi.max",0.00373,0.5881,0.386,0.028,0.078,13.3,"greening"
"18","kluane_high_114",60.9620647,-138.4147144,2001,2020,20,"2000to2020","ndvi.max",0.00036,0.5333,0.053,0.7796,0.008,1.5,"no_trend"
"19","kluane_high_115",60.9620788,-138.4141613,2000,2020,21,"2000to2020","ndvi.max",0.00068,0.5107,0.168,0.3145,0.014,2.7,"no_trend"
"20","kluane_high_116",60.9620928,-138.4136083,2000,2020,21,"2000to2020","ndvi.max",0.0016,0.613,0.179,0.2843,0.034,5.5,"no_trend"
"21","kluane_high_117",60.9621068,-138.4130553,2000,2020,21,"2000to2020","ndvi.max",0.00222,0.5066,0.2,0.23,0.047,9.3,"no_trend"
"22","kluane_high_118",60.9616414,-138.4207688,2000,2020,21,"2000to2020","ndvi.max",0.00099,0.7374,0.084,0.6265,0.021,2.8,"no_trend"
"23","kluane_high_119",60.9616555,-138.4202157,2000,2020,21,"2000to2020","ndvi.max",0.00046,0.731,0.053,0.7703,0.01,1.4,"no_trend"
"24","kluane_high_12",60.9638906,-138.4171286,2000,2020,21,"2000to2020","ndvi.max",0.00258,0.4897,0.242,0.1443,0.054,11,"no_trend"
"25","kluane_high_120",60.9616695,-138.4196627,2001,2020,20,"2000to2020","ndvi.max",0.00305,0.6061,0.251,0.1417,0.064,10.6,"no_trend"
"26","kluane_high_121",60.9616836,-138.4191097,2000,2020,21,"2000to2020","ndvi.max",0.0026,0.7415,0.263,0.1119,0.055,7.4,"no_trend"
"27","kluane_high_122",60.9616976,-138.4185567,2001,2020,19,"2000to2020","ndvi.max",0.00167,0.6056,0.229,0.1978,0.035,5.8,"no_trend"
"28","kluane_high_123",60.9617117,-138.4180037,2001,2020,19,"2000to2020","ndvi.max",0.00258,0.6256,0.19,0.2889,0.054,8.6,"no_trend"
"29","kluane_high_124",60.9617257,-138.4174506,2001,2020,20,"2000to2020","ndvi.max",0.00081,0.3898,0.088,0.6243,0.017,4.4,"no_trend"
"30","kluane_high_125",60.9617397,-138.4168976,2000,2020,21,"2000to2020","ndvi.max",0.00293,0.4072,0.253,0.1273,0.062,15.2,"no_trend"
"31","kluane_high_126",60.9617538,-138.4163446,2000,2020,21,"2000to2020","ndvi.max",0.00311,0.4699,0.326,0.0478,0.065,13.8,"greening"
"32","kluane_high_127",60.9617678,-138.4157916,2000,2020,21,"2000to2020","ndvi.max",0.00134,0.5143,0.158,0.3468,0.028,5.4,"no_trend"
"33","kluane_high_128",60.9617818,-138.4152385,2001,2020,20,"2000to2020","ndvi.max",0.00233,0.4871,0.158,0.363,0.049,10.1,"no_trend"
"34","kluane_high_129",60.9617959,-138.4146855,2001,2020,20,"2000to2020","ndvi.max",0.00256,0.5056,0.17,0.3273,0.054,10.7,"no_trend"
"35","kluane_high_13",60.9639047,-138.4165755,2000,2020,21,"2000to2020","ndvi.max",-3e-05,0.4792,-0.011,0.9741,-0.001,-0.2,"no_trend"
"36","kluane_high_130",60.9618099,-138.4141325,2000,2020,20,"2000to2020","ndvi.max",0.00065,0.5107,0.099,0.5756,0.014,2.7,"no_trend"
"37","kluane_high_131",60.9618239,-138.4135795,2000,2020,21,"2000to2020","ndvi.max",0.00206,0.5263,0.179,0.2843,0.043,8.2,"no_trend"
"38","kluane_high_132",60.9618379,-138.4130264,2000,2020,21,"2000to2020","ndvi.max",0.00152,0.5987,0.232,0.163,0.032,5.3,"no_trend"
"39","kluane_high_133",60.9613866,-138.4201868,2000,2020,21,"2000to2020","ndvi.max",0.00028,0.6916,0.042,0.8203,0.006,0.9,"no_trend"
"40","kluane_high_134",60.9614007,-138.4196338,2000,2020,21,"2000to2020","ndvi.max",0.00422,0.5857,0.368,0.0252,0.089,15.2,"greening"
"41","kluane_high_135",60.9614147,-138.4190808,2001,2020,20,"2000to2020","ndvi.max",0.00314,0.5409,0.251,0.1417,0.066,12.2,"no_trend"
"42","kluane_high_136",60.9614288,-138.4185278,2000,2020,21,"2000to2020","ndvi.max",0.00214,0.6347,0.232,0.163,0.045,7.1,"no_trend"
"43","kluane_high_137",60.9614428,-138.4179748,2000,2020,21,"2000to2020","ndvi.max",0.00157,0.6878,0.168,0.3145,0.033,4.8,"no_trend"
"44","kluane_high_138",60.9614569,-138.4174218,2001,2020,20,"2000to2020","ndvi.max",0.00123,0.5433,0.088,0.6243,0.026,4.8,"no_trend"
"45","kluane_high_139",60.9614709,-138.4168687,2000,2020,21,"2000to2020","ndvi.max",0.00142,0.643,0.168,0.3145,0.03,4.7,"no_trend"
"46","kluane_high_14",60.9639187,-138.4160225,2000,2020,21,"2000to2020","ndvi.max",0.00228,0.6191,0.095,0.5813,0.048,7.8,"no_trend"
"47","kluane_high_140",60.9614849,-138.4163157,2000,2020,20,"2000to2020","ndvi.max",0.00134,0.3744,0.111,0.5289,0.028,7.5,"no_trend"
