X,Y,sample.id,first.yr,last.yr,n.yr.obs,trend.period,si,slope,intercept,tau,pval,total.change,total.change.pcnt,trend.cat
-53.4686378,69.3001828,blaesedalen_1,2000,2020,"21",2000to2020,ndvi.max,-0.00047,0.5514,-0.053,0.7703,-0.01,-1.8,no_trend
-53.4648865,69.2998367,blaesedalen_10,2000,2020,"20",2000to2020,ndvi.max,-0.00329,0.5615,-0.38,0.0252,-0.069,-12.3,browning
-53.469076,69.2974975,blaesedalen_100,2000,2020,"20",2000to2020,ndvi.max,-0.00172,0.577,-0.193,0.2629,-0.036,-6.2,no_trend
-53.468317,69.297482,blaesedalen_101,2000,2020,"20",2000to2020,ndvi.max,-0.00221,0.7278,-0.228,0.1837,-0.046,-6.3,no_trend
-53.4675581,69.2974665,blaesedalen_102,2000,2020,"20",2000to2020,ndvi.max,-0.00143,0.4944,-0.135,0.4415,-0.03,-6.1,no_trend
-53.4667991,69.297451,blaesedalen_103,2000,2020,"20",2000to2020,ndvi.max,-0.00185,0.6358,-0.275,0.1075,-0.039,-6.1,no_trend
-53.4660402,69.2974355,blaesedalen_104,2000,2020,"20",2000to2020,ndvi.max,-0.0037,0.7549,-0.322,0.0589,-0.078,-10.3,browning
-53.4652812,69.2974199,blaesedalen_105,2000,2020,"19",2000to2020,ndvi.max,-0.00247,0.7025,-0.294,0.0956,-0.052,-7.4,browning
-53.4645223,69.2974044,blaesedalen_106,2000,2020,"20",2000to2020,ndvi.max,-0.00198,0.6988,-0.216,0.2079,-0.042,-6,no_trend
-53.4637633,69.2973889,blaesedalen_107,2000,2020,"21",2000to2020,ndvi.max,-0.00348,0.4295,-0.263,0.1119,-0.073,-17,no_trend
-53.4630044,69.2973734,blaesedalen_108,2000,2020,"20",2000to2020,ndvi.max,-0.00191,0.8264,-0.123,0.4841,-0.04,-4.8,no_trend
-53.4698787,69.2972445,blaesedalen_109,2000,2020,"20",2000to2020,ndvi.max,-0.00013,0.4777,-0.029,0.8887,-0.003,-0.6,no_trend
-53.4694845,69.2996612,blaesedalen_11,2000,2020,"19",2000to2020,ndvi.max,-0.00064,0.3749,-0.059,0.7619,-0.013,-3.5,no_trend
-53.4691198,69.297229,blaesedalen_110,2000,2020,"21",2000to2020,ndvi.max,5e-05,0.3494,0,1,0.001,0.3,no_trend
-53.4683608,69.2972135,blaesedalen_111,2000,2020,"20",2000to2020,ndvi.max,-0.00279,0.6554,-0.322,0.0589,-0.059,-9,browning
-53.4676019,69.297198,blaesedalen_112,2000,2020,"20",2000to2020,ndvi.max,-0.0012,0.5301,-0.158,0.363,-0.025,-4.7,no_trend
-53.4668429,69.2971824,blaesedalen_113,2000,2020,"20",2000to2020,ndvi.max,-0.00056,0.453,-0.041,0.8337,-0.012,-2.6,no_trend
-53.466084,69.2971669,blaesedalen_114,2000,2020,"20",2000to2020,ndvi.max,-0.00087,0.5887,-0.064,0.7264,-0.018,-3.1,no_trend
-53.4653251,69.2971514,blaesedalen_115,2000,2020,"20",2000to2020,ndvi.max,-0.00266,0.4333,-0.275,0.1075,-0.056,-12.9,no_trend
-53.4645661,69.2971359,blaesedalen_116,2000,2020,"20",2000to2020,ndvi.max,-0.00096,0.646,-0.099,0.5756,-0.02,-3.1,no_trend
-53.4638072,69.2971204,blaesedalen_117,2000,2020,"21",2000to2020,ndvi.max,-0.00394,0.6245,-0.305,0.0644,-0.083,-13.3,browning
-53.4630483,69.2971049,blaesedalen_118,2000,2020,"20",2000to2020,ndvi.max,-0.0005,0.7949,-0.053,0.7796,-0.011,-1.4,no_trend
-53.4706814,69.2969914,blaesedalen_119,2000,2020,"19",2000to2020,ndvi.max,0.00212,0.3497,0.255,0.1501,0.045,12.9,no_trend
-53.4687255,69.2996457,blaesedalen_12,2000,2020,"19",2000to2020,ndvi.max,-0.00302,0.5041,-0.255,0.1501,-0.063,-12.5,no_trend
-53.4699225,69.2969759,blaesedalen_120,2000,2020,"20",2000to2020,ndvi.max,-0.00113,0.5542,-0.263,0.1237,-0.024,-4.3,no_trend
-53.4691636,69.2969604,blaesedalen_121,2000,2020,"20",2000to2020,ndvi.max,0.0001,0.4565,0.018,0.9442,0.002,0.4,no_trend
-53.4684046,69.2969449,blaesedalen_122,2000,2020,"20",2000to2020,ndvi.max,-0.00129,0.6003,-0.146,0.4011,-0.027,-4.5,no_trend
-53.4676457,69.2969294,blaesedalen_123,2000,2020,"20",2000to2020,ndvi.max,0.00059,0.5491,0.088,0.6243,0.012,2.2,no_trend
-53.4668868,69.2969139,blaesedalen_124,2000,2020,"20",2000to2020,ndvi.max,-0.00152,0.5227,-0.181,0.2939,-0.032,-6.1,no_trend
