"";"sample.id";"latitude";"longitude";"first.yr";"last.yr";"n.yr.obs";"trend.period";"si";"slope";"intercept";"tau";"pval";"total.change";"total.change.pcnt";"trend.cat"
"1";"blaesedalen_1";69,3001828;-53,4686378;2000;2020;20;"2000to2020";"ndvi.max";0,00005;0,6831;0,006;1;0,001;0,1;"no_trend"
"2";"blaesedalen_10";69,2998367;-53,4648865;2000;2020;20;"2000to2020";"ndvi.max";-0,00254;0,6303;-0,322;0,0589;-0,053;-8,4;"browning"
"3";"blaesedalen_100";69,2974975;-53,469076;2000;2020;20;"2000to2020";"ndvi.max";-0,00212;0,6997;-0,287;0,0931;-0,045;-6,4;"browning"
"4";"blaesedalen_101";69,297482;-53,468317;2000;2020;20;"2000to2020";"ndvi.max";-0,00285;0,7612;-0,275;0,1075;-0,06;-7,9;"no_trend"
"5";"blaesedalen_102";69,2974665;-53,4675581;2000;2020;20;"2000to2020";"ndvi.max";-0,00226;0,6392;-0,205;0,2342;-0,047;-7,4;"no_trend"
"6";"blaesedalen_103";69,297451;-53,4667991;2000;2020;20;"2000to2020";"ndvi.max";-0,0011;0,7847;-0,146;0,4011;-0,023;-2,9;"no_trend"
"7";"blaesedalen_104";69,2974355;-53,4660402;2000;2020;20;"2000to2020";"ndvi.max";-0,0029;0,7955;-0,251;0,1417;-0,061;-7,7;"no_trend"
"8";"blaesedalen_105";69,2974199;-53,4652812;2000;2020;20;"2000to2020";"ndvi.max";-0,00201;0,7129;-0,205;0,2342;-0,042;-5,9;"no_trend"
"9";"blaesedalen_106";69,2974044;-53,4645223;2000;2020;20;"2000to2020";"ndvi.max";-0,00231;0,7895;-0,287;0,0931;-0,049;-6,2;"browning"
"10";"blaesedalen_107";69,2973889;-53,4637633;2000;2020;20;"2000to2020";"ndvi.max";-0,00441;0,4583;-0,404;0,0174;-0,093;-20,3;"browning"
"11";"blaesedalen_108";69,2973734;-53,4630044;2000;2020;19;"2000to2020";"ndvi.max";-0,0006;0,7581;-0,046;0,8202;-0,013;-1,7;"no_trend"
"12";"blaesedalen_109";69,2972445;-53,4698787;2000;2020;20;"2000to2020";"ndvi.max";-0,00062;0,5387;-0,041;0,8337;-0,013;-2,4;"no_trend"
"13";"blaesedalen_11";69,2996612;-53,4694845;2000;2020;19;"2000to2020";"ndvi.max";0,00105;0,4323;0,124;0,4954;0,022;5,1;"no_trend"
"14";"blaesedalen_110";69,297229;-53,4691198;2000;2020;20;"2000to2020";"ndvi.max";-0,00003;0,479;-0,006;1;-0,001;-0,2;"no_trend"
"15";"blaesedalen_111";69,2972135;-53,4683608;2000;2020;20;"2000to2020";"ndvi.max";-0,00181;0,6914;-0,205;0,2342;-0,038;-5,5;"no_trend"
"16";"blaesedalen_112";69,297198;-53,4676019;2000;2020;20;"2000to2020";"ndvi.max";-0,00148;0,4996;-0,251;0,1417;-0,031;-6,2;"no_trend"
"17";"blaesedalen_113";69,2971824;-53,4668429;2000;2020;20;"2000to2020";"ndvi.max";-0,00085;0,5438;-0,099;0,5756;-0,018;-3,3;"no_trend"
"18";"blaesedalen_114";69,2971669;-53,466084;2000;2020;20;"2000to2020";"ndvi.max";-0,00028;0,6519;-0,076;0,6746;-0,006;-0,9;"no_trend"
"19";"blaesedalen_115";69,2971514;-53,4653251;2000;2020;20;"2000to2020";"ndvi.max";-0,00146;0,5642;-0,158;0,363;-0,031;-5,5;"no_trend"
"20";"blaesedalen_116";69,2971359;-53,4645661;2000;2020;20;"2000to2020";"ndvi.max";-0,00083;0,6941;-0,123;0,4841;-0,017;-2,4;"no_trend"
"21";"blaesedalen_117";69,2971204;-53,4638072;2000;2020;20;"2000to2020";"ndvi.max";-0,00409;0,7811;-0,38;0,0252;-0,086;-11;"browning"
"22";"blaesedalen_118";69,2971049;-53,4630483;2000;2020;19;"2000to2020";"ndvi.max";-0,00092;0,6554;-0,085;0,6494;-0,019;-2,9;"no_trend"
"23";"blaesedalen_119";69,2969914;-53,4706814;2000;2020;19;"2000to2020";"ndvi.max";0,00185;0,3631;0,176;0,3247;0,039;10,7;"no_trend"
"24";"blaesedalen_12";69,2996457;-53,4687255;2000;2020;19;"2000to2020";"ndvi.max";-0,00244;0,5798;-0,229;0,1978;-0,051;-8,8;"no_trend"
"25";"blaesedalen_120";69,2969759;-53,4699225;2000;2020;20;"2000to2020";"ndvi.max";-0,0013;0,4511;-0,228;0,1837;-0,027;-6;"no_trend"
"26";"blaesedalen_121";69,2969604;-53,4691636;2000;2020;20;"2000to2020";"ndvi.max";-0,00035;0,4475;-0,041;0,8337;-0,007;-1,6;"no_trend"
"27";"blaesedalen_122";69,2969449;-53,4684046;2000;2020;20;"2000to2020";"ndvi.max";-0,00161;0,6459;-0,205;0,2342;-0,034;-5,3;"no_trend"
"28";"blaesedalen_123";69,2969294;-53,4676457;2000;2020;20;"2000to2020";"ndvi.max";0,00037;0,6048;0,064;0,7264;0,008;1,3;"no_trend"
"29";"blaesedalen_124";69,2969139;-53,4668868;2000;2020;20;"2000to2020";"ndvi.max";-0,00038;0,6596;-0,018;0,9442;-0,008;-1,2;"no_trend"
"30";"blaesedalen_125";69,2968984;-53,4661278;2000;2020;20;"2000to2020";"ndvi.max";-0,00039;0,7098;-0,053;0,7796;-0,008;-1,1;"no_trend"
"31";"blaesedalen_126";69,2968829;-53,4653689;2000;2020;20;"2000to2020";"ndvi.max";-0,00118;0,6011;-0,205;0,2342;-0,025;-4,2;"no_trend"
"32";"blaesedalen_127";69,2968674;-53,46461;2000;2020;20;"2000to2020";"ndvi.max";-0,00167;0,6682;-0,216;0,2079;-0,035;-5,2;"no_trend"
"33";"blaesedalen_128";69,2968519;-53,4638511;2000;2020;20;"2000to2020";"ndvi.max";-0,00356;0,5432;-0,333;0,0501;-0,075;-13,8;"browning"
"34";"blaesedalen_129";69,2968363;-53,4630921;2000;2020;20;"2000to2020";"ndvi.max";-0,00115;0,6326;-0,076;0,6746;-0,024;-3,8;"no_trend"
"35";"blaesedalen_13";69,2996302;-53,4679664;2000;2020;19;"2000to2020";"ndvi.max";-0,00217;0,6033;-0,255;0,1501;-0,046;-7,6;"no_trend"
"36";"blaesedalen_130";69,2967229;-53,4707252;2000;2020;18;"2000to2020";"ndvi.max";0,00049;0,4496;0,059;0,7731;0,01;2,2;"no_trend"
"37";"blaesedalen_131";69,2967074;-53,4699663;2000;2020;19;"2000to2020";"ndvi.max";-0,00064;0,4897;-0,098;0,5959;-0,013;-2,7;"no_trend"
"38";"blaesedalen_132";69,2966919;-53,4692074;2000;2020;19;"2000to2020";"ndvi.max";0,00077;0,3283;0,137;0,4487;0,016;4,9;"no_trend"
"39";"blaesedalen_133";69,2966764;-53,4684484;2000;2020;20;"2000to2020";"ndvi.max";-0,00083;0,4957;-0,158;0,363;-0,017;-3,4;"no_trend"
"40";"blaesedalen_134";69,2966609;-53,4676895;2000;2020;19;"2000to2020";"ndvi.max";0,00091;0,6056;0,085;0,6494;0,019;3,1;"no_trend"
"41";"blaesedalen_135";69,2966454;-53,4669306;2000;2020;20;"2000to2020";"ndvi.max";-0,00137;0,5936;-0,205;0,2342;-0,029;-4,9;"no_trend"
"42";"blaesedalen_136";69,2966299;-53,4661717;2000;2020;20;"2000to2020";"ndvi.max";-0,00042;0,599;-0,029;0,8887;-0,009;-1,5;"no_trend"
"43";"blaesedalen_137";69,2966144;-53,4654128;2000;2020;20;"2000to2020";"ndvi.max";-0,00194;0,7484;-0,31;0,0689;-0,041;-5,5;"browning"
"44";"blaesedalen_138";69,2965989;-53,4646538;2000;2020;19;"2000to2020";"ndvi.max";-0,00241;0,7062;-0,281;0,1116;-0,051;-7,2;"no_trend"
"45";"blaesedalen_139";69,2965833;-53,4638949;2000;2020;19;"2000to2020";"ndvi.max";-0,00344;0,6161;-0,333;0,0582;-0,072;-11,7;"browning"
"46";"blaesedalen_14";69,2996147;-53,4672074;2000;2020;19;"2000to2020";"ndvi.max";-0,00153;0,5051;-0,203;0,2558;-0,032;-6,3;"no_trend"
"47";"blaesedalen_140";69,2965678;-53,463136;2000;2020;20;"2000to2020";"ndvi.max";-0,00137;0,834;-0,228;0,1837;-0,029;-3,5;"no_trend"
"48";"blaesedalen_141";69,2964544;-53,470769;2000;2020;20;"2000to2020";"ndvi.max";0,00007;0,3336;0,018;0,9442;0,001;0,3;"no_trend"
"49";"blaesedalen_142";69,2964389;-53,4700101;2000;2020;19;"2000to2020";"ndvi.max";0,0011;0,3205;0,15;0,4047;0,023;7,2;"no_trend"
"50";"blaesedalen_143";69,2964234;-53,4692512;2000;2020;19;"2000to2020";"ndvi.max";0,00027;0,4446;0,085;0,6494;0,006;1,3;"no_trend"
"51";"blaesedalen_144";69,2964079;-53,4684923;2000;2020;19;"2000to2020";"ndvi.max";-0,00057;0,412;-0,059;0,7619;-0,012;-2,9;"no_trend"
"52";"blaesedalen_145";69,2963924;-53,4677333;2000;2020;19;"2000to2020";"ndvi.max";0,00007;0,4745;0,007;1;0,001;0,2;"no_trend"
"53";"blaesedalen_146";69,2963769;-53,4669744;2000;2020;19;"2000to2020";"ndvi.max";-0,00068;0,2641;-0,059;0,7619;-0,014;-5,3;"no_trend"
"54";"blaesedalen_147";69,2963614;-53,4662155;2000;2020;19;"2000to2020";"ndvi.max";0,00044;0,5348;0,046;0,8202;0,009;1,7;"no_trend"
"55";"blaesedalen_148";69,2963458;-53,4654566;2000;2020;20;"2000to2020";"ndvi.max";-0,00096;0,5847;-0,123;0,4841;-0,02;-3,4;"no_trend"
"56";"blaesedalen_149";69,2963303;-53,4646977;2000;2020;20;"2000to2020";"ndvi.max";-0,00228;0,3343;-0,357;0,0358;-0,048;-14,4;"browning"
"57";"blaesedalen_15";69,2995992;-53,4664484;2000;2020;20;"2000to2020";"ndvi.max";-0,00377;0,5402;-0,404;0,0174;-0,079;-14,6;"browning"
"58";"blaesedalen_150";69,2963148;-53,4639388;2000;2020;20;"2000to2020";"ndvi.max";-0,00423;0,5054;-0,415;0,0143;-0,089;-17,6;"browning"
"59";"blaesedalen_151";69,2961858;-53,4708128;2000;2020;20;"2000to2020";"ndvi.max";-0,00001;0,4424;-0,006;1;0;0;"no_trend"
"60";"blaesedalen_152";69,2961703;-53,4700539;2000;2020;20;"2000to2020";"ndvi.max";0,00292;0,3497;0,368;0,0301;0,061;17,4;"greening"
"61";"blaesedalen_153";69,2961548;-53,469295;2000;2020;20;"2000to2020";"ndvi.max";0,00015;0,2549;0,018;0,9442;0,003;1,2;"no_trend"
"62";"blaesedalen_154";69,2961393;-53,4685361;2000;2020;18;"2000to2020";"ndvi.max";-0,00064;0,2488;-0,074;0,7108;-0,013;-5,2;"no_trend"
"63";"blaesedalen_155";69,2961238;-53,4677772;2000;2020;20;"2000to2020";"ndvi.max";-0,0003;0,2296;-0,029;0,8887;-0,006;-2,6;"no_trend"
"64";"blaesedalen_156";69,2961083;-53,4670183;2000;2020;19;"2000to2020";"ndvi.max";-0,00047;0,4614;-0,033;0,8796;-0,01;-2,2;"no_trend"
"65";"blaesedalen_157";69,2960928;-53,4662594;2000;2020;19;"2000to2020";"ndvi.max";0,00117;0,6197;0,281;0,1116;0,025;4;"no_trend"
"66";"blaesedalen_158";69,2960773;-53,4655005;2000;2020;19;"2000to2020";"ndvi.max";0,00123;0,3699;0,163;0,3633;0,026;7;"no_trend"
"67";"blaesedalen_159";69,2960618;-53,4647416;2000;2020;19;"2000to2020";"ndvi.max";-0,002;0,2354;-0,281;0,1116;-0,042;-17,8;"no_trend"
"68";"blaesedalen_16";69,2995837;-53,4656894;2000;2020;20;"2000to2020";"ndvi.max";-0,00267;0,6224;-0,298;0,0802;-0,056;-9;"browning"
"69";"blaesedalen_160";69,2960463;-53,4639827;2000;2020;20;"2000to2020";"ndvi.max";-0,00167;0,3452;-0,263;0,1237;-0,035;-10,1;"no_trend"
"70";"blaesedalen_161";69,2959173;-53,4708566;2000;2020;20;"2000to2020";"ndvi.max";0,00173;0,481;0,181;0,2939;0,036;7,5;"no_trend"
"71";"blaesedalen_162";69,2959018;-53,4700977;2000;2020;19;"2000to2020";"ndvi.max";0,00121;0,4613;0,098;0,5959;0,025;5,4;"no_trend"
"72";"blaesedalen_163";69,2958863;-53,4693388;2000;2020;20;"2000to2020";"ndvi.max";0,0011;0,486;0,123;0,4841;0,023;4,7;"no_trend"
"73";"blaesedalen_164";69,2958708;-53,4685799;2000;2020;20;"2000to2020";"ndvi.max";0,00095;0,2523;0,111;0,5289;0,02;7,9;"no_trend"
"74";"blaesedalen_165";69,2958553;-53,467821;2000;2020;20;"2000to2020";"ndvi.max";0,00158;0,3093;0,251;0,1417;0,033;10,7;"no_trend"
"75";"blaesedalen_166";69,2958398;-53,4670621;2000;2020;20;"2000to2020";"ndvi.max";0,00162;0,4881;0,193;0,2629;0,034;7;"no_trend"
"76";"blaesedalen_167";69,2958243;-53,4663032;2000;2020;20;"2000to2020";"ndvi.max";-0,00043;0,5631;-0,041;0,8337;-0,009;-1,6;"no_trend"
"77";"blaesedalen_168";69,2958088;-53,4655443;2000;2020;19;"2000to2020";"ndvi.max";0,00101;0,4065;0,137;0,4487;0,021;5,2;"no_trend"
