"","sample.id","latitude","longitude","first.yr","last.yr","n.yr.obs","trend.period","si","slope","intercept","tau","pval","total.change","total.change.pcnt","trend.cat"
"1","blaesedalen_1",69.3001828,-53.4686378,2000,2020,20,"2000to2020","ndvi.max",0.00026,0.7434,0.041,0.8337,0.005,0.7,"no_trend"
"2","blaesedalen_10",69.2998367,-53.4648865,2000,2020,20,"2000to2020","ndvi.max",-0.00327,0.6331,-0.357,0.0358,-0.069,-10.9,"browning"
"3","blaesedalen_100",69.2974975,-53.469076,2000,2020,20,"2000to2020","ndvi.max",-0.00186,0.5851,-0.205,0.2342,-0.039,-6.7,"no_trend"
"4","blaesedalen_101",69.297482,-53.468317,2000,2020,20,"2000to2020","ndvi.max",-0.00234,0.7909,-0.193,0.2629,-0.049,-6.2,"no_trend"
"5","blaesedalen_102",69.2974665,-53.4675581,2000,2020,19,"2000to2020","ndvi.max",-0.00195,0.4743,-0.163,0.3633,-0.041,-8.6,"no_trend"
"6","blaesedalen_103",69.297451,-53.4667991,2000,2020,19,"2000to2020","ndvi.max",-0.00045,0.7958,-0.033,0.8796,-0.009,-1.1,"no_trend"
"7","blaesedalen_105",69.2974199,-53.4652812,2000,2020,18,"2000to2020","ndvi.max",-0.00147,0.7428,-0.176,0.3434,-0.031,-4.2,"no_trend"
"8","blaesedalen_106",69.2974044,-53.4645223,2000,2020,20,"2000to2020","ndvi.max",-0.00249,0.6501,-0.228,0.1837,-0.052,-8,"no_trend"
"9","blaesedalen_107",69.2973889,-53.4637633,2000,2020,20,"2000to2020","ndvi.max",-0.00463,0.4534,-0.345,0.0424,-0.097,-21.4,"browning"
"10","blaesedalen_108",69.2973734,-53.4630044,2000,2020,18,"2000to2020","ndvi.max",-0.00257,0.563,-0.147,0.4338,-0.054,-9.6,"no_trend"
"11","blaesedalen_109",69.2972445,-53.4698787,2000,2020,18,"2000to2020","ndvi.max",-0.00128,0.4614,-0.147,0.4338,-0.027,-5.9,"no_trend"
"12","blaesedalen_110",69.297229,-53.4691198,2000,2020,18,"2000to2020","ndvi.max",-0.00056,0.4822,-0.059,0.7731,-0.012,-2.5,"no_trend"
"13","blaesedalen_111",69.2972135,-53.4683608,2000,2020,18,"2000to2020","ndvi.max",-0.00283,0.5866,-0.338,0.0638,-0.059,-10.1,"browning"
"14","blaesedalen_112",69.297198,-53.4676019,2000,2020,19,"2000to2020","ndvi.max",-0.00215,0.5323,-0.163,0.3633,-0.045,-8.5,"no_trend"
