"","sample.id","latitude","longitude","first.yr","last.yr","n.yr.obs","trend.period","si","slope","intercept","tau","pval","total.change","total.change.pcnt","trend.cat"
"1","kluane_low_1",60.9692678,-138.4177062,2000,2020,21,"2000to2020","ndvi.max",0.00244,0.5918,0.326,0.0478,0.051,8.6,"greening"
"2","kluane_low_10",60.9693941,-138.4127278,2000,2020,21,"2000to2020","ndvi.max",-2e-04,0.8428,-0.032,0.8711,-0.004,-0.5,"no_trend"
"3","kluane_low_100",60.967498,-138.413079,2000,2020,21,"2000to2020","ndvi.max",-0.00062,0.6261,-0.063,0.7212,-0.013,-2.1,"no_trend"
"4","kluane_low_101",60.9675121,-138.4125259,2000,2020,21,"2000to2020","ndvi.max",-8e-05,0.4806,-0.011,0.9741,-0.002,-0.4,"no_trend"
"5","kluane_low_102",60.9675261,-138.4119728,2000,2020,21,"2000to2020","ndvi.max",0.00076,0.5379,0.042,0.8203,0.016,3,"no_trend"
"6","kluane_low_103",60.9675401,-138.4114196,2000,2020,21,"2000to2020","ndvi.max",0.00011,0.8566,0.032,0.8711,0.002,0.2,"no_trend"
"7","kluane_low_104",60.9675541,-138.4108665,2001,2020,20,"2000to2020","ndvi.max",0.00237,0.3672,0.263,0.1237,0.05,13.6,"no_trend"
"8","kluane_low_105",60.9671169,-138.4174751,2001,2020,20,"2000to2020","ndvi.max",9e-04,0.731,0.135,0.4415,0.019,2.6,"no_trend"
"9","kluane_low_106",60.967131,-138.416922,2001,2020,20,"2000to2020","ndvi.max",0.00152,0.5248,0.17,0.3273,0.032,6.1,"no_trend"
"10","kluane_low_107",60.967145,-138.4163689,2000,2020,21,"2000to2020","ndvi.max",0.00083,0.8087,0.095,0.5813,0.017,2.1,"no_trend"
"11","kluane_low_108",60.967159,-138.4158158,2000,2020,21,"2000to2020","ndvi.max",0.00124,0.8295,0.179,0.2843,0.026,3.1,"no_trend"
"12","kluane_low_109",60.9671731,-138.4152626,2000,2020,21,"2000to2020","ndvi.max",-0.00088,0.6153,-0.158,0.3468,-0.018,-2.9,"no_trend"
"13","kluane_low_11",60.9694081,-138.4121746,2000,2020,21,"2000to2020","ndvi.max",-0.00078,0.8603,-0.126,0.4555,-0.016,-1.9,"no_trend"
"14","kluane_low_110",60.9671871,-138.4147095,2000,2020,21,"2000to2020","ndvi.max",0.00199,0.7288,0.221,0.1834,0.042,5.8,"no_trend"
"15","kluane_low_111",60.9672011,-138.4141564,2000,2020,21,"2000to2020","ndvi.max",0.00125,0.7043,0.126,0.4555,0.026,3.7,"no_trend"
"16","kluane_low_112",60.9672152,-138.4136033,2000,2020,21,"2000to2020","ndvi.max",0.00169,0.6813,0.221,0.1834,0.035,5.1,"no_trend"
"17","kluane_low_113",60.9672292,-138.4130502,2000,2020,21,"2000to2020","ndvi.max",0.00118,0.7669,0.084,0.6265,0.025,3.3,"no_trend"
"18","kluane_low_114",60.9672432,-138.412497,2000,2020,21,"2000to2020","ndvi.max",0.00049,0.6101,0.032,0.8711,0.01,1.6,"no_trend"
"19","kluane_low_115",60.9672572,-138.4119439,2000,2020,21,"2000to2020","ndvi.max",0.00092,0.9093,0.074,0.6732,0.019,2.1,"no_trend"
"20","kluane_low_116",60.9672712,-138.4113908,2001,2020,20,"2000to2020","ndvi.max",-0.00038,0.5852,-0.053,0.7796,-0.008,-1.4,"no_trend"
"21","kluane_low_117",60.9672852,-138.4108377,2000,2020,21,"2000to2020","ndvi.max",0.00035,0.5697,0.021,0.9225,0.007,1.2,"no_trend"
"22","kluane_low_118",60.9668481,-138.4174462,2001,2020,20,"2000to2020","ndvi.max",0.00319,0.6317,0.322,0.0589,0.067,10.6,"greening"
"23","kluane_low_119",60.9668621,-138.4168931,2001,2020,20,"2000to2020","ndvi.max",0.00272,0.5934,0.298,0.0802,0.057,9.6,"greening"
"24","kluane_low_12",60.9694221,-138.4116214,2000,2020,21,"2000to2020","ndvi.max",-0.00076,0.6015,-0.126,0.4555,-0.016,-2.7,"no_trend"
