"";"sample_id";"geometry"
"1";"blaesedalen_1";c(-53.4686378254418, 69.3001827564663)
"2";"blaesedalen_2";c(-53.4678787807611, 69.3001672532002)
"3";"blaesedalen_3";c(-53.4671197372443, 69.3001517466079)
"4";"blaesedalen_4";c(-53.4694406797038, 69.2999297291132)
"5";"blaesedalen_5";c(-53.4686816432301, 69.2999142293924)
"6";"blaesedalen_6";c(-53.46792260792, 69.2998987263454)
"7";"blaesedalen_7";c(-53.4671635737737, 69.2998832199722)
"8";"blaesedalen_8";c(-53.4664045407916, 69.2998677102729)
"9";"blaesedalen_9";c(-53.4656455089738, 69.2998521972475)
"10";"blaesedalen_10";c(-53.4648864783206, 69.299836680896)
"11";"blaesedalen_11";c(-53.469484486958, 69.2996612017992)
"12";"blaesedalen_12";c(-53.4687254598547, 69.2996457022973)
"13";"blaesedalen_13";c(-53.467966433915, 69.2996301994694)
"14";"blaesedalen_14";c(-53.4672074091391, 69.2996146933154)
"15";"blaesedalen_15";c(-53.4664483855272, 69.2995991838353)
"16";"blaesedalen_16";c(-53.4656893630796, 69.2995836710291)
"17";"blaesedalen_17";c(-53.4649303417966, 69.2995681548968)
"18";"blaesedalen_18";c(-53.4641713216784, 69.2995526354385)
"19";"blaesedalen_19";c(-53.4634123027252, 69.2995371126541)
"20";"blaesedalen_20";c(-53.4626532849373, 69.2995215865436)
"21";"blaesedalen_21";c(-53.4618942683149, 69.2995060571072)
"22";"blaesedalen_22";c(-53.469528293049, 69.299392674464)
"23";"blaesedalen_23";c(-53.4687692753158, 69.2993771751812)
"24";"blaesedalen_24";c(-53.4680102587462, 69.2993616725724)
"25";"blaesedalen_25";c(-53.4672512433403, 69.2993461666375)
"26";"blaesedalen_26";c(-53.4664922290985, 69.2993306573766)
"27";"blaesedalen_27";c(-53.4657332160209, 69.2993151447896)
"28";"blaesedalen_28";c(-53.4649742041078, 69.2992996288766)
"29";"blaesedalen_29";c(-53.4642151933594, 69.2992841096376)
"30";"blaesedalen_30";c(-53.463456183776, 69.2992685870725)
"31";"blaesedalen_31";c(-53.4626971753579, 69.2992530611815)
"32";"blaesedalen_32";c(-53.4619381681053, 69.2992375319645)
"33";"blaesedalen_33";c(-53.4611791620184, 69.2992219994215)
"34";"blaesedalen_34";c(-53.4695720979767, 69.2991241471078)
"35";"blaesedalen_35";c(-53.4688130896134, 69.299108648044)
"36";"blaesedalen_36";c(-53.4680540824137, 69.2990931456543)
"37";"blaesedalen_37";c(-53.4672950763776, 69.2990776399385)
"38";"blaesedalen_38";c(-53.4665360715055, 69.2990621308968)
"39";"blaesedalen_39";c(-53.4657770677976, 69.299046618529)
"40";"blaesedalen_40";c(-53.4650180652542, 69.2990311028353)
"41";"blaesedalen_41";c(-53.4642590638755, 69.2990155838155)
"42";"blaesedalen_42";c(-53.4635000636617, 69.2990000614699)
"43";"blaesedalen_43";c(-53.4627410646131, 69.2989845357983)
"44";"blaesedalen_44";c(-53.46198206673, 69.2989690068007)
"45";"blaesedalen_45";c(-53.4696159017411, 69.2988556197305)
