X,Y,2023-04-06,2023-05-01,2023-05-16,2023-05-22,2023-06-08,2023-06-26,2023-07-08,2023-07-26,2023-07-29,2023-08-07,2023-08-08,2023-08-17,2023-09-23,2023-10-03,2023-10-11,2023-10-17,id,2023-11-26,2023-11-28,2022-12-11
639195,7691795,-0.017169373549884,-0.033065236818588,-0.0386930352536543,-0.0193780982424516,-0.00975419430355053,-0.0899521531100479,0.118137900746596,0.240389069013432,0.230698949291914,0.263109475620975,0.287325214253496,0.289988221436985,0.166590597900502,0.136179346529931,0.00150375939849624,0.0113507377979569,"1",0,0,0
639205,7691795,-0.0194444444444444,-0.0409906063193851,-0.0325306294888044,-0.019388194743645,-0.00952380952380952,-0.0988801524898737,0.100186219739292,0.232158211521926,0.257217847769029,0.28195991091314,0.278322925958965,0.310780333784393,0.176271186440678,0.159101329665291,-0.0362084191934059,-0.0185692541856925,"2",0,0,0
639215,7691795,-0.0120697362539115,-0.0476571886263516,-0.034257748776509,-0.0246598639455782,-0.00874403815580286,-0.105250423421244,-0.00932918702798756,0.117693522906793,0.160043907793633,0.241257193448428,0.222143698468787,0.265603644646925,0.137055837563452,0.117133670188333,-0.0469565217391304,-0.0851630073186959,"3",0,0,0
639225,7691795,-0.0146551724137931,-0.0442818636888718,-0.0275889644142343,-0.0289308176100629,-0.00750098697197,-0.0817733990147783,-0.071850699844479,0.145569620253165,0.191011235955056,0.19990984899707,0.232218558643429,0.245693563009973,0.159783783783784,0.113857016769638,-0.0324696621843227,-0.00304878048780488,"4",0,0,0
639235,7691795,-0.0128470783257356,-0.0452065471551052,-0.0221694378463975,-0.021505376344086,-0.0128956623681125,-0.0634222107170593,-0.0460787305462313,0.187006960556845,0.242463958060288,0.253139458030403,0.281553398058252,0.301903114186851,0.170459081836327,0.14832162373146,0.00643651258045641,-0.00772874594864124,"5",0,0,0
639245,7691795,-0.0166463662200568,-0.0388888888888889,-0.0204241948153967,-0.0139230139230139,-0.0104854368932039,-0.0824230387288977,-0.0386100386100386,0.154693697664169,0.248594898400346,0.316892725030826,0.265137614678899,0.327204346009193,0.186804451510334,0.185987721198989,0.0332344213649852,-0.0345001259128683,"6",0,0,0
639255,7691795,-0.0131255127153404,-0.0468810538550949,-0.0227363382528919,-0.022964509394572,-0.00928074245939675,-0.102820746132848,-0.066925315227934,0.187084520417854,0.233362910381544,0.29670790522122,0.279528451598277,0.330280957336108,0.179421768707483,0.176100628930818,0.0109068245559364,-0.0335903083700441,"7",0,0,0
639265,7691795,-0.00997506234413965,-0.045136186770428,-0.0227726727926488,-0.0258980785296575,-0.0111324376199616,-0.0973774230330673,-0.0015748031496063,0.213888888888889,0.264577893820714,0.313248039620305,0.29760348583878,0.327514546965919,0.186988457502623,0.178223970192507,-0.00883218842001963,0.00267094017094017,"8",0,0,0
639275,7691795,-0.0107794361525705,-0.0461661983139302,-0.0203454894433781,-0.029126213592233,-0.0108249346771183,-0.0979322881163372,0.0111656989727557,0.261407249466951,0.319410319410319,0.368783473603673,0.361231741018555,0.380943139918494,0.1996891996892,0.197466467958271,0.0152671755725191,0.047658175842235,"9",0,0,0
639285,7691795,-0.00773300773300773,-0.0393374741200828,-0.021310181531176,-0.0218800648298217,-0.0107050572166851,-0.0664788732394366,0.0369747899159664,0.309106098579783,0.364640883977901,0.415080527086384,0.364696734059098,0.411547002220577,0.237436270939548,0.218039772727273,0.00382608695652174,0.0437622468974526,"10",0,0,0
639295,7691795,-0.00882825040128411,-0.0292193632795464,-0.0176013098649202,-0.0249471458773784,-0.00840950639853748,0.0930437334898738,0.125040387722132,0.331699346405229,0.346972176759411,0.393787381825198,0.364212193190815,0.392926544889234,0.236038719285182,0.215419501133787,-0.00390930414386239,0.0327974276527331,"11",0,0,0
639305,7691795,-0.00908014212396368,-0.0357300397000441,-0.022964509394572,-0.013953488372093,-0.00509832483612527,0.139259259259259,0.154771451483561,0.310287380258226,0.323283764514158,0.375364856976065,0.321197411003236,0.364143426294821,0.227513227513228,0.21097372488408,-0.00453982666116385,0.0254939451880178,"12",0,0,0
639315,7691795,-0.00463320463320463,-0.0242369838420108,0.00559179869524697,-0.0102541239411502,-0.00587803085966201,0.0728885460856151,0.143104193687851,0.252595155709343,0.271066832710668,0.314981049271893,0.270541082164329,0.326454808089146,0.182787208843269,0.197563760944043,-0.00769542324827866,0.0213387898275358,"13",0,0,0
639325,7691795,-0.00112065745237206,-0.00879461976202794,-0.0283966797728266,-0.0129421915444349,-0.00663227708179808,0.0909671241621449,0.0899905273129144,0.222392974753019,0.238660449342942,0.269384492406075,0.242418074496234,0.282987203692049,0.171954563258911,0.158096699923254,0.0180392156862745,0.0493201812849907,"14",0,0,0
639335,7691795,-0.00107797340998922,-0.025148605395519,-0.00513259195893926,-0.012118679481822,-0.0110046148384807,0.00985221674876847,0.0547517730496454,0.19318691169879,0.215979491561632,0.259646302250804,0.236151603498542,0.255813953488372,0.157018239492466,0.137039937353171,-0.00756756756756757,0.0223272918308379,"15",0,0,0
639345,7691795,0.00174886323889472,-0.0307612095933264,-0.0284475751828773,0,-0.0124777183600713,0.104802174569616,-0.0114202049780381,0.232252410166521,0.263736263736264,0.259951259138911,0.27810650887574,0.281381634372367,0.189125295508274,0.166730548102721,0.0289645184648805,0.0440713536201469,"16",0,0,0
639355,7691795,0.00239808153477218,0.0133085731971526,0.0100263852242744,-0.0190045248868778,-0.00983606557377049,0.0254826254826255,0.0679332181922856,0.263381478334749,0.296855859534504,0.307752545027408,0.299337482433246,0.337301587301587,0.219243481454278,0.201561391057488,0.00612612612612613,0.0215605749486653,"17",0,0,0
639365,7691795,0,0.00413223140495868,-0.0187441424554827,-0.0168321104876996,-0.0118466898954704,0.046594982078853,0.0472326861779194,0.215985630893579,0.252106286454958,0.302307543145239,0.261437908496732,0.317393903167962,0.194518462124096,0.196827685652487,0.0222788033099936,0.022861546365271,"18",0,0,0
639375,7691795,0.00163773337700622,-0.00694234832478116,-0.0313855575401888,0.0078377132319041,-0.0092815400481265,0.0300219672931413,0.0126582278481013,0.199356173833065,0.226341037941561,0.263493328022306,0.228648987262477,0.279166666666667,0.152019002375297,0.167563412759416,0.0336646361013145,0.00631791761435431,"19",0,0,0
639385,7691795,0.00653145410794087,0.0102347983142685,-0.0347801092267893,-0.00643776824034335,0.00355113636363636,0.0155183116076971,0.0488684814693342,0.190298507462687,0.222958057395143,0.251623376623377,0.213262032085561,0.263655913978495,0.132244897959184,0.156606851549755,-0.0156806842480399,0.00998423541776143,"20",0,0,0
639395,7691795,0.00512445095168375,-0.0191873589164786,-0.00164962058726493,-0.0226130653266332,0.00144717800289436,0.0698400312134218,0.130400317082838,0.181859825927623,0.234743875278396,0.245709501883633,0.218205019140791,0.239111111111111,0.126641253706057,0.146788990825688,-0.019872813990461,0.0547380812242496,"21",0,0,0
639405,7691795,0,0.00747126436781609,0.0382552735073293,0.0299727520435967,-0.0058055152394775,0.157937147461724,0.131466965285554,0.230905077262693,0.24485326325011,0.266639107069037,0.254768969902501,0.266813186813187,0.134769750739332,0.151793160967473,-0.00461990760184796,0.0571696344892221,"22",0,0,0
639415,7691795,-0.00347088314693405,0.0175932441942294,0.0655487804878049,0.0344827586206897,-0.00226073850791258,0.0960359624029424,0.147368421052632,0.276100086281277,0.269565217391304,0.284833538840937,0.305028854080791,0.321920668058455,0.168630637952052,0.167741935483871,0.00126635711270578,0.00923076923076923,"23",0,0,0
639425,7691795,0.00228658536585366,0.0350597609561753,-0.017727404824179,0.0254588513913558,-0.00852167469433123,0.116966067864271,0.145228215767635,0.333888426311407,0.335793357933579,0.325922985311632,0.363268608414239,0.362271805273834,0.204363636363636,0.192646495595557,0.00812347684809098,0.0275294958884519,"24",0,0,0
639435,7691795,0,-0.010957324106113,-0.026857654431513,-0.0245454545454545,-0.00802919708029197,0.0854572713643178,0.186137250401653,0.34086156419908,0.360774818401937,0.382911392405063,0.374333743337433,0.389297791923612,0.190988567585743,0.204301075268817,0.00386697602474865,0.0179372197309417,"25",0,0,0
639445,7691795,-0.0053475935828877,-0.0240396530359356,-0.0295698924731183,0.0125991600559963,-0.00766143743159431,0.0391173520561685,0.207339449541284,0.357316087308003,0.370304818092429,0.384585517375267,0.384215784215784,0.394272263632797,0.148430356598598,0.212403100775194,-0.0033085194375517,0.012555690562981,"26",0,0,0
639455,7691795,-0.00510404397330192,-0.00618556701030928,-0.0105263157894737,-0.00704845814977974,-0.00632675846669148,-0.0707309854986682,0.228367528991971,0.371056381029921,0.382598331346841,0.409160305343511,0.415457041977246,0.420091324200913,0.163033466380104,0.236517719568567,-0.00491729995529727,0.0163934426229508,"27",0,0,0
639465,7691795,-0.011208967173739,-0.0127418593676262,-0.0458488228004957,-0.017644645055396,-0.00716710675216899,-0.100934579439252,0.22369020501139,0.380350591112923,0.398825831702544,0.439217162213022,0.448446731465599,0.45440928665044,0.193366500829187,0.226625625240477,-0.0102632753235163,0.000923361034164358,"28",0,0,0
639475,7691795,-0.0147540983606557,-0.0539072294191392,-0.0360248447204969,-0.0286188303608461,-0.0141383263278563,-0.103952478866804,0.216602404173282,0.369751324908276,0.405883483945395,0.457460375296047,0.441413753361506,0.480131243164419,0.199365079365079,0.226158038147139,-0.0157845868152275,0.000968992248062015,"29",0,0,0
639485,7691795,-0.0137557315548145,-0.0419111483654652,-0.0331400165700083,-0.0217937971500419,-0.0100308641975309,-0.100664985095162,0.247084708470847,0.375149820215741,0.408018415499712,0.449136981270657,0.445701357466063,0.460234680573664,0.168121000581734,0.242193450114242,-0.00897496457250827,0.00226415094339623,"30",0,0,0
639495,7691795,-0.008,-0.0401381096245145,-0.0348300461603021,-0.0247229326513214,-0.00464756003098373,-0.0966415352981494,0.270538542766631,0.411094224924012,0.444222020018198,0.470060953746863,0.471576689309975,0.482009262557891,0.133726647000983,0.235487404162103,-0.00932835820895522,-0.0082389289392379,"31",0,0,0
639505,7691795,-0.00930626057529611,-0.0413999146393513,-0.0354906054279749,-0.02457309454394,-0.00927357032457496,-0.101660222879236,0.256562235393734,0.41017733230532,0.448110599078341,0.501894591801585,0.485346676197284,0.50401116149285,0.164817320703654,0.240174672489083,-0.0135013501350135,-0.00383141762452107,"32",0,0,0
639195,7691785,-0.00910746812386157,-0.0339285714285714,-0.0349531116794544,-0.022202873313017,-0.00614439324116743,-0.094178892569806,0.20980689954437,0.310032894736842,0.320919175911252,0.324470294972995,0.352727272727273,0.356953777234779,0.227784245246411,0.184587452087956,-0.0267484662576687,-0.00479386385426654,"33",0,0,0
639205,7691785,-0.0155963302752294,-0.0296495956873315,-0.0348128807658834,-0.0197255574614065,-0.00746561886051081,-0.0944563407090174,0.233758348512447,0.314724919093851,0.330434782608696,0.351794071762871,0.364190012180268,0.376218323586745,0.239221671117894,0.213114754098361,-0.016710182767624,-0.00368809272918862,"34",0,0,0
639215,7691785,-0.0202925908447381,-0.0425999121651296,-0.0376940133037694,-0.0374665477252453,-0.0120481927710843,-0.094747177221404,0.122742577288032,0.257263157894737,0.258484525080043,0.330522765598651,0.311653116531165,0.359482578760693,0.182698515171078,0.169894366197183,0.00665316748625976,-0.0225165562913907,"35",0,0,0
639225,7691785,-0.0304543185222167,-0.0448662640207075,-0.0332434860736747,-0.0369020501138952,-0.00776460972619534,-0.100944803580308,0.0417975356366272,0.206061976928297,0.231884057971014,0.27331486611265,0.260431654676259,0.310490495188923,0.151051625239006,0.0727367870225013,-0.0199733688415446,-0.0604838709677419,"36",0,0,0
639235,7691785,-0.0261569416498994,-0.0490693739424704,-0.0422409959982214,-0.036330608537693,-0.00780928894369092,-0.0946745562130177,-0.0447119518486672,0.180265654648956,0.197542533081285,0.264234255170811,0.248794599807136,0.2961768770152,0.116213683223993,0.0752351097178683,-0.0622406639004149,-0.0360288230584468,"37",0,0,0
639245,7691785,-0.016328550222662,-0.0481372959397237,-0.0415561450044209,-0.024,-0.010655737704918,-0.0908193484698914,-0.0418189200162404,0.158627087198516,0.195533380850558,0.223244552058111,0.241080038572806,0.251028806584362,0.127205199628598,0.0922509225092251,-0.0459231490159325,-0.0554507732930969,"38",0,0,0
639255,7691785,-0.0161685448309652,-0.0396588486140725,-0.0345128877238969,-0.0232350312779267,-0.0113268608414239,-0.0994610485056345,0.00568927789934354,0.194431108977436,0.201430274135876,0.225251076040172,0.244064577397911,0.277471869762988,0.129855205699839,0.083080040526849,0.0030060120240481,-0.0297435897435897,"39",0,0,0
639265,7691785,-0.0164861045690061,-0.0419161676646707,-0.0320375907731739,-0.0270506108202443,-0.0112359550561798,-0.0968833051461706,0.0313976104473465,0.156797726196116,0.180678123548537,0.239410681399632,0.211645101663586,0.254345837145471,0.124971853186219,0.110361445783133,-0.0362981435300637,-0.0418576229758631,"40",0,0,0
639275,7691785,-0.0160857908847185,-0.0472636815920398,-0.025974025974026,-0.0304054054054054,-0.0102362204724409,-0.0932203389830508,-0.0259311645450259,0.171717171717172,0.219360568383659,0.217043941411451,0.263250494831757,0.247546346782988,0.147368421052632,0.130652124517155,0,-0.0431282346175963,"41",0,0,0
639285,7691785,-0.0141548709408826,-0.0463791700569569,-0.020646669263732,-0.0270052398226522,-0.00919540229885057,-0.0717059280352058,-0.0467690110674759,0.209111617312073,0.255474452554745,0.28518365662402,0.281341719077568,0.309955663039097,0.194908512330947,0.174757281553398,0.0116279069767442,-0.0196917808219178,"42",0,0,0
639295,7691785,-0.0129179331306991,-0.0338842975206612,-0.0224719101123595,-0.0199296600234467,-0.0114433370247324,-0.0495449949443883,0.0133678309616214,0.248780487804878,0.267886855241265,0.295032914422502,0.3056,0.32481610530391,0.184597961494904,0.195095564370718,0.0194205666985037,0.0328022492970947,"43",0,0,0
