X,Y,id,ndvi.max_p,ndvi.max.doy_p,ndvi.max_s,ndvi.max.doy_s,ndvi.max_b,ndvi.max.doy_b,snow.persist
639175,7691815,"1",0.198018158094783,232,0.182671730085146,"228",0.18074768429616,"205",
639185,7691815,"2",0.263024256913923,233,0.256384178406542,"231",0.25760546410056,"222",
639195,7691815,"3",0.313010945479618,233,0.309712531680467,"231",0.311119212510176,"240",
639205,7691815,"4",0.351905147661455,232,0.349668319360237,"229",0.385489096277452,"228",
639215,7691815,"5",0.410976432496682,229,0.405810163485924,"228",0.420798785000186,"242",
639225,7691815,"6",0.427796787647821,230,0.423201264441456,"229",0.435373053588051,"226",
639235,7691815,"7",0.42925114287209,229,0.421122928637542,"226",0.499153548090155,"230",
639245,7691815,"8",0.471308325140853,228,0.451641130060606,"224",0.447333634451563,"234",
639255,7691815,"9",0.50809376903635,230,0.478653204649527,"225",0.470098159664682,"215",
639265,7691815,"10",0.51683036320901,231,0.496627899979779,"228",0.494849484680303,"238",
639275,7691815,"11",0.512128572299844,231,0.490130492845482,"228",0.477042012869271,"205",
639285,7691815,"12",0.521768473423435,230,0.497255115012378,"228",0.488575261623345,"231",
639295,7691815,"13",0.5044883730734,229,0.483397572531207,"228",0.480914881052027,"227",
639305,7691815,"14",0.488231439550873,230,0.4656169650051,"227",0.456593224942403,"222",
639315,7691815,"15",0.462317489349516,229,0.443744464197105,"227",0.435456631468655,"220",
639325,7691815,"16",0.442204433085863,229,0.425207756929057,"226",0.418195381101752,"199",
639335,7691815,"17",0.428242236812366,229,0.413886003103041,"226",0.457849155008454,"232",
639345,7691815,"18",0.417079346203536,228,0.402847280854035,"226",0.408666037253591,"220",
639355,7691815,"19",0.41175830551947,228,0.400953805712054,"227",0.408499666433393,"223",
639365,7691815,"20",0.408674080077617,227,0.397233625829858,"225",0.402284884943123,"222",
639375,7691815,"21",0.383953616001236,226,0.380782623263295,"226",0.390940198609006,"242",
639385,7691815,"22",0.381602562265471,228,0.367635100930227,"225",0.346750127391741,"205",
639395,7691815,"23",0.386829417555418,229,0.364709627875389,"225",0.369513679154719,"212",
639405,7691815,"24",0.381804206488596,230,0.354468199557133,"226",0.338263792571805,"265",
639415,7691815,"25",0.358711175511417,230,0.336199411959012,"227",0.343365306437803,"216",
639425,7691815,"26",0.376009420346236,228,0.356165910528256,"225",0.354857863334192,"208",
639435,7691815,"27",0.394670579094964,225,0.384877293842378,"223",0.379333488640301,"223",
639445,7691815,"28",0.428940946701914,227,0.408532313088209,"224",0.425575151528827,"207",
639455,7691815,"29",0.432720863565919,228,0.410015646404426,"225",0.404501938305309,"206",
639465,7691815,"30",0.460234517653589,228,0.438853294641674,"225",0.433535513934188,"209",
639475,7691815,"31",0.496087333100149,228,0.480679224900273,"227",0.477914871313598,"229",
639485,7691815,"32",0.52851541324344,229,0.511471993535416,"227",0.529132210896997,"225",
639495,7691815,"33",0.542551348306006,229,0.519786966489325,"227",0.517075019200308,"232",
639505,7691815,"34",0.532408421262517,229,0.510114628980407,"226",0.504578105719686,"196",
639515,7691815,"35",0.5153610270645,229,0.497402428109366,"227",0.49592009127552,"222",
639175,7691805,"36",0.21485509573904,233,0.196636656212646,"230",0.199801194892975,"237",
639185,7691805,"37",0.235222423565574,235,0.229182928465367,"233",0.226350227049005,"233",
639195,7691805,"38",0.235461998454412,234,0.227789188978515,"233",0.220878624380005,"207",
639205,7691805,"39",0.262145764645538,233,0.254618908888366,"232",0.265769575558459,"238",
639215,7691805,"40",0.281083942187252,232,0.281510352198862,"231",0.28488485614873,"237",
639225,7691805,"41",0.323318897535501,234,0.313831528874944,"230",0.308924507581014,"223",
639235,7691805,"42",0.389556908645318,233,0.376568107894844,"230",0.358941119095414,"200",
639245,7691805,"43",0.444235294802638,233,0.431472460730956,"230",0.430468117625436,"241",
639255,7691805,"44",0.463060838570527,234,0.444303165144457,"232",0.513889341336528,"237",
639265,7691805,"45",0.483672012240277,233,0.480957874609903,"232",0.386386671898242,"206",
639275,7691805,"46",0.50097154553805,232,0.496989268517152,"231",0.493625682476548,"226",
639285,7691805,"47",0.485805346688721,232,0.472434290197932,"231",0.483152782537553,"239",
639295,7691805,"48",0.451037082537368,230,0.438322834755378,"228",0.439387682572519,"240",
639305,7691805,"49",0.426502635797078,228,0.416897394009748,"227",0.423838951354707,"239",
639315,7691805,"50",0.390968294886989,228,0.389044439060512,"227",0.412137441196192,"228",
639325,7691805,"51",0.366255593507958,228,0.365790678798797,"228",0.33839064022275,"215",
639335,7691805,"52",0.350969635299407,230,0.34812286788008,"228",0.37596439611739,"246",
639345,7691805,"53",0.351865254000586,229,0.339156410840907,"225",0.337522837483706,"229",
639355,7691805,"54",0.361871416898794,227,0.361419852780547,"227",0.371530346775353,"242",
639365,7691805,"55",0.349962443826371,228,0.35441528969367,"229",0.366133283184783,"225",
639375,7691805,"56",0.34584644511051,226,0.344004230219249,"227",0.352711624952495,"242",
639385,7691805,"57",0.344368837562797,225,0.345046880371081,"227",0.360673458657648,"239",
639395,7691805,"58",0.348127365134133,226,0.343485940533253,"226",0.396084393448209,"230",
639405,7691805,"59",0.346067003723874,230,0.332577014542136,"228",0.330745558358444,"224",
639415,7691805,"60",0.318767960590776,229,0.305930082473361,"228",0.298215812079796,"224",
639425,7691805,"61",0.353143929125508,225,0.347728182760145,"224",0.358733789521552,"236",
639435,7691805,"62",0.40368114116427,225,0.393260576265584,"223",0.401744619422937,"218",
639445,7691805,"63",0.42202041548444,226,0.403423079479258,"224",0.39754080024116,"202",
639455,7691805,"64",0.426641820522491,227,0.40651944150688,"224",0.431445198676779,"204",
639465,7691805,"65",0.465061963550397,228,0.445453977398083,"226",0.439584970899321,"207",
639475,7691805,"66",0.506178061870742,228,0.486710218920064,"226",0.485350550361905,"218",
639485,7691805,"67",0.530728164958418,228,0.513123301856129,"226",0.513149003207703,"223",
639495,7691805,"68",0.550418663377059,228,0.533077043310432,"226",0.530453151947516,"223",
639505,7691805,"69",0.543172327277716,229,0.527624783980453,"228",0.53008811129149,"233",
639515,7691805,"70",0.523813647901989,228,0.506147560992169,"227",0.499514574443091,"224",
639175,7691795,"71",0.334467222375679,231,0.312259212090261,"228",0.30384438964808,"269",
639185,7691795,"72",0.323265065810119,232,0.306177693245774,"231",0.296745603704991,"213",
639195,7691795,"73",0.300323137249507,232,0.28477969922865,"229",0.287011640434846,"238",
639205,7691795,"74",0.31349032450089,232,0.299475063944177,"231",0.309861328057779,"243",
639215,7691795,"75",0.245072529956815,235,0.257413913905975,"235",0.238812952219369,"203",
639225,7691795,"76",0.245607489581744,237,0.245814360297783,"235",0.239842718489151,"238",
639235,7691795,"77",0.292410397880303,235,0.29642831388791,"233",0.291808351277427,"232",
639245,7691795,"78",0.31089035369223,236,0.321764152009589,"234",0.312578589625727,"210",
639255,7691795,"79",0.314261646926752,235,0.322523430206852,"234",0.297435037706062,"212",0.3173375
639265,7691795,"80",0.32926583999506,234,0.325222695844064,"232",0.321463766117748,"235",0.284695273631841
639275,7691795,"81",0.385094082834257,232,0.380423775180329,"231",0.417837260978849,"229",
639285,7691795,"82",0.419249395723455,233,0.408964543304887,"230",0.416267580438771,"234",
639295,7691795,"83",0.387788360705599,230,0.388756016541579,"229",0.396000693846996,"226",
639305,7691795,"84",0.353010046681447,229,0.356906905179497,"229",0.300643451060202,"63",
639315,7691795,"85",0.305102388752857,229,0.30939107647399,"231",0.340157213715293,"250",
639325,7691795,"86",0.2645097169152,231,0.271733946495931,"231",0.278649153674277,"229",
639335,7691795,"87",0.255547096683586,232,0.255225665231789,"231",0.265044000877766,"227",
639345,7691795,"88",0.276782189972437,234,0.283823423982278,"231",0.277327605025195,"231",
639355,7691795,"89",0.330863906085142,233,0.327934001183616,"232",0.328513725428068,"246",
639365,7691795,"90",0.29542329783726,234,0.306280257525243,"233",0.332456098811765,"250",
639375,7691795,"91",0.259423541043361,232,0.267943638488429,"232",0.351583165673436,"242",
639385,7691795,"92",0.246790574732586,230,0.250540272158627,"231",0.256033683389566,"225",
639395,7691795,"93",0.23443411901826,226,0.234962992244665,"227",0.245371344867163,"235",
639405,7691795,"94",0.254125683874008,223,0.262020714750107,"227",0.28349095013477,"238",
639415,7691795,"95",0.303989454434486,227,0.307594751530748,"229",0.321301762989348,"238",
639425,7691795,"96",0.357222411701514,227,0.356061886737978,"227",0.37158746952447,"244",
639435,7691795,"97",0.387237913906574,226,0.384241044976792,"226",0.392195445248385,"238",
639445,7691795,"98",0.39796022727387,225,0.39020743321623,"224",0.392140026739462,"217",
639455,7691795,"99",0.435414875188144,227,0.417300827173704,"224",0.43475001326093,"208",
639465,7691795,"100",0.468485100354883,228,0.44925636082736,"226",0.397714746200839,"210",
639475,7691795,"101",0.477531525189988,228,0.46302644559528,"228",0.460834974654409,"230",
639485,7691795,"102",0.469875686641899,227,0.452242969704881,"225",0.475302118423572,"207",
639495,7691795,"103",0.494660470547387,225,0.476329316963499,"224",0.494486601902417,"217",
639505,7691795,"104",0.51317098706204,226,0.496830554903469,"225",0.494420702547066,"212",
639515,7691795,"105",0.532869132104679,228,0.516173311400457,"226",0.511249136191835,"225",
639175,7691785,"106",0.41325311561377,231,0.394646932373831,"229",0.385842374824566,"218",
639185,7691785,"107",0.389756741904421,231,0.368288164623495,"229",0.360369648068124,"213",
639195,7691785,"108",0.37908550609427,231,0.350993102685281,"227",0.346354615316576,"217",
639205,7691785,"109",0.396056470715848,231,0.369002485728018,"228",0.36078546806635,"215",
639215,7691785,"110",0.346841804566793,231,0.341710085395546,"231",0.365033967653206,"241",
639225,7691785,"111",0.296008884288312,232,0.293704943566979,"232",0.299523125288103,"227",
639235,7691785,"112",0.272242448088946,232,0.282194978940677,"232",0.288697449367202,"230",
639245,7691785,"113",0.249277419527061,234,0.249406142437683,"232",0.247279280042261,"228",
639255,7691785,"114",0.26410483122163,233,0.262109825045464,"232",0.268962495606456,"228",0.254425
639265,7691785,"115",0.244379723335442,233,0.243772572710713,"232",0.252415732861615,"236",0.266324626865672
639275,7691785,"116",0.261674692810629,234,0.252835924176517,"231",0.253200585203287,"228",0.30951875
639285,7691785,"117",0.31242911771551,236,0.309369258424255,"233",0.308192666953329,"225",0.3602125
639295,7691785,"118",0.324506443896098,233,0.320068792124145,"231",0.315969380850081,"237",0.37575625
639305,7691785,"119",0.345698124103365,233,0.334085991508065,"230",0.333358632472327,"238",0.36724375
639315,7691785,"120",0.290732425790338,235,0.300800141312191,"235",0.313147846059289,"245",0.35701875
639325,7691785,"121",0.254157545386988,237,0.255469790789855,"235",0.245193584137834,"256",0.37096875
639335,7691785,"122",0.237250923943066,237,0.231796032666307,"235",0.2303246509142,"247",0.33943125
639345,7691785,"123",0.275340464046167,234,0.263315767489574,"231",0.284742861833732,"249",0.296475
639355,7691785,"124",0.294216445712664,235,0.292589674767711,"234",0.252292763827305,"211",
639365,7691785,"125",0.276837673452974,235,0.277167231188654,"235",0.302442425206243,"248",
639375,7691785,"126",0.229183535542688,235,0.232390602629837,"235",0.250578541529999,"235",0.2923
639385,7691785,"127",0.18796078671221,236,0.196283288993679,"236",0.179861340438896,"198",
639395,7691785,"128",0.163320303872752,239,0.167465138928101,"237",0.149920314234093,"202",
639405,7691785,"129",0.170940166655782,235,0.163882276815315,"231",0.167192244754369,"218",
639415,7691785,"130",0.22931931365747,230,0.227330036390666,"226",0.245835856271457,"235",
639425,7691785,"131",0.345606390808825,230,0.333592728458391,"227",0.335310654702046,"235",
639435,7691785,"132",0.387552926789795,230,0.372930970880734,"227",0.358969119046633,"219",
639445,7691785,"133",0.405095802532742,227,0.391744463240884,"224",0.389660522221128,"217",
639455,7691785,"134",0.459951241209637,229,0.437477378647438,"226",0.429666051851269,"218",
639465,7691785,"135",0.470329637464602,228,0.449827026821581,"226",0.4436651303571,"219",
639475,7691785,"136",0.46161034933175,229,0.447902310433304,"228",0.447016691417794,"233",
639485,7691785,"137",0.437824209191604,226,0.42329202467948,"225",0.420747619420433,"228",
639495,7691785,"138",0.459954469784861,224,0.442979769232644,"223",0.457746804194769,"212",
639505,7691785,"139",0.477738068875624,225,0.460444949006154,"224",0.490141750207397,"226",
639515,7691785,"140",0.501503039587988,226,0.48458770103243,"225",0.480964326884839,"211",
639175,7691775,"141",0.483654864918208,230,0.465671610432103,"229",0.456599944484049,"213",
639185,7691775,"142",0.458303984269151,231,0.434904098352926,"228",0.428395752721762,"215",
639195,7691775,"143",0.458147271543567,231,0.430508731302193,"229",0.420588606537309,"211",
639205,7691775,"144",0.457818786569987,231,0.434583630773598,"229",0.424902070548648,"207",
639215,7691775,"145",0.412334681881475,231,0.400426921868967,"231",0.409596073415361,"238",
639225,7691775,"146",0.320695061098377,232,0.312845127470528,"232",0.327765090256182,"240",
639235,7691775,"147",0.288017125807528,231,0.270800064127123,"230",0.280608365978575,"229",
639245,7691775,"148",0.293227943155216,232,0.275581713356789,"230",0.31568387940468,"236",
639255,7691775,"149",0.310455428225396,232,0.293078790904738,"230",0.289710239562793,"233",0.249825
639265,7691775,"150",0.297733242005052,232,0.283235788457106,"231",0.277019215241814,"232",0.246983830845771
639275,7691775,"151",0.292745701124659,230,0.279270787212362,"229",0.286743224233776,"233",0.2459125
639285,7691775,"152",0.293488436378539,231,0.293546043591374,"231",0.301836591798967,"234",0.2712625
639295,7691775,"153",0.247946343479271,235,0.25685170381593,"234",0.262484392322755,"241",0.26855625
639305,7691775,"154",0.24546024868323,235,0.249803721277217,"234",0.224911355929133,"205",0.2923125
639315,7691775,"155",0.238237683821353,237,0.241833246630124,"236",0.205557802372059,"253",0.29503125
639325,7691775,"156",0.244640552962665,235,0.239093287336201,"233",0.234353604962523,"237",0.298125
639335,7691775,"157",0.270601668504241,237,0.261858954422031,"235",0.259112458930498,"248",0.275725
639345,7691775,"158",0.288554079983442,239,0.277694394756959,"237",0.264901932815708,"257",0.268375
639355,7691775,"159",0.272183258020959,237,0.269675075283905,"236",0.247350796759294,"220",0.27839375
639365,7691775,"160",0.294806614583649,237,0.292737179415841,"235",0.268980960360568,"198",0.2724375
639375,7691775,"161",0.266196027441765,237,0.27741781323633,"236",0.225024661347414,"212",0.26904375
639385,7691775,"162",0.241416966564429,237,0.240905817451093,"236",0.208017952589849,"225",
639395,7691775,"163",0.250657222160953,237,0.259273156460814,"237",0.275014420528283,"242",
639405,7691775,"164",0.238534321062616,236,0.24821108660378,"236",0.237062253294986,"228",
639415,7691775,"165",0.260354133381043,238,0.248800641373304,"234",0.245099577994053,"201",
639425,7691775,"166",0.36107413861464,233,0.344841913256998,"230",0.356392389493755,"233",
639435,7691775,"167",0.413327521040628,232,0.391044766815395,"228",0.375618996992914,"219",
639445,7691775,"168",0.449863274887321,231,0.428153072678538,"228",0.421703678810034,"222",
639455,7691775,"169",0.479120868214522,230,0.454929781138531,"227",0.444887919478049,"230",
639465,7691775,"170",0.479008757931297,229,0.455390954882195,"226",0.466924297260821,"225",
639475,7691775,"171",0.466154569250648,229,0.448624079534694,"228",0.441781704297794,"221",
639485,7691775,"172",0.444633150837035,228,0.428062262226802,"226",0.428597215273135,"220",
639495,7691775,"173",0.45506882101472,226,0.437443932111882,"224",0.452708069131682,"210",
639505,7691775,"174",0.460661514021922,224,0.443648068689625,"223",0.439526115489772,"225",
639515,7691775,"175",0.466484544798732,224,0.449418841462616,"223",0.466441061789078,"224",
639175,7691765,"176",0.494068181520561,230,0.469056267120991,"228",0.461389262243612,"215",
639185,7691765,"177",0.485122036086977,230,0.456989960252259,"227",0.438589348578021,"239",
639195,7691765,"178",0.491049353062408,230,0.465663323251246,"228",0.456540025241358,"213",
639205,7691765,"179",0.477737881112262,231,0.45905325503276,"229",0.455546143926092,"233",
639215,7691765,"180",0.426194571016822,231,0.414573842548277,"231",0.424963451966611,"235",
639225,7691765,"181",0.358748232392827,231,0.34325273409183,"230",0.337317234018302,"210",
639235,7691765,"182",0.349981836458028,230,0.3265982823105,"228",0.392820110375855,"238",
639245,7691765,"183",0.346716108717374,230,0.32546431635982,"228",0.31481545537868,"186",
639255,7691765,"184",0.340421053806494,231,0.319231509360612,"228",0.313681481122219,"211",0.09229375
639265,7691765,"185",0.345590537428507,230,0.324928478602469,"228",0.311511131280274,"236",0.143861940298507
639275,7691765,"186",0.358385036357504,229,0.3412470496401,"228",0.337336080092395,"231",0.18966875
639285,7691765,"187",0.352710392071458,230,0.341247694405763,"230",0.345960509692055,"236",0.24940625
639295,7691765,"188",0.302913308907591,233,0.307941100353111,"233",0.331557621519491,"239",0.2539125
639305,7691765,"189",0.243397905738675,236,0.252318624944653,"235",0.263497286778662,"236",0.27050625
639315,7691765,"190",0.263016369230172,236,0.263305350964248,"235",0.249995671118781,"206",0.27090625
639325,7691765,"191",0.294216976129974,237,0.292781337062748,"235",0.26664349444198,"206",0.2708
639335,7691765,"192",0.334930353565142,236,0.33128089470089,"234",0.321931924690846,"260",0.27791875
639345,7691765,"193",0.360321680724155,237,0.355023815421978,"235",0.274489506087969,"1",0.266675
639355,7691765,"194",0.339729985251324,236,0.336505392764002,"234",0.328311116654832,"261",0.26566875
639365,7691765,"195",0.352129358761886,236,0.348120207993989,"234",0.380708621051574,"233",0.25994375
639375,7691765,"196",0.341492329884204,236,0.352429357933787,"235",0.265892086680892,"186",0.25331875
639385,7691765,"197",0.335786610288778,235,0.347243694896905,"235",0.350011559926281,"228",0.2571375
639395,7691765,"198",0.365453348771553,235,0.379537975310163,"234",0.388968292998583,"229",
639405,7691765,"199",0.377460167706886,233,0.38862674790766,"233",0.42816193414824,"247",
639415,7691765,"200",0.393516118419939,233,0.399580684874848,"233",0.424346504420625,"232",
639425,7691765,"201",0.449924475135049,233,0.450174945018027,"232",0.459550056854735,"228",
639435,7691765,"202",0.461291550745955,231,0.45672534560618,"231",0.463832163674436,"230",
639445,7691765,"203",0.470694095783983,231,0.467934632257038,"231",0.477839663486481,"230",
639455,7691765,"204",0.490384675431415,231,0.478031299958767,"229",0.482321621492461,"228",
639465,7691765,"205",0.501777524885256,230,0.482523961672387,"228",0.481796992242289,"224",
639475,7691765,"206",0.475054698792519,230,0.460727460795843,"229",0.475345286863592,"225",
639485,7691765,"207",0.438368411065312,230,0.421019633122908,"228",0.425673603649595,"222",
639495,7691765,"208",0.4566882900981,228,0.438763017228383,"225",0.431101059633544,"223",
639505,7691765,"209",0.47213969603763,226,0.454180980531262,"223",0.434331100246485,"188",
639515,7691765,"210",0.485352284871624,227,0.46765077912433,"225",0.462547963078569,"216",
639175,7691755,"211",0.491602440684801,230,0.461939385021834,"227",0.45177989827108,"213",
639185,7691755,"212",0.490391583298333,231,0.466028701451436,"229",0.44193723317457,"200",
639195,7691755,"213",0.489234575565206,231,0.470157638480404,"229",0.444014604926336,"217",
639205,7691755,"214",0.461265040474245,231,0.444291180560755,"230",0.449867289355689,"237",
639215,7691755,"215",0.41028687821381,231,0.394755180175106,"230",0.385273378699389,"218",
639225,7691755,"216",0.391672678852046,232,0.365357715654569,"229",0.356574622066948,"221",
639235,7691755,"217",0.401004222738266,231,0.37688770711693,"229",0.367699792809834,"215",
639245,7691755,"218",0.396557432002737,230,0.373182737812402,"228",0.366845636592633,"212",
639255,7691755,"219",0.387510870757978,230,0.366569053684996,"229",0.357704189713048,"213",0.02665
639265,7691755,"220",0.378267732790846,230,0.355153371039674,"228",0.348197907259736,"214",0.0218594527363184
639275,7691755,"221",0.378646387856861,230,0.354605855002538,"227",0.345678837373261,"211",0.05223125
639285,7691755,"222",0.364893646990822,230,0.34955852742257,"229",0.335700043646538,"216",0.15371875
639295,7691755,"223",0.343668057248578,230,0.338251887884357,"230",0.360191531939934,"237",0.14575
639305,7691755,"224",0.297613919668947,232,0.301001202365381,"232",0.313831595068995,"232",0.0978
639315,7691755,"225",0.281579572809278,231,0.275836298761933,"231",0.282657889573065,"230",0.0225125
639325,7691755,"226",0.312272690352984,230,0.30278434888366,"229",0.307647382846747,"224",0.0614125
639335,7691755,"227",0.352752318867715,233,0.354829771926452,"232",0.373807467702899,"229",0.25515
639345,7691755,"228",0.372787947315373,235,0.384728071210738,"234",0.353793035376001,"215",0.25193125
639355,7691755,"229",0.394902950414689,235,0.404205944831229,"233",0.404139293962987,"227",0.258625
