X,Y,2022-04-04,2022-05-12,2022-05-29,2022-06-08,2022-07-08,2022-07-18,2022-07-21,2022-07-26,2022-08-12,2022-09-16,2022-09-24,2022-09-29,2022-10-06,2022-11-08,id
314735,6763745,-0.0120210368144252,-0.0173584905660377,-0.0827891532927504,-0.066726780883679,0.403134378126042,0.0654049540773727,0.482888488619617,0.480216713183385,0.494080996884735,0.252150893448048,0.209365456396335,-0.0394484871696668,-0.0449077786688051,-0.132051282051282,"1"
314745,6763745,-0.0114161713369186,-0.0151057401812689,-0.0759130530729339,-0.0629432624113475,0.464167585446527,0.0577079382281225,0.526841448189763,0.552976639035418,0.558516801853998,0.26992125984252,0.209955328653478,-0.035195103289977,-0.0452543051661994,-0.134059097978227,"2"
314755,6763745,-0.0156257288119782,-0.0175569667538289,-0.0834797891036907,-0.0661959399823478,0.528894281814045,0.0638866613205025,0.584894527216404,0.625721352019786,0.618206157965194,0.29047907822923,0.218137254901961,-0.0360429447852761,-0.0465666929755328,-0.0951025056947608,"3"
314765,6763745,-0.0143782442923423,-0.0191082802547771,-0.0848402075935537,-0.0627468187801667,0.51596693143135,0.0667384284176534,0.618422970412476,0.630315789473684,0.64371932617058,0.328675770085742,0.260403530895334,-0.0313695485845448,-0.0431000395413207,-0.0802415875754961,"4"
314775,6763745,-0.00868221282785581,-0.0165868042757095,-0.0832389275503048,-0.0618466898954704,0.510115365323525,0.0804089527493783,0.648168701442841,0.610002977076511,0.625970359915314,0.340801086218602,0.266620973269363,-0.0013869625520111,-0.00930438635356668,-0.0580985915492958,"5"
314785,6763745,-0.00846475986812795,-0.0179028132992327,-0.080823749665686,-0.058469475494411,0.522562866000689,0.0733634311512415,0.624618957758746,0.601235521235521,0.610366129275275,0.336551724137931,0.278072972015586,-0.00823421774931381,0.00526064084170253,-0.0626716604244694,"6"
314795,6763745,-0.00804100026508792,-0.0212143379663497,-0.0804190169218372,-0.0671868227134807,0.521887713588283,0.0756255271296036,0.588377723970944,0.6023988005997,0.614145158990446,0.316504854368932,0.261904761904762,-0.0291115311909263,-0.0345911949685535,-0.0435695538057743,"7"
314805,6763745,-0.0129975629569456,-0.0208409506398537,-0.0817287120239623,-0.0667830641641205,0.506265664160401,0.0793650793650794,0.571676940097993,0.563647306650617,0.576556776556777,0.274324764074195,0.243190022973416,-0.0302137067059691,-0.0386824971275373,-0.0523415977961433,"8"
314815,6763745,-0.0146934035996606,-0.0209635895549834,-0.0810344827586207,-0.0641081552551243,0.498297389330306,0.0715859030837004,0.555089530569447,0.569635751453933,0.578638497652582,0.278613472858077,0.25,-0.0345853477129044,-0.0394321766561514,-0.0466269841269841,"9"
314825,6763745,-0.01101243339254,-0.0163083765752409,-0.0834516657564173,-0.0631578947368421,0.479595168135815,0.0670299727520436,0.518840579710145,0.564252696456086,0.564553990610329,0.273680760406424,0.24327868852459,-0.0362731152204836,-0.0381209087408548,-0.0365548322483726,"10"
314835,6763745,-0.0124688279301746,-0.0188261351052049,-0.0800962906226064,-0.065478841870824,0.427708822542771,0.0718562874251497,0.486513486513487,0.505425101214575,0.516103936517815,0.265746042438532,0.24327912379688,-0.0309973045822102,-0.0418638514743356,-0.0609220636663008,"11"
314845,6763745,-0.0158615717375631,-0.0195068089804932,-0.077998807523443,-0.0719131614654003,0.425234413554861,0.0799004700027647,0.506773298514771,0.488162344983089,0.4913112164297,0.273524451939292,0.244295302013423,-0.0348993288590604,-0.0482149429517851,-0.0681167716084717,"12"
314855,6763745,-0.0106509962354237,-0.0161883738042678,-0.0835371487580847,-0.0664240218380346,0.459450778866228,0.0811114229581813,0.49934296977661,0.506985707403244,0.498273155416013,0.273469387755102,0.236252545824847,-0.0357016613644397,-0.0465922217943781,-0.0554592720970537,"13"
314865,6763745,-0.0104002228619185,-0.0194029850746269,-0.0805812417437252,-0.0716083276138183,0.466155810983397,0.0818830242510699,0.498697916666667,0.525066792393525,0.519766189816951,0.273977311790993,0.246717346233587,-0.0314000738825268,-0.0428802588996764,-0.058379320360151,"14"
314875,6763745,-0.0113663160873461,-0.0203298810893748,-0.0776266019307853,-0.0673385249656436,0.456298200514139,0.0867185249207721,0.501605651894669,0.519325592492445,0.519607843137255,0.271098863244919,0.243512264486314,-0.0393149085247178,-0.0431472081218274,-0.0706274628675356,"15"
314885,6763745,-0.0119618383456826,-0.0180675569520817,-0.0813818687688384,-0.061865189289012,0.434383202099738,0.0984182776801406,0.495339119254259,0.496535796766744,0.513209316867282,0.261549149010073,0.228307254623044,-0.0429845904298459,-0.0500446827524576,-0.0893703452945159,"16"
314895,6763745,-0.0169208066896212,-0.0181245074862096,-0.0815315577830876,-0.0662944870900209,0.443054641211323,0.119588253103239,0.505791505791506,0.503471074380165,0.514770584538026,0.264344262295082,0.225986727209221,-0.0383157894736842,-0.0502325581395349,-0.0938271604938272,"17"
314905,6763745,-0.0118629397688509,-0.017029702970297,-0.078093009651945,-0.0653456003774475,0.458498023715415,0.127611700417872,0.491593813046402,0.512116316639742,0.515379786566227,0.278573925200979,0.238611713665944,-0.0309453158117847,-0.0474418604651163,-0.109276347741622,"18"
314915,6763745,-0.0118894436152144,-0.0134069400630915,-0.0853943070461969,-0.066415449835139,0.435793731041456,0.140495867768595,0.466621020198562,0.485249237029502,0.494053359048537,0.269682935518347,0.24062613760466,-0.0407002188183807,-0.0474584437484943,-0.126518218623482,"19"
314925,6763745,-0.0131578947368421,-0.0192232247940369,-0.0816573503140667,-0.0659212671791288,0.434064080944351,0.15264116575592,0.466942148760331,0.464788732394366,0.478543563068921,0.265349329569513,0.250449155587496,-0.0408765276021913,-0.0502535730751498,-0.115230460921844,"20"
314935,6763745,-0.0101071664381127,-0.0149253731343284,-0.0791100837908119,-0.0646950092421442,0.427991886409736,0.12987987987988,0.47448275862069,0.458217270194986,0.471461563840317,0.271107944424653,0.234227701232777,-0.0398959236773634,-0.0512104283054004,-0.155925155925156,"21"
