X,Y,2022-04-04,2022-05-12,2022-05-29,2022-06-08,2022-07-08,2022-07-21,2022-07-26,2022-08-12,2022-09-16,2022-09-24,2022-09-29,2022-10-06,id,2022-10-07,2022-10-10,2022-12-13
315055,6764205,-0.0162960122699386,-0.0183451890677649,-0.084843537414966,-0.0739079102715466,0.464621474517566,0.510243902439024,0.514730221780867,0.508100147275405,0.247882136279926,0.204987165383205,-0.0183117463153193,-0.0290337934316992,"1",0,0,0
315065,6764205,-0.015763168012303,-0.0180722891566265,-0.0842426887821912,-0.0560375146541618,0.454671761028135,0.514470548178413,0.511552284785213,0.507839127471029,0.240803943875616,0.206547155105222,-0.00464156781846313,-0.0242360379346681,"2",0,0,0
315075,6764205,-0.0155766253869969,-0.019310867095797,-0.0845085820487592,-0.066415449835139,0.46873920552677,0.514673821901727,0.514329843830444,0.513550135501355,0.228364468166222,0.203013481363997,-0.010465724751439,-0.0207929026892154,"3",0,0,0
315085,6764205,-0.00896074802766144,-0.0197268588770865,-0.0860244530950162,-0.0639575155853152,0.466009852216749,0.496580918267665,0.522576468684253,0.523386713175836,0.240675580577058,0.211668445393099,-0.040905134899913,-0.0291676547308513,"4",0,0,0
315095,6764205,-0.0159787593531258,-0.0166919575113809,-0.0840976043577344,-0.0644567219152855,0.466731110037055,0.515384615384615,0.536349453978159,0.540803897685749,0.268559698939446,0.219810040705563,-0.0419894007337954,-0.0584132519616391,"5",0,0,0
315105,6764205,-0.0158463740929062,-0.0161787365177196,-0.0824388873279011,-0.0670985654789449,0.444152431011827,0.509797622871828,0.496740547588005,0.508176100628931,0.264050901378579,0.223245924875974,-0.0409165302782324,-0.0388816076889471,"6",0,0,0
315115,6764205,-0.0123469082943344,-0.0166990291262136,-0.0819690640171616,-0.0672853828306264,0.468549422336329,0.498629695308722,0.513888888888889,0.523576987639249,0.25017135023989,0.226638772663877,-0.0343685300207039,-0.043633125556545,"7",0,0,0
315125,6764205,-0.0123862110132816,-0.0151104223169314,-0.0824275362318841,-0.0638888888888889,0.493081761006289,0.506576836701957,0.549175320708613,0.538182915786296,0.254691689008043,0.22289972899729,-0.0395841663334666,-0.043630017452007,"8",0,0,0
315135,6764205,-0.011243851018974,-0.0170542635658915,-0.0881269481439501,-0.0611863615133115,0.483290488431877,0.509977101733726,0.535635096610706,0.534552215680198,0.271388499298738,0.242068965517241,-0.0402576489533011,-0.0512932924156072,"9",0,0,0
315145,6764205,-0.0158714061153086,-0.01796875,-0.0852079072937969,-0.0637898686679174,0.471128608923885,0.517989157220306,0.51823858034834,0.524537922243467,0.273775216138329,0.256115107913669,-0.0422650800164136,-0.0440528634361234,"10",0,0,0
315155,6764205,-0.0148580797212829,-0.010989010989011,-0.0854754680254194,-0.0584095707248417,0.468346147554392,0.54813986907233,0.515269655620533,0.525851197982345,0.263157894736842,0.23493323709852,-0.0372881355932203,-0.0484094052558783,"11",0,0,0
315165,6764205,-0.0123964816624659,-0.011439842209073,-0.0848080900942312,-0.0590707448050432,0.495624502784407,0.584230477634572,0.543617854346124,0.554097359987792,0.25,0.212986086336068,-0.0388816076889471,-0.0591085271317829,"12",0,0,0
315175,6764205,-0.0131408092245364,-0.0142405063291139,-0.0828556539864513,-0.0622950819672131,0.521144278606965,0.60429402117191,0.570781768789617,0.571938168846611,0.240901213171577,0.203514938488576,-0.0426748790145183,-0.0498273310310804,"13",0,0,0
315185,6764205,-0.0103956555469356,-0.0150316455696203,-0.0831692343333719,-0.0588235294117647,0.527363184079602,0.608663837260354,0.581464428932125,0.585323238206174,0.24279263633206,0.209400210452473,-0.042380522993688,-0.0508303975842979,"14",0,0,0
315195,6764205,-0.00654403050445716,-0.0126782884310618,-0.0824368636023701,-0.0570626753975678,0.525529265255293,0.606704579467225,0.58562874251497,0.591543092056967,0.246387028551287,0.212270803949224,-0.0338827838827839,-0.0474498858157828,"15",0,0,0
315205,6764205,-0.0107770845150312,-0.0130280300039479,-0.0814272644098811,-0.0620558976788252,0.501259445843829,0.572607765209416,0.549751243781095,0.56497780499005,0.262169680111266,0.224947442186405,-0.0426748790145183,-0.0513565891472868,"16",0,0,0
315215,6764205,-0.0132245066639116,-0.0161353797717434,-0.0815858828921737,-0.0648302066017573,0.476096922069417,0.534090909090909,0.504465762487595,0.521144674085851,0.257101761956131,0.233611010503441,-0.0451327433628319,-0.0480769230769231,"17",0,0,0
315225,6764205,-0.0115191900408079,-0.015748031496063,-0.0839132685339622,-0.0631828978622328,0.484965563581388,0.574630279005946,0.511714770797963,0.52368464186199,0.250702115708669,0.221333333333333,-0.0436060754532092,-0.0383723924800412,"18",0,0,0
