X,Y,id,snow.auc,snow.av,2023-07-02,2023-07-12,2023-07-18,2023-07-26
639255,7691795,7,12.012218708452,0.475457419278253,0.998625,0.696675,0.206525,4.67711301044635e-06
639265,7691795,8,5.83499638888889,0.262132586805556,0.8452,0.1857,0.017625,5.34722222222222e-06
639255,7691785,39,5,0.25,1,0,0,0
639265,7691785,40,5.0026,0.25008125,1,0.000325,0,0
639275,7691785,41,5.139,0.25434375,1,0.017375,0,0
639285,7691785,42,6.33542091116173,0.289401306947608,0.975125,0.18245,2.5e-05,5.22779043280183e-06
639295,7691785,43,6.19587487804878,0.283370304878049,0.9556,0.172725,0.00515,6.21951219512195e-06
639305,7691785,44,6.27112669188735,0.281832918242959,0.91575,0.211325,0.00025,6.67297183690627e-06
639315,7691785,45,6.202925,0.285475,0.977425,0.164475,0,0
639325,7691785,46,5.7922,0.27475625,1,0.099025,0,0
639335,7691785,47,4.7559,0.2376,0.9491,0.0013,0,0
639345,7691785,48,4.6769,0.23381875,0.9351,0.000175,0,0
639375,7691785,51,5.0724,0.2522625,1,0.00905,0,0
639255,7691775,71,4.995,0.24975,0.999,0,0,0
639265,7691775,72,4.94125,0.2470625,0.98825,0,0,0
639275,7691775,73,4.912875,0.24564375,0.982575,0,0,0
639285,7691775,74,6.415975,0.2942375,0.999875,0.177075,0,0
639295,7691775,75,16.5114653811045,0.627582211319032,1,0.939175,0.57115,3.84527612962118e-06
639305,7691775,76,16.7358402436299,0.633425952726866,1,0.999925,0.533775,3.81090746535538e-06
639315,7691775,77,12.8343386260751,0.499544601629697,1,0.8471,0.151075,3.40651878678135e-06
639325,7691775,78,6.0028,0.2813375,1,0.12535,0,0
639335,7691775,79,5.0282,0.25088125,1,0.003525,0,0
639345,7691775,80,5,0.25,1,0,0,0
639355,7691775,81,5,0.25,1,0,0,0
639365,7691775,82,5,0.25,1,0,0,0
639375,7691775,83,5,0.25,1,0,0,0
639255,7691765,103,1.740625,0.08703125,0.348125,0,0,0
639265,7691765,104,2.72725,0.1363625,0.54545,0,0,0
639275,7691765,105,3.714375,0.18571875,0.742875,0,0,0
639285,7691765,106,4.988625,0.24943125,0.997725,0,0,0
639295,7691765,107,8.79042152899824,0.37453884556239,1,0.30335,0.1948,5.3822495606327e-06
639305,7691765,108,15.2098412284678,0.588007264279238,1,0.74565,0.606375,4.05711695376247e-06
639315,7691765,109,14.134393466899,0.551951154181185,0.9996,0.678975,0.529225,4.61672473867595e-06
639325,7691765,110,13.314594897084,0.520744993567753,1,0.73375,0.349225,4.97427101200685e-06
639335,7691765,111,13.4077985113567,0.522982719459791,1,0.7643,0.327625,5.87783916513197e-06
639345,7691765,112,10.1166008167331,0.414082863545817,1,0.5223,0.134025,6.45418326693227e-06
639355,7691765,113,7.08042324414716,0.315557702759197,1,0.244825,0.0174,5.81103678929765e-06
639365,7691765,114,5.697,0.27178125,1,0.087125,0,0
639375,7691765,115,5.3334,0.26041875,1,0.041675,0,0
639385,7691765,116,5,0.25,1,0,0,0
639255,7691755,135,0.448625,0.02243125,0.089725,0,0,0
639265,7691755,136,0.406375,0.02031875,0.081275,0,0,0
639275,7691755,137,0.968375,0.04841875,0.193675,0,0,0
639285,7691755,138,2.961,0.14805,0.5922,0,0,0
639295,7691755,139,2.856875,0.14284375,0.571375,0,0,0
639305,7691755,140,1.897375,0.09486875,0.379475,0,0,0
639315,7691755,141,0.406625,0.02033125,0.081325,0,0,0
639325,7691755,142,1.09875,0.0549375,0.21975,0,0,0
639335,7691755,143,10.2071737410072,0.42000773381295,0.99605,0.439075,0.2449,5.93525179856115e-06
639345,7691755,144,19.6389490702902,0.737107754393134,1,0.99995,0.948475,6.0175725378014e-06
639355,7691755,145,14.7127268535826,0.56905792834891,1,0.779125,0.4971,6.71339563862928e-06
639365,7691755,146,7.3448285684077,0.324551785525481,1,0.2574,0.0408,7.1421019242969e-06
639375,7691755,147,4.86525,0.2432625,0.97305,0,0,0
639385,7691755,148,2.39075,0.1195375,0.47815,0,0,0
639395,7691755,149,2.160625,0.10803125,0.432125,0,0,0
639405,7691755,150,1.626875,0.08134375,0.325375,0,0,0
639415,7691755,151,0.45875,0.0229375,0.09175,0,0,0
639425,7691755,152,2.7525,0.137625,0.5505,0,0,0
639255,7691745,167,0,0,0,0,0,0
639265,7691745,168,0,0,0,0,0,0
639275,7691745,169,0.0636575890940318,0.00248953681837699,0.0044,0.002775,0.002775,8.14727350794333e-06
639285,7691745,170,0.0015,7.5e-05,0.0003,0,0,0
639295,7691745,171,0,0,0,0,0,0
639305,7691745,172,0,0,0,0,0,0
639315,7691745,173,0,0,0,0,0,0
639325,7691745,174,0.38925,0.0194625,0.07785,0,0,0
639335,7691745,175,4.428125,0.22140625,0.885625,0,0,0
639345,7691745,176,9.80390025951557,0.403845328719723,1,0.49625,0.119125,6.31487889273357e-06
639355,7691745,177,11.9462,0.46706875,1,0.868275,0,0
639365,7691745,178,6.5032,0.296975,1,0.1879,0,0
639375,7691745,179,5,0.25,1,0,0,0
639385,7691745,180,4.84925,0.2424625,0.96985,0,0,0
639395,7691745,181,2.750125,0.13750625,0.550025,0,0,0
639405,7691745,182,1.61325,0.0806625,0.32265,0,0,0
639415,7691745,183,0.11575,0.0057875,0.02315,0,0,0
639425,7691745,184,1.435125,0.07175625,0.287025,0,0,0
639435,7691745,185,1.484,0.0742,0.2968,0,0,0
639445,7691745,186,3.72853700598802,0.185939812874252,0.73985,0.00195,0.00195,9.25149700598803e-06
639255,7691735,199,0,0,0,0,0,0
639265,7691735,200,0,0,0,0,0,0
639275,7691735,201,0,0,0,0,0,0
639285,7691735,202,0.000125,6.25e-06,2.5e-05,0,0,0
639295,7691735,203,0,0,0,0,0,0
639305,7691735,204,0,0,0,0,0,0
639315,7691735,205,0,0,0,0,0,0
639325,7691735,206,0.9515,0.047575,0.1903,0,0,0
639335,7691735,207,4.054875,0.20274375,0.810975,0,0,0
639345,7691735,208,5,0.25,1,0,0,0
639355,7691735,209,4.5015,0.225075,0.9003,0,0,0
639365,7691735,210,4.87775,0.2438875,0.97555,0,0,0
639375,7691735,211,4.6255,0.231275,0.9251,0,0,0
639385,7691735,212,2.498875,0.12494375,0.499775,0,0,0
639395,7691735,213,3.02675,0.1513375,0.60535,0,0,0
639405,7691735,214,4.953125,0.24765625,0.990625,0,0,0
639415,7691735,215,3.934875,0.19674375,0.786975,0,0,0
639425,7691735,216,4.342,0.2171,0.8684,0,0,0
639435,7691735,217,3.316125,0.16580625,0.663225,0,0,0
639445,7691735,218,4.993625,0.24968125,0.998725,0,0,0
639455,7691735,219,5,0.25,1,0,0,0
639465,7691735,220,4.425625,0.22128125,0.885125,0,0,0
639475,7691735,221,5,0.25,1,0,0,0
639245,7691725,230,0,0,0,0,0,0
639255,7691725,231,0,0,0,0,0,0
639265,7691725,232,0,0,0,0,0,0
639275,7691725,233,0,0,0,0,0,0
639285,7691725,234,0.000125,6.25e-06,2.5e-05,0,0,0
639295,7691725,235,0,0,0,0,0,0
639305,7691725,236,0,0,0,0,0,0
639315,7691725,237,0,0,0,0,0,0
639325,7691725,238,2.458,0.1229,0.4916,0,0,0
639335,7691725,239,4.665875,0.23329375,0.933175,0,0,0
639345,7691725,240,5,0.25,1,0,0,0
639355,7691725,241,3.55425,0.1777125,0.71085,0,0,0
639365,7691725,242,0.096875,0.00484375,0.019375,0,0,0
639375,7691725,243,0.118375,0.00591875,0.023675,0,0,0
639385,7691725,244,0,0,0,0,0,0
639395,7691725,245,1.135375,0.05676875,0.227075,0,0,0
639405,7691725,246,4.77375,0.2386875,0.95475,0,0,0
639415,7691725,247,4.997625,0.24988125,0.999525,0,0,0
639425,7691725,248,5,0.25,1,0,0,0
639435,7691725,249,5,0.25,1,0,0,0
639445,7691725,250,5.4852,0.2651625,1,0.06065,0,0
639455,7691725,251,5.8866,0.27770625,1,0.110825,0,0
639465,7691725,252,5.134,0.2541875,1,0.01675,0,0
639475,7691725,253,5,0.25,1,0,0,0
639485,7691725,254,5,0.25,1,0,0,0
639245,7691715,262,0.011375,0.00056875,0.002275,0,0,0
639255,7691715,263,0,0,0,0,0,0
639265,7691715,264,0.321375,0.01606875,0.064275,0,0,0
639275,7691715,265,1.434875,0.07174375,0.286975,0,0,0
639285,7691715,266,1.01925,0.0509625,0.20385,0,0,0
639295,7691715,267,0.8015,0.040075,0.1603,0,0,0
639305,7691715,268,0.224625,0.01123125,0.044925,0,0,0
639315,7691715,269,0.493625,0.02468125,0.098725,0,0,0
639325,7691715,270,3.4325,0.171625,0.6865,0,0,0
639335,7691715,271,4.97825,0.2489125,0.99565,0,0,0
639345,7691715,272,4.7915,0.239575,0.9583,0,0,0
639355,7691715,273,3.56675,0.1783375,0.71335,0,0,0
639365,7691715,274,0,0,0,0,0,0
639375,7691715,275,0,0,0,0,0,0
639385,7691715,276,0.039125,0.00195625,0.007825,0,0,0
639395,7691715,277,2.182,0.1091,0.4364,0,0,0
639405,7691715,278,4.1935,0.209675,0.8387,0,0,0
