X,Y,id,snow.auc,snow.av,2022-07-09,2022-07-19,2022-07-29,2022-08-04,2022-08-13
314985,6763625,64,0,0,0,0,0,0,0
314975,6763615,111,0,0,0,0,0,0,0
314985,6763615,112,0,0,0,0,0,0,0
314995,6763615,113,0,0,0,0,0,0,0
315005,6763615,114,0,0,0,0,0,0,0
314975,6763605,159,0,0,0,0,0,0,0
314985,6763605,160,0,0,0,0,0,0,0
314995,6763605,161,0,0,0,0,0,0,0
315005,6763605,162,0,0,0,0,0,0,0
315015,6763605,163,0,0,0,0,0,0,0
315025,6763605,164,0,0,0,0,0,0,0
314965,6763595,206,0,0,0,0,0,0,0
314975,6763595,207,0,0,0,0,0,0,0
314985,6763595,208,0,0,0,0,0,0,0
314995,6763595,209,0,0,0,0,0,0,0
315005,6763595,210,0,0,0,0,0,0,0
315015,6763595,211,0,0,0,0,0,0,0
315025,6763595,212,0,0,0,0,0,0,0
315035,6763595,213,0,0,0,0,0,0,0
315045,6763595,214,0,0,0,0,0,0,0
314965,6763585,254,0,0,0,0,0,0,0
314975,6763585,255,0,0,0,0,0,0,0
314985,6763585,256,0,0,0,0,0,0,0
314995,6763585,257,0,0,0,0,0,0,0
315005,6763585,258,0,0,0,0,0,0,0
315015,6763585,259,0,0,0,0,0,0,0
315025,6763585,260,0,0,0,0,0,0,0
315035,6763585,261,0,0,0,0,0,0,0
315045,6763585,262,0,0,0,0,0,0,0
315055,6763585,263,0,0,0,0,0,0,0
315065,6763585,264,0,0,0,0,0,0,0
314955,6763575,301,0,0,0,0,0,0,0
314965,6763575,302,0,0,0,0,0,0,0
314975,6763575,303,0,0,0,0,0,0,0
314985,6763575,304,0,0,0,0,0,0,0
314995,6763575,305,0,0,0,0,0,0,0
315005,6763575,306,0,0,0,0,0,0,0
315015,6763575,307,0,0,0,0,0,0,0
315025,6763575,308,0,0,0,0,0,0,0
315035,6763575,309,0,0,0,0,0,0,0
315045,6763575,310,0,0,0,0,0,0,0
315055,6763575,311,0,0,0,0,0,0,0
315065,6763575,312,0,0,0,0,0,0,0
315075,6763575,313,0,0,0,0,0,0,0
315085,6763575,314,0,0,0,0,0,0,0
314955,6763565,349,0.006375,0.000255,0.001275,0,0,0,0
314965,6763565,350,0,0,0,0,0,0,0
314975,6763565,351,0,0,0,0,0,0,0
314985,6763565,352,0.001125,4.5e-05,0.000225,0,0,0,0
314995,6763565,353,0,0,0,0,0,0,0
315005,6763565,354,0,0,0,0,0,0,0
315015,6763565,355,0,0,0,0,0,0,0
315025,6763565,356,0,0,0,0,0,0,0
315035,6763565,357,0,0,0,0,0,0,0
315045,6763565,358,0,0,0,0,0,0,0
315055,6763565,359,0,0,0,0,0,0,0
315065,6763565,360,0,0,0,0,0,0,0
315075,6763565,361,0,0,0,0,0,0,0
315085,6763565,362,0,0,0,0,0,0,0
315095,6763565,363,0,0,0,0,0,0,0
314945,6763555,396,13.1459,0.36328,1,0.80735,0.00905,0,0
314955,6763555,397,5.367975,0.162845,0.551775,0.25475,0.0077,0,0
314965,6763555,398,0.042375,0.001655,0.008075,0.0002,0,0,0
314975,6763555,399,0,0,0,0,0,0,0
314985,6763555,400,0,0,0,0,0,0,0
314995,6763555,401,0,0,0,0,0,0,0
315005,6763555,402,0,0,0,0,0,0,0
315015,6763555,403,0.000375,1.5e-05,7.5e-05,0,0,0,0
315025,6763555,404,0,0,0,0,0,0,0
315035,6763555,405,0,0,0,0,0,0,0
315045,6763555,406,0,0,0,0,0,0,0
315055,6763555,407,0,0,0,0,0,0,0
315065,6763555,408,0,0,0,0,0,0,0
315075,6763555,409,0,0,0,0,0,0,0
315085,6763555,410,0,0,0,0,0,0,0
