site,dist,aic,loglike,sig2,walds,waldp,lograts,logratp
bl,10,-3943.5153216323624,1975.7576608161812,3.1990272653046567e-4,48564.99766579615,0,2000.3695193319058,0
kh,10,-6952.09565863539,3480.047829317695,1.0425075509674305e-4,77920.43100257797,0,2413.775795662141,0
kl,10,-3879.9228187695353,1943.9614093847676,1.0359220042818477e-4,52700.31090800722,0,1762.4893434042233,0
bl,20,-3425.74748270049,1716.873741350245,7.664215357681916e-4,28102.67605835749,0,1482.6016804000333,0
kh,20,-6243.696432636496,3125.848216318248,2.4377865568912937e-4,46330.81218944693,0,1705.3765696632472,0
kl,20,-3456.2295441562574,1732.1147720781287,2.5275879522753097e-4,38202.67412987744,0,1338.7960687909454,0
bl,30,-3026.8938906721887,1517.4469453360944,0.0013662006849711238,16595.36986738887,0,1083.7480883717321,0
kh,30,-5715.7224251237185,2861.8612125618592,4.1985203990966077e-4,28252.029664022135,0,1177.4025621504697,0
kl,30,-3099.8606848927748,1553.9303424463874,4.785598329637138e-4,25388.287383683113,0,982.4272095274628,0
bl,40,-2825.6966779696286,1416.8483389848143,0.001803451753535657,10923.830122027182,0,882.550875669172,0
kh,40,-5399.9421747551005,2703.9710873775502,5.686579763975512e-4,12334.939887323659,0,861.6223117818517,0
kl,40,-2885.425781070342,1446.712890535171,6.866814172551806e-4,16118.792316388917,0,767.99230570503,0
bl,50,-2692.9524253296813,1350.4762126648407,0.002159713675394612,9584.339355572349,0,749.8066230292247,0
kh,50,-5157.2944309756485,2582.6472154878243,7.139083941354477e-4,4468.125809277589,0,618.9745680023998,0
kl,50,-2731.52660702925,1369.763303514625,8.856743685303383e-4,11744.480110423792,0,614.093131663938,0
bl,60,-2641.324782892809,1324.6623914464044,0.002317789783695241,12353.465536754255,0,698.1789805923522,0
kh,60,-5021.262100139611,2514.6310500698055,8.09480351703883e-4,1743.757595357156,0,482.94223716636225,0
kl,60,-2638.808334295006,1323.404167147503,0.0010293417580066072,8521.110856371484,0,521.3748589296938,0
bl,70,-2617.2411644204985,1312.6205822102493,0.002397706322519754,20245.247375646897,0,674.095362120042,0
kh,70,-4935.817024855661,2471.9085124278304,8.755116701283178e-4,928.0888083123799,0,397.497161882412,0
kl,70,-2571.366400854645,1289.6832004273224,0.001147258615776271,6288.685539254541,0,453.9329254893328,0
bl,80,-2602.624065301118,1305.312032650559,0.002449111362602318,37243.32670444186,0,659.4782630006616,0
kh,80,-4878.090014163684,2443.045007081842,9.227116624541151e-4,749.4218231714044,0,339.7701511904352,0
kl,80,-2516.317401294983,1262.1587006474915,0.0012529780459267685,4895.870328588264,0,398.883925929671,0
bl,90,-2582.8370436401356,1295.4185218200678,0.002514677919068067,58301.965702944275,0,639.691241339679,0
kh,90,-4839.274317580383,2423.6371587901913,9.554269475906664e-4,860.7885030931773,0,300.9544546071338,0
