site,weights,dist,aic,loglike,sig2,walds,waldp,lograts,logratp
bl,equal,10,-3943.5153216323624,1975.7576608161812,3.1990272653046567e-4,48564.99766579615,0,2000.3695193319058,0
kh,equal,10,-6952.09565863539,3480.047829317695,1.0425075509674305e-4,77920.43100257797,0,2413.775795662141,0
kl,equal,10,-3879.9228187695353,1943.9614093847676,1.0359220042818477e-4,52700.31090800722,0,1762.4893434042233,0
bl,idw,10,-3641.3044934727477,1824.6522467363739,4.7894863639682297e-4,78129.9380527451,0,1698.1586911722911,0
kh,idw,10,-6748.6300125655525,3378.3150062827763,1.2937632566085769e-4,72141.59727132923,0,2210.310149592304,0
kl,idw,10,-3802.644888824211,1905.3224444121056,1.2082580125782416e-4,222551.48304216273,0,1685.2114134588992,0
bl,equal,20,-3425.74748270049,1716.873741350245,7.664215357681916e-4,28102.67605835749,0,1482.6016804000333,0
kh,equal,20,-6243.696432636496,3125.848216318248,2.4377865568912937e-4,46330.81218944693,0,1705.3765696632472,0
kl,equal,20,-3456.2295441562574,1732.1147720781287,2.5275879522753097e-4,38202.67412987744,0,1338.7960687909454,0
bl,idw,20,-3345.639099220727,1676.8195496103635,8.453951277230405e-4,130393.56239321516,0,1402.4932969202705,0
kh,idw,20,-6322.638986507252,3165.319493253626,2.2837394171070234e-4,127152.62361976953,0,1784.3191235340037,0
kl,idw,20,-3477.560927024174,1742.780463512087,2.4608310025949073e-4,211339.02306472306,0,1360.127451658862,0
bl,equal,30,-3026.8938906721887,1517.4469453360944,0.0013662006849711238,16595.36986738887,0,1083.7480883717321,0
kh,equal,30,-5715.7224251237185,2861.8612125618592,4.1985203990966077e-4,28252.029664022135,0,1177.4025621504697,0
kl,equal,30,-3099.8606848927748,1553.9303424463874,4.785598329637138e-4,25388.287383683113,0,982.4272095274628,0
bl,idw,30,-3057.028280433794,1532.514140216897,0.0013129154595416127,128071.63815017976,0,1113.8824781333374,0
kh,idw,30,-5922.896652647862,2965.448326323931,3.510740545528372e-4,162566.48547867287,0,1384.5767896746129,0
kl,idw,30,-3180.4395501724175,1594.2197750862088,4.234505147992084e-4,157860.45431522166,0,1063.0060748071055,0
bl,equal,40,-2825.6966779696286,1416.8483389848143,0.001803451753535657,10923.830122027182,0,882.550875669172,0
kh,equal,40,-5399.9421747551005,2703.9710873775502,5.686579763975512e-4,12334.939887323659,0,861.6223117818517,0
kl,equal,40,-2885.425781070342,1446.712890535171,6.866814172551806e-4,16118.792316388917,0,767.99230570503,0
bl,idw,40,-2892.382642236105,1450.1913211180524,0.0016566816029019555,101898.82822922463,0,949.2368399356483,0
kh,idw,40,-5675.956499518904,2841.978249759452,4.476985147938106e-4,146218.96442892376,0,1137.6366365456552,0
kl,idw,40,-3003.1653818511527,1505.5826909255763,5.729227774409302e-4,119121.73898238379,0,885.7319064858407,0
bl,equal,50,-2692.9524253296813,1350.4762126648407,0.002159713675394612,9584.339355572349,0,749.8066230292247,0
kh,equal,50,-5157.2944309756485,2582.6472154878243,7.139083941354477e-4,4468.125809277589,0,618.9745680023998,0
