scale_param,shape_param,intercept,slope,slope_q025,slope_q975,range,dic,dic_eff_par,dic_d_p,waic,waic_eff_par
0.1,1,226.92148,0.23961,0.20218,0.27704,NA,-4404.489630841996,1074.0039990979194,0.7709468500075011,-4593.080807121871,685.5237965865559
0.1,10,226.92149,0.23961,0.20245,0.27676,NA,-4321.623750089502,1185.644445841317,0.6983543868520065,-4684.9034974579,646.4247078775393
0.1,20,226.92149,0.23961,0.20311,0.27611,NA,-4413.881780094726,1105.3871010534076,0.7490588583953401,-4646.470898417367,676.8257041187479
0.1,50,226.9215,0.23961,0.20427,0.27494,NA,-4682.0828966591025,1019.6851301915403,0.8120153716907359,-4932.6249863825515,598.2538054562551
0.1,75,226.9215,0.23961,0.2051,0.27411,NA,-4572.866218688027,1105.8467422057265,0.7487475148215094,-4947.283683985685,569.7318794187539
0.1,100,226.92149,0.23961,0.20608,0.27313,NA,-4485.611036046812,1104.9709220585373,0.7493409857858102,-4756.614142270093,650.0671044993011
0.1,150,226.92148,0.23961,0.20762,0.2716,NA,-4463.31561276305,1103.3537358278763,0.7504392953169539,-4747.408780548249,640.0293367190264
0.1,400,226.03296,0.38038,0.33724,0.42351,NA,4004.9061752942857,2.8971699983439976,285.79613915416735,4005.1471029579893,3.1155049084238704
0.1,500,226.03294,0.38038,0.33724,0.42352,NA,4004.979277190756,2.892507061336346,286.25686383543757,4005.219700560438,3.1105080342474456
0.01,1,226.92149,0.23961,0.20191,0.2773,NA,-4678.14591147618,1121.2394672696573,0.7384684754419785,-4888.906917802272,688.8906669317643
0.01,10,226.92149,0.23961,0.20323,0.27599,NA,-4554.548739832752,1128.5330530626507,0.7336958343869026,-4802.15807787027,678.5050395467382
0.01,20,226.9215,0.23961,0.20309,0.27612,NA,-4555.305235968559,1041.1886350982995,0.795244946101268,-4825.18593037047,603.8234766875514
0.01,50,226.92148,0.23961,0.2043,0.27491,NA,-4406.879770788288,1112.0547509424987,0.7445676566718015,-4654.14361256345,671.5404755803647
0.01,75,226.92147,0.23961,0.20519,0.27403,NA,-4467.298191863538,1119.6118630083129,0.7395420032217471,-4676.18641162064,698.935104443385
0.01,100,226.92148,0.23961,0.20611,0.27311,NA,-4431.388608251643,1126.3227132037136,0.735135667862753,-4671.634222190014,685.1059887201578
0.01,150,226.92146,0.23961,0.20795,0.27128,NA,-4480.387008184118,1144.6986896734088,0.7233344525241264,-4687.580996252662,715.3928766337823
0.01,400,226.03289,0.38039,0.33724,0.42353,NA,4005.224178620601,2.8711772700289657,288.3834476690625,4005.463987283703,3.08868030133628
0.01,500,226.03289,0.38039,0.33724,0.42353,NA,4005.231126338794,2.870541312828209,288.4473378939844,4005.471077410212,3.0882441790969164
0.001,1,226.92149,0.23961,0.20224,0.27698,NA,-4403.017103914813,1093.5390408741569,0.7571746129320729,-4629.605760762335,674.0814930994974
0.001,10,226.92149,0.23961,0.20265,0.27656,NA,-4469.850599020688,1127.0403390661659,0.7346675813627556,-4723.181684011453,675.7478417777763
0.001,20,226.9215,0.23961,0.20288,0.27633,NA,-5210.515533720703,896.6267401600853,0.9234611939547637,-5267.995143314745,623.4733596937341
0.001,50,226.92147,0.23961,0.20432,0.2749,NA,-4497.205250288672,1086.3746657230668,0.7621679942700998,-4675.266541946391,694.8917921494207
0.001,75,226.92148,0.23961,0.20524,0.27398,NA,-4444.396116575519,1127.4745334077334,0.734384658336728,-4694.729568972023,678.6952711097232
0.001,100,226.92149,0.23961,0.2061,0.27312,NA,-4436.770238490301,1109.3751757044065,0.7463660789725666,-4707.130277920429,653.9470809038887
0.001,150,226.92148,0.23961,0.20757,0.27165,NA,-4420.98082722139,1110.0760577843057,0.7458948368390855,-4695.869078560927,651.7676315437168
0.001,400,226.03288,0.38039,0.33724,0.42354,NA,4005.2557049327074,2.8684516406569855,288.65747229761774,4005.4954749687017,3.0859446838546942
0.001,500,226.03288,0.38039,0.33724,0.42353,NA,4005.2563325667215,2.8683591174276444,288.6667833777221,4005.496390447222,3.086239480180748
1e-4,1,226.92149,0.23961,0.20225,0.27696,NA,-4472.70355532841,1125.3132046961755,0.7357951515583189,-4728.001002592828,673.3600250958759
1e-4,10,226.9215,0.23961,0.20269,0.27652,NA,-4783.898854876576,1027.1672741545244,0.8061004481295787,-5020.5027204241005,603.5856441315727
1e-4,20,226.92149,0.23961,0.20303,0.27618,NA,-4405.946070679748,1095.3204198053863,0.755943178843609,-4665.3975099295885,652.3602166254395
1e-4,50,226.92149,0.23961,0.20427,0.27494,NA,-4498.566861778261,1117.8306436997236,0.7407204344117273,-4759.885456433506,664.854073853553
1e-4,75,226.92149,0.23961,0.20522,0.274,NA,-4448.653458917312,1063.7559110032707,0.7783740531407061,-4732.246502045602,611.5856374719107
1e-4,100,226.92147,0.23961,0.20607,0.27316,NA,-4438.918437546554,1113.0851353874978,0.7438784093651101,-4641.550422092656,700.1891778962066
1e-4,150,226.92148,0.23961,0.20762,0.2716,NA,-4423.9665878827145,1112.6124185671479,0.7441944617752161,-4701.2784482188,651.7441389197795
1e-4,400,226.03288,0.38039,0.33724,0.42353,NA,4005.2559715735056,2.866740634247435,288.8297567308049,4005.496439711638,3.0849200304985165
1e-4,500,226.03288,0.38039,0.33726,0.42352,NA,4005.256300862459,2.8666721382523974,288.8366580019059,4005.498306186666,3.0868639651870593
