scale_param,shape_param,intercept,slope,slope_q025,slope_q975,range,dic,dic_eff_par,dic_d_p,waic,waic_eff_par
0.1,1,0.31526,3.3e-4,-3.6e-4,0.00103,NA,-6558.830624341952,813.3018146315817,1.0180722397319086,-6799.710334405243,418.04865389525224
0.1,10,0.31527,3.3e-4,-3.6e-4,0.00103,NA,-6563.070149938595,813.4627783369588,1.0178707889901994,-6804.234014418873,417.9373955742492
0.1,20,0.31527,3.3e-4,-3.5e-4,0.00102,NA,-6568.123406379596,813.5878310048402,1.0177143369725181,-6809.4604314429625,417.9011391275074
0.1,50,0.31528,3.3e-4,-3.3e-4,9.9e-4,NA,-6576.125783843578,811.7216528447252,1.0200540999469787,-6815.976318158283,417.60627468009267
0.1,75,0.31529,3.3e-4,-3.1e-4,9.8e-4,NA,-6582.065679804311,810.9969840037675,1.0209655724146978,-6821.378379586311,417.4546885775196
0.1,100,0.3153,3.3e-4,-2.9e-4,9.6e-4,NA,-6585.708717139705,809.7975716194305,1.0224777512535241,-6823.968355254362,417.3438267020457
0.1,150,0.31531,3.3e-4,-2.7e-4,0.00093000000000000005,NA,-6589.164175506543,808.0596709744214,1.0246768026444546,-6825.734543490343,417.3126318107857
0.1,400,0.31545,3.2e-4,-1.8e-4,8.2e-4,NA,-6497.134167172096,795.8512772654085,1.04039539000937,-6717.263319379668,420.95392584828477
0.1,500,0.36303,-0.00291,-0.00376,-0.00206,NA,-3048.951135021232,88.02454525924168,9.406467225265994,-3042.1447129133444,86.81715420612315
0.01,1,0.31527,3.3e-4,-3.4e-4,0.00101,NA,-6571.456538482962,812.9250254599792,1.0185441142391831,-6812.347754335357,417.7218293106766
0.01,10,0.31528,3.3e-4,-3.3e-4,0.001,NA,-6573.055355374467,811.6507660719199,1.0201431879467129,-6812.8267347385845,417.61188358762195
0.01,20,0.31528,3.3e-4,-3.2e-4,9.9e-4,NA,-6577.670763102564,811.9405464405208,1.0197791003662553,-6817.756056423221,417.5889226317922
0.01,50,0.31529,3.3e-4,-3e-4,9.7e-4,NA,-6583.919977760283,810.449793685636,1.0216548963934606,-6822.765214918817,417.39316855684507
0.01,75,0.3153,3.3e-4,-2.9e-4,9.5e-4,NA,-6586.956100092693,809.1558572173853,1.023288644103026,-6824.622390515101,417.30987655552883
0.01,100,0.31531,3.3e-4,-2.7e-4,9.4e-4,NA,-6589.52353778241,808.847962939165,1.0236781668970778,-6826.86413121178,417.3191592703869
0.01,150,0.31533,3.3e-4,-2.5e-4,9.1e-4,NA,-6586.558279722536,806.2627777935022,1.0269604684790063,-6821.153497531787,417.47048669633074
0.01,400,0.39571,-0.00508,-0.0062,-0.00397,NA,-2066.335213969776,6.952478293547756,119.09422295765022,-2066.345523434418,6.872066059333418
0.01,500,0.39624,-0.00511,-0.00625,-0.00398,NA,-2039.1875863435657,5.999895193876,138.0024105829593,-2039.1995506009996,5.932695492855226
0.001,1,0.31527,3.3e-4,-3.3e-4,0.001,NA,-6573.181125529554,812.6399788803728,1.0189013850152804,-6813.800702981666,417.7195091760754
0.001,10,0.31528,3.3e-4,-3.3e-4,0.001,NA,-6575.352465916922,811.8667094536086,1.0198718463985907,-6815.317890916685,417.6308440401214
0.001,20,0.31528,3.3e-4,-3.2e-4,9.9e-4,NA,-6578.115341198507,811.4672927069951,1.0203738430884295,-6817.782303949407,417.54958898830773
0.001,50,0.31529,3.3e-4,-3e-4,9.7e-4,NA,-6584.537898238148,810.305075766757,1.021837360720589,-6823.257752860851,417.3782731775356
0.001,75,0.3153,3.3e-4,-2.8e-4,9.5e-4,NA,-6586.083065370009,808.6810647471648,1.0238894368806264,-6823.339658044785,417.2567694210837
0.001,100,0.31531,3.3e-4,-2.7e-4,0.00093000000000000005,NA,-6589.048398486399,808.2832807640352,1.0243933280635564,-6825.84606387101,417.308142814472
0.001,150,0.31533,3.3e-4,-2.4e-4,9e-4,NA,-6585.929450901458,806.0545057319378,1.0272258192367956,-6820.284222091596,417.498592143079
0.001,400,0.39776,-0.0052,-0.00638,-0.00402,NA,-1956.6456924919519,3.1986208258231272,258.86156724654103,-1956.5003141587774,3.3217622227726564
0.001,500,0.3978,-0.0052,-0.00638,-0.00402,NA,-1954.3702894214218,3.1366438706995723,263.97641368681406,-1954.232473385814,3.2524695090088422
1e-4,1,0.31527,3.3e-4,-3.3e-4,0.001,NA,-6575.011035227564,813.8502863821404,1.017386138279511,-6816.773200158542,417.75623034353123
1e-4,10,0.31528,3.3e-4,-3.3e-4,0.001,NA,-6574.977590312101,812.0897112902749,1.0195917870754037,-6815.206172294189,417.58589606584894
1e-4,20,0.31528,3.3e-4,-3.2e-4,9.9e-4,NA,-6578.20649080188,811.4544170876688,1.020390033702341,-6817.86463198352,417.5461300254228
1e-4,50,0.31529,3.3e-4,-3e-4,9.7e-4,NA,-6584.604153327618,810.2871030313754,1.0218600257888328,-6823.317154738922,417.367415713677
1e-4,75,0.3153,3.3e-4,-2.8e-4,9.5e-4,NA,-6586.076310232451,808.6350804565718,1.0239476619447359,-6823.289364660883,417.25535418984987
1e-4,100,0.31531,3.3e-4,-2.7e-4,0.00093000000000000005,NA,-6589.053525172303,808.2665979712647,1.0244144717575436,-6825.834242835352,417.3084094193591
1e-4,150,0.31533,3.3e-4,-2.4e-4,9e-4,NA,-6585.304701931071,805.6219688216224,1.0277773348349843,-6819.254900229129,417.4807922180618
1e-4,400,0.39794,-0.00521,-0.00639,-0.00402,NA,-1946.5271924580077,2.9002946911473373,285.4882307399076,-1946.386966541057,3.0205427347367193
1e-4,500,0.39794,-0.00521,-0.00639,-0.00402,NA,-1946.3007608446208,2.895016472660245,286.0087352937051,-1946.1604855784656,3.015601148087575
