scale_param,shape_param,intercept,slope,slope_q025,slope_q975,range,dic,dic_eff_par,dic_d_p,waic,waic_eff_par
0.1,1,216.86098,0.57043,0.48875999999999997,0.6521,NA,-6805.7688878121535,1333.9700287608166,0.8853272371472115,-7119.57776238597,790.8783136934088
0.1,10,216.86098,0.57045,0.48938,0.65152,NA,-6445.214633238231,1548.8809599284805,0.7624859692603702,-6830.439504620313,906.0237010664864
0.1,20,216.86097,0.57047,0.4901,0.65083,NA,-6428.437600264902,1542.4623073297917,0.7656589042000441,-6749.962396634039,942.9993848919847
0.1,50,216.86098,0.57045,0.49167,0.64923,NA,-6395.480981221866,1444.643872003464,0.8175025159399065,-6800.910766963323,813.2296655260599
0.1,75,216.86097,0.57047,0.49364,0.6473,NA,-6346.003333456709,1540.708355834332,0.7665305348204327,-6704.291605721164,920.858779663694
0.1,100,216.86098,0.57045,0.4949,0.64599,NA,-6608.028582025094,1478.0496791586575,0.7990259168232116,-6983.7337837989,859.6475111771214
0.1,150,216.86098,0.57042,0.49752999999999997,0.6433,NA,-7176.535689982928,1168.3104009723738,1.0108614962402669,-7523.569374562192,593.1818688547163
0.1,400,216.81638,1.39205,1.28283,1.50128,NA,4688.078604915948,2.9724657106462473,397.313245959442,4697.0574969634135,10.897575695394615
0.1,500,216.81639,1.3921,1.28286,1.50133,NA,4688.2516039347665,2.9512296951888857,400.17217295057515,4697.230381285129,10.876641068300627
0.01,1,216.86098,0.57044,0.48883,0.65205,NA,-6418.879056426214,1421.3352286057625,0.8309088357420679,-6816.984311542743,800.5475704254804
0.01,10,216.86098,0.57045,0.48935,0.65155,NA,-6444.368412138583,1537.4921217515357,0.7681340172687102,-6816.012655393324,907.6311202966997
0.01,20,216.86098,0.57044,0.48998,0.65091,NA,-6871.397335841588,1479.0343954646542,0.7984939387626455,-7123.44844701645,937.2310332043855
0.01,50,216.86098,0.57043,0.49196,0.64891,NA,-6794.224256977628,1429.2322999925418,0.8263177371559283,-7130.320887676319,843.1823655253141
0.01,75,216.86098,0.57043,0.4935,0.64735,NA,-6858.330702790203,1415.7936514704907,0.8341611072866261,-7295.860038984931,736.7110433763753
0.01,100,216.86098,0.57045,0.49489,0.64601,NA,-6568.007470346476,1519.5163448407056,0.7772209914094783,-6940.444815545239,893.6048374362679
0.01,150,216.86098,0.57044,0.49754,0.64334,NA,-6758.414590682658,1350.9403602881712,0.8742058751935423,-7093.4810705457585,789.0716060706334
0.01,400,216.8164,1.39224,1.283,1.50148,NA,4688.855515765421,2.8771994508215357,410.4685893995932,4697.834564764792,10.805223703031631
0.01,500,216.8164,1.39225,1.283,1.50149,NA,4688.872760916834,2.875065268882281,410.77328323023744,4697.851608423145,10.802650497705912
0.001,1,216.86098,0.57043,0.4888,0.65206,NA,-6802.674829433146,1370.321592644359,0.861841487676613,-7134.403817317802,804.2835677338186
0.001,10,216.86098,0.57045,0.48932,0.65158,NA,-6169.733105675037,1477.8950852788994,0.7991094982071267,-6635.409531393108,797.6986571429361
0.001,20,216.86098,0.57043,0.49019,0.65068,NA,-6399.976522876605,1380.3700836580092,0.8555676582546078,-6882.825880670633,684.3547668290774
0.001,50,216.86098,0.57044,0.4919,0.64898,NA,-7098.878647633697,1378.455026495416,0.856756279530261,-7353.7098741291975,834.2310616187312
0.001,75,216.86097,0.57048,0.4935,0.64747,NA,-5876.016804080684,1546.8193051526587,0.7635022371817662,-6356.101257350775,838.6621955332547
0.001,100,216.86098,0.57045,0.49487,0.64603,NA,-6496.225346278699,1452.4604820122622,0.8131030170017594,-6879.096027482554,837.8167869434639
0.001,150,216.86098,0.57044,0.49723,0.64366,NA,-6640.944309755661,1297.8971200157403,0.9099334467940552,-6984.512594622457,738.596174444809
0.001,400,216.8164,1.39226,1.283,1.50152,NA,4688.933129525325,2.8676759029131063,411.83175504606027,4697.911408601738,10.793856880757717
0.001,500,216.8164,1.39226,1.283,1.50152,NA,4688.934859844797,2.8674644263837763,411.86212778562196,4697.913025270087,10.793311386600678
1e-4,1,216.86097,0.57047,0.48909,0.65186,NA,-6378.12741340508,1459.0462531293306,0.8094328726502104,-6629.143254700959,936.8058818567207
1e-4,10,216.86098,0.57045,0.48951,0.65139,NA,-6407.129059237488,1522.349270352056,0.775774668139647,-6792.211130397122,888.0986680082846
1e-4,20,216.86098,0.57044,0.49005,0.65083,NA,-6679.317743831743,1485.9835552259065,0.7947598046066254,-7031.167522695107,880.6336352226596
1e-4,50,216.86098,0.57044,0.49226,0.64862,NA,-6626.441717529666,1429.6265418512012,0.8260898671276357,-6995.864286582507,827.824210864234
1e-4,75,216.86097,0.57046,0.49363,0.64729,NA,-6415.004350489526,1569.8757787895047,0.7522888218013288,-6802.136540149232,919.5535606523696
1e-4,100,216.86097,0.57048,0.49482,0.64614,NA,-6645.162275443479,1529.380291609993,0.7722081986271382,-6944.412611660821,937.5293953222213
1e-4,150,216.86097,0.57047,0.49752999999999997,0.64341,NA,-6383.644046669304,1563.6886963255029,0.7552654200130887,-6764.647657828853,921.2342594367237
1e-4,400,216.8164,1.39226,1.28301,1.50152,NA,4688.940895340355,2.866725773793405,411.96824990945595,4697.9191625928115,10.79289136771666
1e-4,500,216.8164,1.39226,1.28301,1.50151,NA,4688.9410818136275,2.8667056884542035,411.9711363313419,4697.9197896016,10.794097991079088
