scale_param,shape_param,intercept,slope,slope_q025,slope_q975,range,dic,dic_eff_par,dic_d_p,waic,waic_eff_par
0.1,1,0.43397,-0.00521,-0.00663,-0.0038,NA,-10044.141936137894,1151.8655340951282,1.0252932873173943,-10396.257331943656,581.9400574152152
0.1,10,0.43397,-0.00521,-0.00662,-0.00381,NA,-10049.351340237043,1152.040439795488,1.025137624691068,-10401.762423956754,581.8436935709523
0.1,20,0.43397,-0.00522,-0.00661,-0.00382,NA,-10054.320487753059,1151.7838054340446,1.0253660404219223,-10406.631300719815,581.7240291359117
0.1,50,0.43397,-0.00522,-0.00658,-0.00386,NA,-10067.654453092598,1150.4577554036314,1.0265479062163851,-10419.111658110105,581.3644817767427
0.1,75,0.43397,-0.00522,-0.00656,-0.00389,NA,-10076.900010960886,1149.1078836674078,1.0277538051786814,-10427.365514969424,581.0988834082948
0.1,100,0.43398,-0.00523,-0.00654,-0.00392,NA,-10083.85206124704,1147.1531236014944,1.029505107646173,-10432.702708874294,580.8591296517372
0.1,150,0.43398,-0.00524,-0.0065,-0.00397,NA,-10098.917513452368,1145.9305960672336,1.0306034275139546,-10446.955692608233,580.5477219524205
0.1,400,0.43399,-0.00529,-0.00638,-0.00419,NA,-10108.021990997755,1132.8998798850898,1.0424575207120588,-10443.298726028252,580.419288398734
0.1,500,0.434,-0.00531,-0.00636,-0.00426,NA,-10086.31160975069,1128.190354874383,1.0468091620332076,-10415.90500520175,581.196197777691
0.01,1,0.43398,-0.00524,-0.00648,-0.00401,NA,-10106.109260993277,1144.5550252025005,1.0318420469046925,-10453.006490776062,580.3758224291744
0.01,10,0.43398,-0.00525,-0.00647,-0.00402,NA,-10108.462936421913,1144.2931095429503,1.0320782237967954,-10455.142111920928,580.3431958651242
0.01,20,0.43398,-0.00525,-0.00646,-0.00403,NA,-10110.101443798436,1143.4495688042716,1.0328396041418737,-10456.016797629014,580.28786709325
0.01,50,0.43398,-0.00526,-0.00644,-0.00407,NA,-10115.988018712904,1142.6302273408455,1.0335802184652942,-10461.157009447243,580.2252425364429
0.01,75,0.43399,-0.00526,-0.00643,-0.0041,NA,-10116.35359011971,1140.2664909260675,1.0357227976074705,-10459.238486012566,580.1875793099862
0.01,100,0.43399,-0.00527,-0.00641,-0.00412,NA,-10116.239862374205,1138.183923545006,1.037617888962654,-10457.061194529182,580.1792853975256
0.01,150,0.43399,-0.00528,-0.00639,-0.00418,NA,-10111.312371273953,1134.992389478828,1.040535611469869,-10448.68924799683,580.3980379991166
0.01,400,0.43402,-0.00539,-0.00635,-0.00442,NA,-9965.172112633492,1111.138978046005,1.0628733428799781,-10273.535322186952,584.6493285540961
0.01,500,0.43861,-0.02064,-0.02253,-0.01876,NA,-5052.64160482529,38.36918573080493,30.77990782201633,-5044.35219414339,44.572600297344216
0.001,1,0.43398,-0.00525,-0.00646,-0.00403,NA,-10111.373590824262,1144.4380889861131,1.0319474783002704,-10458.20967863397,580.3301566329692
0.001,10,0.43398,-0.00525,-0.00646,-0.00404,NA,-10110.339602769662,1141.9106144499892,1.0342315633600083,-10454.831807552613,580.2124294189771
0.001,20,0.43398,-0.00525,-0.00645,-0.00406,NA,-10113.133844757638,1142.2834059111647,1.0338940353054962,-10457.975156032913,580.223877187822
0.001,50,0.43399,-0.00526,-0.00643,-0.00409,NA,-10116.531570201667,1140.9072144741895,1.0351411447111307,-10460.035042241598,580.1987373478719
0.001,75,0.43399,-0.00527,-0.00641,-0.00412,NA,-10115.886997021094,1138.4867435136803,1.037341898558355,-10457.005594156597,580.1890370432448
0.001,100,0.43399,-0.00527,-0.0064,-0.00415,NA,-10114.80509872866,1136.9257873989827,1.0387661297593123,-10454.269148708468,580.2683384774061
0.001,150,0.43887,-0.02207,-0.02415,-0.01999,NA,-4713.854896044311,12.803364176490504,92.24138154006026,-4707.437203321293,18.502937830046314
0.001,400,0.43894,-0.02255,-0.02471,-0.02039,NA,-4586.323860866499,5.540556280508099,213.15549201346545,-4581.32025458923,10.044400313893046
0.001,500,0.43895,-0.02258,-0.02475,-0.02041,NA,-4576.734331191455,4.926137774232302,239.7415691817611,-4571.718184396497,9.454246779376087
1e-4,1,0.43398,-0.00525,-0.00646,-0.00404,NA,-10110.422683137413,1143.3435063107845,1.0329354157183446,-10456.242675928472,580.2803652054431
1e-4,10,0.43398,-0.00525,-0.00646,-0.00405,NA,-10113.482989273003,1143.9370167017132,1.0323994964383176,-10459.864099671791,580.2968619795913
1e-4,20,0.43398,-0.00525,-0.00645,-0.00406,NA,-10112.74739548936,1141.6783241549401,1.0344419921208239,-10457.024542289877,580.1979128889166
1e-4,50,0.43399,-0.00526,-0.00643,-0.00409,NA,-10115.950424160264,1140.2208870447503,1.0357642220192458,-10458.80250452165,580.1787550238853
1e-4,75,0.43399,-0.00527,-0.00641,-0.00412,NA,-10116.214402584206,1138.6226531790762,1.0372180780898788,-10457.443642594719,580.2066133810911
1e-4,100,0.43399,-0.00528,-0.0064,-0.00415,NA,-10113.263506581734,1135.7463231138554,1.0398448808199294,-10451.60294605294,580.237864702044
1e-4,150,0.43896,-0.02267,-0.02485,-0.02048,NA,-4552.634395237789,3.5574187868915033,331.9822800598537,-4547.727538040587,8.002302475549008
1e-4,400,0.43896,-0.02269,-0.02489,-0.0205,NA,-4545.00383914074,3.120278497212894,378.49185611313123,-4540.1239029504,7.5462416886943116
1e-4,500,0.43896,-0.0227,-0.02489,-0.02051,NA,-4544.114239366939,3.0691925043756783,384.79176471214333,-4539.23726843448,7.4926594403478415
