scale_param,shape_param,intercept,slope,slope_q025,slope_q975,range,dic,dic_eff_par,dic_d_p,waic,waic_eff_par
0.1,1,215.16568,0.45834,0.37993,0.53674,NA,-3643.436233418068,876.3384076647171,0.7531337143590229,-3847.2239105329286,521.685386290709
0.1,10,215.16567,0.45836,0.38092,0.5358,NA,-3601.5672053705257,863.1975327617947,0.7645990343465584,-3764.764960157878,538.1083329253719
0.1,20,215.16567,0.45837,0.38206,0.53467,NA,-3612.8231065925584,864.4697456909307,0.7634737980014471,-3773.471433929336,539.9715149722118
0.1,50,215.16567,0.45836,0.38517,0.53156,NA,-3546.002627710749,888.0536345473747,0.7431983546088299,-3750.3191718970484,530.4042267044971
0.1,75,215.16567,0.45835,0.38735,0.52935,NA,-3583.8183245347336,868.3674293400136,0.7600469314027827,-3802.8424778760664,507.1037898207455
0.1,100,215.16566,0.45844,0.38958,0.5273,NA,-3555.2163709842716,876.3875296885299,0.7530915007822687,-3682.54175159056,570.2329423646735
0.1,150,215.14111,0.54827,0.46556,0.63383,NA,912.006688559451,407.54102791398554,1.6194688504817183,922.1832807415333,316.99893990321783
0.1,400,214.90291,0.91018,0.80477,1.01559,NA,2656.896653818338,2.9130870302228686,226.56377689804415,2657.3528119144294,3.270620255746055
0.1,500,214.90293,0.91019,0.80477,1.01562,NA,2657.13527663965,2.9040382065963968,227.26973718900757,2657.591072228251,3.2613632779186643
0.01,1,215.16567,0.45835,0.37979,0.5369,NA,-3643.9984040035188,890.9218018885495,0.740805757139349,-3832.2619721830943,539.5746583077324
0.01,10,215.16567,0.45836,0.38095,0.53578,NA,-3542.8730275502694,848.5860390870375,0.7777643864021964,-3701.131522759524,534.976365223616
0.01,20,215.16567,0.45836,0.38205,0.53467,NA,-3551.5829434876687,875.1485250308006,0.7541577013761995,-3737.1152215069305,533.7983296914908
0.01,50,215.16567,0.45835,0.38512,0.53159,NA,-3581.6833239755997,887.3198699670484,0.7438129386469277,-3792.619366579911,525.3611927163539
0.01,75,215.16567,0.4584,0.38747,0.52932,NA,-3540.519503765783,875.540659912328,0.7538199311795398,-3696.9503128255,553.7984277835958
0.01,100,215.16567,0.45839,0.38952,0.52727,NA,-3522.4144726041304,905.8052554643346,0.7286334408179939,-3710.9994483984774,553.8112553841776
0.01,150,215.14103,0.5485,0.46577,0.63415,NA,913.9261203549619,407.43635702667564,1.6198848939658779,923.8804033707188,316.76800346566444
0.01,400,214.90298,0.91023,0.80475,1.01572,NA,2657.968759162706,2.8727391640372844,229.74588443750338,2658.422782674809,3.228611129475351
0.01,500,214.90298,0.91023,0.80476,1.01571,NA,2657.9924947147056,2.871778336792886,229.82275182738087,2658.4470654959814,3.22844076210426
0.001,1,215.16567,0.45836,0.37982,0.53689,NA,-3585.5583833587807,870.257176335951,0.758396503868893,-3760.477607280045,535.8565404798487
0.001,10,215.16567,0.45835,0.37973,0.53697,NA,-3715.198312735394,849.0650336174276,0.7773256156693685,-3879.4701805735986,521.7551672989161
0.001,20,215.16567,0.45836,0.38204,0.53468,NA,-3591.6802932292157,881.1982402928606,0.7489801611277086,-3770.9623796362157,539.9038333214381
0.001,50,215.16567,0.45837,0.38512,0.53161,NA,-3549.148971287618,889.571976540753,0.7419298464937245,-3739.2222217009803,540.4058678997743
0.001,75,215.16567,0.45836,0.38741,0.52932,NA,-3513.272700949209,873.1674675593804,0.7558687474291593,-3732.4935170129647,511.202178412167
0.001,100,215.16566,0.45844,0.38973,0.52715,NA,-3491.3379098156847,859.5133076798729,0.7678764180877791,-3614.4460284842135,565.5281022929422
0.001,150,215.14095,0.5487,0.46591,0.63429,NA,914.705570146658,406.5774269101338,1.6233070414553055,925.2608230663885,316.60020372494535
0.001,400,214.90299,0.91024,0.80475,1.01573,NA,2658.0758961240012,2.8687123964946295,230.06837520780226,2658.529712664289,3.2244265605313
0.001,500,214.90299,0.91024,0.80475,1.01572,NA,2658.0781356668836,2.868549543133213,230.08143665495345,2658.5322426965113,3.224671061199269
1e-4,1,215.16567,0.45834,0.37978,0.53689,NA,-3621.8951365330167,874.6926901078477,0.7545507210293748,-3828.1898121913982,519.1255685490884
1e-4,10,215.16567,0.45836,0.38088,0.53585,NA,-3624.2401707832805,841.8007321235964,0.7840335305185935,-3771.9585275123145,532.1922707373132
1e-4,20,215.16567,0.45836,0.38197,0.53474,NA,-3560.7917087704973,877.7614319006943,0.7519127362099332,-3750.835413877431,532.3369684732803
1e-4,50,215.16567,0.45835,0.3853,0.5314,NA,-3931.5439924396696,722.5276431184402,0.9134598603749332,-4023.2498040542378,472.0786200395197
1e-4,75,215.16567,0.45836,0.38731,0.52941,NA,-3608.899954075544,896.0979307892912,0.7365266421479916,-3812.5513631713275,536.3090266732044
1e-4,100,215.16567,0.45839,0.38952,0.52726,NA,-3516.9595561681754,904.080253559674,0.7300236869474294,-3703.9989545012786,553.6471469069887
1e-4,150,215.14095,0.5487,0.46591,0.63429,NA,914.7205113345206,406.57491403139056,1.6233170744741108,925.2760283749029,316.59897844382795
1e-4,400,214.90299,0.91024,0.80474,1.01573,NA,2658.086627707059,2.8683145042732576,230.1002902634011,2658.5402792990167,3.2238075357848217
1e-4,500,214.90299,0.91024,0.80475,1.01573,NA,2658.086773134594,2.8682654325280055,230.10422693631085,2658.5407160649215,3.224169484400261
