scale_param,shape_param,intercept,slope,slope_q025,slope_q975,range,dic,dic_eff_par,dic_d_p,waic,waic_eff_par
0.1,1,0.5279,-0.00303,-0.00464,-0.00143,NA,-5483.6164428966695,639.4695151345286,1.0321054942879526,-5681.635216412002,322.110435436914
0.1,10,0.5279,-0.00304,-0.00462,-0.00145,NA,-5488.218278812306,638.4317031746868,1.03378324841649,-5685.508730189091,321.8840087407345
0.1,20,0.5279,-0.00304,-0.0046,-0.00147,NA,-5493.701691605543,637.9493418587926,1.0345649046003533,-5690.776339797538,321.688979747278
0.1,50,0.52789,-0.00304,-0.00454,-0.00154,NA,-5509.653990578792,637.0855095388124,1.0359676842717322,-5706.5242006586495,321.19221445862934
0.1,75,0.52789,-0.00305,-0.0045,-0.00159,NA,-5519.83725754177,635.317045757859,1.0388513961760575,-5715.489812773353,320.787549507103
0.1,100,0.52789,-0.00305,-0.00446,-0.00164,NA,-5529.189734244526,634.2992962981525,1.04051825983702,-5724.224060919128,320.4925530965017
0.1,150,0.52788,-0.00306,-0.00439,-0.00172,NA,-5542.327828680675,631.5302711119975,1.0450805451302803,-5735.226354545153,320.0394924711066
0.1,400,0.52786,-0.00311,-0.0042,-0.00202,NA,-5530.8733892871815,615.620073967958,1.0720897967897518,-5707.073988056703,320.8070835205136
0.1,500,0.52784,-0.00314,-0.00417,-0.00212,NA,-5481.7268790255885,604.9955135586015,1.0909171807206643,-5645.285130110162,322.54575037555446
0.01,1,0.52789,-0.00305,-0.00447,-0.00163,NA,-5527.42821212074,634.2182026493329,1.0406513046187704,-5722.3562594409505,320.5180300852636
0.01,10,0.52789,-0.00305,-0.00445,-0.00165,NA,-5531.393436095109,633.7631825061899,1.0413984564235141,-5726.028992064418,320.3979828037119
0.01,20,0.52789,-0.00305,-0.00443,-0.00168,NA,-5535.169571420871,633.0360261020951,1.042594690959273,-5729.2648426238675,320.26140188326417
0.01,50,0.52788,-0.00306,-0.00438,-0.00174,NA,-5544.364174277306,631.0477839395035,1.045879593902943,-5736.872099863705,319.97497232311184
0.01,75,0.52788,-0.00307,-0.00435,-0.00179,NA,-5549.893162970342,629.5985691907281,1.0482870074631034,-5741.139501415712,319.84379523402475
0.01,100,0.52788,-0.00307,-0.00431,-0.00183,NA,-5552.3616063132895,627.4071717690367,1.051948447033311,-5741.560465238297,319.7539407651441
0.01,150,0.52787,-0.00308,-0.00426,-0.00191,NA,-5551.336905855224,623.0613553017638,1.0592857258501387,-5736.117110392398,319.8492581578494
0.01,400,0.53134,-0.00591,-0.00826,-0.00356,NA,-2410.6924688679305,12.372302788525758,53.344960213234756,-2410.6047041244997,12.19013243724886
0.01,500,0.53143,-0.00579,-0.00825,-0.00333,NA,-2332.269827742946,9.402746263542213,70.19225888919863,-2332.452909046015,9.041534817996823
0.001,1,0.52789,-0.00305,-0.00445,-0.00166,NA,-5531.734524626328,633.7113452994154,1.0414836421906946,-5726.335021225093,320.3858812793564
0.001,10,0.52789,-0.00305,-0.00443,-0.00168,NA,-5535.074026890659,632.9543360860807,1.042729249760983,-5729.093508217598,320.25852760864933
0.001,20,0.52789,-0.00306,-0.00441,-0.0017,NA,-5538.77422737088,632.3882802150038,1.0436626051570859,-5732.379440613659,320.1467564432699
0.001,50,0.52788,-0.00306,-0.00436,-0.00176,NA,-5547.626783854613,630.7791802171196,1.0463249591922523,-5739.930055516224,319.9268952557342
0.001,75,0.52788,-0.00307,-0.00433,-0.00181,NA,-5550.712652496268,628.0516924172598,1.0508689140853626,-5740.54002951734,319.76277603537454
0.001,100,0.52788,-0.00307,-0.0043,-0.00185,NA,-5552.86948981921,626.23057102443,1.0539249128644865,-5740.912894340828,319.74959511672586
0.001,150,0.52787,-0.00309,-0.00425,-0.00193,NA,-5549.771891000507,622.1218337501441,1.0608854475039506,-5733.463989268268,319.9736238609912
0.001,400,0.53149,-0.00546,-0.00825,-0.00268,NA,-2143.005251229652,3.4819066905547515,189.55131732575123,-2143.39333624636,3.0316068930825675
0.001,500,0.53149,-0.00546,-0.00825,-0.00266,NA,-2138.233643566034,3.3279220422932667,198.32195334275164,-2138.5987227091164,2.9022201752549206
1e-4,1,0.52789,-0.00305,-0.00445,-0.00166,NA,-5532.142674604458,633.6450394681597,1.0415926250349266,-5726.699307259041,320.3681147376685
1e-4,10,0.52789,-0.00305,-0.00443,-0.00168,NA,-5535.409139936994,632.852023246337,1.042897827227291,-5729.344873342719,320.2461416573008
1e-4,20,0.52789,-0.00306,-0.00441,-0.0017,NA,-5539.459600288243,632.5885666341028,1.043332166927627,-5733.250321811894,320.15679087853135
1e-4,50,0.52788,-0.00306,-0.00436,-0.00176,NA,-5546.463945700306,629.5974763712129,1.0482888270201096,-5737.69874384802,319.85536768546666
1e-4,75,0.52788,-0.00307,-0.00433,-0.00181,NA,-5551.321101146116,628.3282450359975,1.0504063842652624,-5741.397938965543,319.7788855146148
1e-4,100,0.52788,-0.00307,-0.0043,-0.00185,NA,-5552.93184019679,626.2628968738281,1.053870512359235,-5741.00663284291,319.74850642346325
1e-4,150,0.52787,-0.00309,-0.00425,-0.00193,NA,-5549.533461800321,621.9937671993757,1.0611038804645154,-5733.084153027386,319.98486562791203
1e-4,400,0.53149,-0.00543,-0.00825,-0.0026,NA,-2121.9843054845696,2.924495238417421,225.67997079631297,-2122.386452533697,2.46628017292275
1e-4,500,0.53149,-0.00543,-0.00825,-0.0026,NA,-2121.526192341105,2.91311502767212,226.5615994324152,-2121.9280748763554,2.4555131108316126
