"";"id";"ndvi_mx";"ndv_mx_";"2023-07-02";"2023-07-12";"2023-07-18";"2023-07-26";"tot.pixels";"geometry";"snow.persist"
"1";1;0,198018158094783;2023-08-20;NA;NA;NA;NA;NA;list(c(639180, 639180, 639170, 639170, 639180, 7691820, 7691810, 7691810, 7691820, 7691820));NA
"2";2;0,263024256913923;2023-08-21;NA;NA;NA;NA;NA;list(c(639190, 639190, 639180, 639180, 639190, 7691820, 7691810, 7691810, 7691820, 7691820));NA
"3";3;0,313010945479618;2023-08-21;NA;NA;NA;NA;NA;list(c(639200, 639200, 639190, 639190, 639200, 7691820, 7691810, 7691810, 7691820, 7691820));NA
"4";4;0,351905147661455;2023-08-20;NA;NA;NA;NA;NA;list(c(639210, 639210, 639200, 639200, 639210, 7691820, 7691810, 7691810, 7691820, 7691820));NA
"5";5;0,410976432496682;2023-08-17;NA;NA;NA;NA;NA;list(c(639220, 639220, 639210, 639210, 639220, 7691820, 7691810, 7691810, 7691820, 7691820));NA
"6";6;0,427796787647821;2023-08-18;NA;NA;NA;NA;NA;list(c(639230, 639230, 639220, 639220, 639230, 7691820, 7691810, 7691810, 7691820, 7691820));NA
"7";7;0,42925114287209;2023-08-17;NA;NA;NA;NA;NA;list(c(639240, 639240, 639230, 639230, 639240, 7691820, 7691810, 7691810, 7691820, 7691820));NA
"8";8;0,471308325140853;2023-08-16;NA;NA;NA;NA;NA;list(c(639250, 639250, 639240, 639240, 639250, 7691820, 7691810, 7691810, 7691820, 7691820));NA
"9";9;0,50809376903635;2023-08-18;NA;NA;NA;NA;NA;list(c(639260, 639260, 639250, 639250, 639260, 7691820, 7691810, 7691810, 7691820, 7691820));NA
"10";10;0,51683036320901;2023-08-19;NA;NA;NA;NA;NA;list(c(639270, 639270, 639260, 639260, 639270, 7691820, 7691810, 7691810, 7691820, 7691820));NA
"11";11;0,512128572299844;2023-08-19;NA;NA;NA;NA;NA;list(c(639280, 639280, 639270, 639270, 639280, 7691820, 7691810, 7691810, 7691820, 7691820));NA
"12";12;0,521768473423435;2023-08-18;NA;NA;NA;NA;NA;list(c(639290, 639290, 639280, 639280, 639290, 7691820, 7691810, 7691810, 7691820, 7691820));NA
"13";13;0,5044883730734;2023-08-17;NA;NA;NA;NA;NA;list(c(639300, 639300, 639290, 639290, 639300, 7691820, 7691810, 7691810, 7691820, 7691820));NA
"14";14;0,488231439550873;2023-08-18;NA;NA;NA;NA;NA;list(c(639310, 639310, 639300, 639300, 639310, 7691820, 7691810, 7691810, 7691820, 7691820));NA
"15";15;0,462317489349516;2023-08-17;NA;NA;NA;NA;NA;list(c(639320, 639320, 639310, 639310, 639320, 7691820, 7691810, 7691810, 7691820, 7691820));NA
"16";16;0,442204433085863;2023-08-17;NA;NA;NA;NA;NA;list(c(639330, 639330, 639320, 639320, 639330, 7691820, 7691810, 7691810, 7691820, 7691820));NA
"17";17;0,428242236812366;2023-08-17;NA;NA;NA;NA;NA;list(c(639340, 639340, 639330, 639330, 639340, 7691820, 7691810, 7691810, 7691820, 7691820));NA
"18";18;0,417079346203536;2023-08-16;NA;NA;NA;NA;NA;list(c(639350, 639350, 639340, 639340, 639350, 7691820, 7691810, 7691810, 7691820, 7691820));NA
"19";19;0,41175830551947;2023-08-16;NA;NA;NA;NA;NA;list(c(639360, 639360, 639350, 639350, 639360, 7691820, 7691810, 7691810, 7691820, 7691820));NA
"20";20;0,408674080077617;2023-08-15;NA;NA;NA;NA;NA;list(c(639370, 639370, 639360, 639360, 639370, 7691820, 7691810, 7691810, 7691820, 7691820));NA
"21";21;0,383953616001236;2023-08-14;NA;NA;NA;NA;NA;list(c(639380, 639380, 639370, 639370, 639380, 7691820, 7691810, 7691810, 7691820, 7691820));NA
"22";22;0,381602562265471;2023-08-16;NA;NA;NA;NA;NA;list(c(639390, 639390, 639380, 639380, 639390, 7691820, 7691810, 7691810, 7691820, 7691820));NA
"23";23;0,386829417555418;2023-08-17;NA;NA;NA;NA;NA;list(c(639400, 639400, 639390, 639390, 639400, 7691820, 7691810, 7691810, 7691820, 7691820));NA
"24";24;0,381804206488596;2023-08-18;NA;NA;NA;NA;NA;list(c(639410, 639410, 639400, 639400, 639410, 7691820, 7691810, 7691810, 7691820, 7691820));NA
"25";25;0,358711175511417;2023-08-18;NA;NA;NA;NA;NA;list(c(639420, 639420, 639410, 639410, 639420, 7691820, 7691810, 7691810, 7691820, 7691820));NA
"26";26;0,376009420346236;2023-08-16;NA;NA;NA;NA;NA;list(c(639430, 639430, 639420, 639420, 639430, 7691820, 7691810, 7691810, 7691820, 7691820));NA
"27";27;0,394670579094964;2023-08-13;NA;NA;NA;NA;NA;list(c(639440, 639440, 639430, 639430, 639440, 7691820, 7691810, 7691810, 7691820, 7691820));NA
"28";28;0,428940946701914;2023-08-15;NA;NA;NA;NA;NA;list(c(639450, 639450, 639440, 639440, 639450, 7691820, 7691810, 7691810, 7691820, 7691820));NA
"29";29;0,432720863565919;2023-08-16;NA;NA;NA;NA;NA;list(c(639460, 639460, 639450, 639450, 639460, 7691820, 7691810, 7691810, 7691820, 7691820));NA
"30";30;0,460234517653589;2023-08-16;NA;NA;NA;NA;NA;list(c(639470, 639470, 639460, 639460, 639470, 7691820, 7691810, 7691810, 7691820, 7691820));NA
"31";31;0,496087333100149;2023-08-16;NA;NA;NA;NA;NA;list(c(639480, 639480, 639470, 639470, 639480, 7691820, 7691810, 7691810, 7691820, 7691820));NA
"32";32;0,52851541324344;2023-08-17;NA;NA;NA;NA;NA;list(c(639490, 639490, 639480, 639480, 639490, 7691820, 7691810, 7691810, 7691820, 7691820));NA
"33";33;0,542551348306006;2023-08-17;NA;NA;NA;NA;NA;list(c(639500, 639500, 639490, 639490, 639500, 7691820, 7691810, 7691810, 7691820, 7691820));NA
"34";34;0,532408421262517;2023-08-17;NA;NA;NA;NA;NA;list(c(639510, 639510, 639500, 639500, 639510, 7691820, 7691810, 7691810, 7691820, 7691820));NA
"35";35;0,5153610270645;2023-08-17;NA;NA;NA;NA;NA;list(c(639520, 639520, 639510, 639510, 639520, 7691820, 7691810, 7691810, 7691820, 7691820));NA
"36";36;0,21485509573904;2023-08-21;NA;NA;NA;NA;NA;list(c(639180, 639180, 639170, 639170, 639180, 7691810, 7691800, 7691800, 7691810, 7691810));NA
"37";37;0,235222423565574;2023-08-23;NA;NA;NA;NA;NA;list(c(639190, 639190, 639180, 639180, 639190, 7691810, 7691800, 7691800, 7691810, 7691810));NA
"38";38;0,235461998454412;2023-08-22;NA;NA;NA;NA;NA;list(c(639200, 639200, 639190, 639190, 639200, 7691810, 7691800, 7691800, 7691810, 7691810));NA
"39";39;0,262145764645538;2023-08-21;NA;NA;NA;NA;NA;list(c(639210, 639210, 639200, 639200, 639210, 7691810, 7691800, 7691800, 7691810, 7691810));NA
"40";40;0,281083942187252;2023-08-20;NA;NA;NA;NA;NA;list(c(639220, 639220, 639210, 639210, 639220, 7691810, 7691800, 7691800, 7691810, 7691810));NA
"41";41;0,323318897535501;2023-08-22;NA;NA;NA;NA;NA;list(c(639230, 639230, 639220, 639220, 639230, 7691810, 7691800, 7691800, 7691810, 7691810));NA
"42";42;0,389556908645318;2023-08-21;NA;NA;NA;NA;NA;list(c(639240, 639240, 639230, 639230, 639240, 7691810, 7691800, 7691800, 7691810, 7691810));NA
"43";43;0,444235294802638;2023-08-21;NA;NA;NA;NA;NA;list(c(639250, 639250, 639240, 639240, 639250, 7691810, 7691800, 7691800, 7691810, 7691810));NA
"44";44;0,463060838570527;2023-08-22;NA;NA;NA;NA;NA;list(c(639260, 639260, 639250, 639250, 639260, 7691810, 7691800, 7691800, 7691810, 7691810));NA
"45";45;0,483672012240277;2023-08-21;NA;NA;NA;NA;NA;list(c(639270, 639270, 639260, 639260, 639270, 7691810, 7691800, 7691800, 7691810, 7691810));NA
"46";46;0,50097154553805;2023-08-20;NA;NA;NA;NA;NA;list(c(639280, 639280, 639270, 639270, 639280, 7691810, 7691800, 7691800, 7691810, 7691810));NA
"47";47;0,485805346688721;2023-08-20;NA;NA;NA;NA;NA;list(c(639290, 639290, 639280, 639280, 639290, 7691810, 7691800, 7691800, 7691810, 7691810));NA
"48";48;0,451037082537368;2023-08-18;NA;NA;NA;NA;NA;list(c(639300, 639300, 639290, 639290, 639300, 7691810, 7691800, 7691800, 7691810, 7691810));NA
"49";49;0,426502635797078;2023-08-16;NA;NA;NA;NA;NA;list(c(639310, 639310, 639300, 639300, 639310, 7691810, 7691800, 7691800, 7691810, 7691810));NA
"50";50;0,390968294886989;2023-08-16;NA;NA;NA;NA;NA;list(c(639320, 639320, 639310, 639310, 639320, 7691810, 7691800, 7691800, 7691810, 7691810));NA
"51";51;0,366255593507958;2023-08-16;NA;NA;NA;NA;NA;list(c(639330, 639330, 639320, 639320, 639330, 7691810, 7691800, 7691800, 7691810, 7691810));NA
"52";52;0,350969635299407;2023-08-18;NA;NA;NA;NA;NA;list(c(639340, 639340, 639330, 639330, 639340, 7691810, 7691800, 7691800, 7691810, 7691810));NA
"53";53;0,351865254000586;2023-08-17;NA;NA;NA;NA;NA;list(c(639350, 639350, 639340, 639340, 639350, 7691810, 7691800, 7691800, 7691810, 7691810));NA
"54";54;0,361871416898794;2023-08-15;NA;NA;NA;NA;NA;list(c(639360, 639360, 639350, 639350, 639360, 7691810, 7691800, 7691800, 7691810, 7691810));NA
"55";55;0,349962443826371;2023-08-16;NA;NA;NA;NA;NA;list(c(639370, 639370, 639360, 639360, 639370, 7691810, 7691800, 7691800, 7691810, 7691810));NA
"56";56;0,34584644511051;2023-08-14;NA;NA;NA;NA;NA;list(c(639380, 639380, 639370, 639370, 639380, 7691810, 7691800, 7691800, 7691810, 7691810));NA
"57";57;0,344368837562797;2023-08-13;NA;NA;NA;NA;NA;list(c(639390, 639390, 639380, 639380, 639390, 7691810, 7691800, 7691800, 7691810, 7691810));NA
"58";58;0,348127365134133;2023-08-14;NA;NA;NA;NA;NA;list(c(639400, 639400, 639390, 639390, 639400, 7691810, 7691800, 7691800, 7691810, 7691810));NA
"59";59;0,346067003723874;2023-08-18;NA;NA;NA;NA;NA;list(c(639410, 639410, 639400, 639400, 639410, 7691810, 7691800, 7691800, 7691810, 7691810));NA
"60";60;0,318767960590776;2023-08-17;NA;NA;NA;NA;NA;list(c(639420, 639420, 639410, 639410, 639420, 7691810, 7691800, 7691800, 7691810, 7691810));NA
"61";61;0,353143929125508;2023-08-13;NA;NA;NA;NA;NA;list(c(639430, 639430, 639420, 639420, 639430, 7691810, 7691800, 7691800, 7691810, 7691810));NA
"62";62;0,40368114116427;2023-08-13;NA;NA;NA;NA;NA;list(c(639440, 639440, 639430, 639430, 639440, 7691810, 7691800, 7691800, 7691810, 7691810));NA
"63";63;0,42202041548444;2023-08-14;NA;NA;NA;NA;NA;list(c(639450, 639450, 639440, 639440, 639450, 7691810, 7691800, 7691800, 7691810, 7691810));NA
"64";64;0,426641820522491;2023-08-15;NA;NA;NA;NA;NA;list(c(639460, 639460, 639450, 639450, 639460, 7691810, 7691800, 7691800, 7691810, 7691810));NA
"65";65;0,465061963550397;2023-08-16;NA;NA;NA;NA;NA;list(c(639470, 639470, 639460, 639460, 639470, 7691810, 7691800, 7691800, 7691810, 7691810));NA
"66";66;0,506178061870742;2023-08-16;NA;NA;NA;NA;NA;list(c(639480, 639480, 639470, 639470, 639480, 7691810, 7691800, 7691800, 7691810, 7691810));NA
"67";67;0,530728164958418;2023-08-16;NA;NA;NA;NA;NA;list(c(639490, 639490, 639480, 639480, 639490, 7691810, 7691800, 7691800, 7691810, 7691810));NA
"68";68;0,550418663377059;2023-08-16;NA;NA;NA;NA;NA;list(c(639500, 639500, 639490, 639490, 639500, 7691810, 7691800, 7691800, 7691810, 7691810));NA
"69";69;0,543172327277716;2023-08-17;NA;NA;NA;NA;NA;list(c(639510, 639510, 639500, 639500, 639510, 7691810, 7691800, 7691800, 7691810, 7691810));NA
"70";70;0,523813647901989;2023-08-16;NA;NA;NA;NA;NA;list(c(639520, 639520, 639510, 639510, 639520, 7691810, 7691800, 7691800, 7691810, 7691810));NA
"71";71;0,334467222375679;2023-08-19;NA;NA;NA;NA;NA;list(c(639180, 639180, 639170, 639170, 639180, 7691800, 7691790, 7691790, 7691800, 7691800));NA
"72";72;0,323265065810119;2023-08-20;NA;NA;NA;NA;NA;list(c(639190, 639190, 639180, 639180, 639190, 7691800, 7691790, 7691790, 7691800, 7691800));NA
"73";73;0,300323137249507;2023-08-20;NA;NA;NA;NA;NA;list(c(639200, 639200, 639190, 639190, 639200, 7691800, 7691790, 7691790, 7691800, 7691800));NA
"74";74;0,31349032450089;2023-08-20;NA;NA;NA;NA;NA;list(c(639210, 639210, 639200, 639200, 639210, 7691800, 7691790, 7691790, 7691800, 7691800));NA
"75";75;0,245072529956815;2023-08-23;NA;NA;NA;NA;NA;list(c(639220, 639220, 639210, 639210, 639220, 7691800, 7691790, 7691790, 7691800, 7691800));NA
"76";76;0,245607489581744;2023-08-25;NA;NA;NA;NA;NA;list(c(639230, 639230, 639220, 639220, 639230, 7691800, 7691790, 7691790, 7691800, 7691800));NA
"77";77;0,292410397880303;2023-08-23;NA;NA;NA;NA;NA;list(c(639240, 639240, 639230, 639230, 639240, 7691800, 7691790, 7691790, 7691800, 7691800));NA
"78";78;0,31089035369223;2023-08-24;NA;NA;NA;NA;NA;list(c(639250, 639250, 639240, 639240, 639250, 7691800, 7691790, 7691790, 7691800, 7691800));NA
"79";79;0,314261646926752;2023-08-23;0,998125;0,20215;0,0399;0,029175;40000;list(c(639260, 639260, 639250, 639250, 639260, 7691800, 7691790, 7691790, 7691800, 7691800));0,3173375
"80";80;0,32926583999506;2023-08-22;0,852064676616915;0,232537313432836;0,0245273631840796;0,0296517412935323;40200;list(c(639270, 639270, 639260, 639260, 639270, 7691800, 7691790, 7691790, 7691800, 7691800));0,284695273631841
"81";81;0,385094082834257;2023-08-20;NA;NA;NA;NA;NA;list(c(639280, 639280, 639270, 639270, 639280, 7691800, 7691790, 7691790, 7691800, 7691800));NA
"82";82;0,419249395723455;2023-08-21;NA;NA;NA;NA;NA;list(c(639290, 639290, 639280, 639280, 639290, 7691800, 7691790, 7691790, 7691800, 7691800));NA
"83";83;0,387788360705599;2023-08-18;NA;NA;NA;NA;NA;list(c(639300, 639300, 639290, 639290, 639300, 7691800, 7691790, 7691790, 7691800, 7691800));NA
"84";84;0,353010046681447;2023-08-17;NA;NA;NA;NA;NA;list(c(639310, 639310, 639300, 639300, 639310, 7691800, 7691790, 7691790, 7691800, 7691800));NA
"85";85;0,305102388752857;2023-08-17;NA;NA;NA;NA;NA;list(c(639320, 639320, 639310, 639310, 639320, 7691800, 7691790, 7691790, 7691800, 7691800));NA
"86";86;0,2645097169152;2023-08-19;NA;NA;NA;NA;NA;list(c(639330, 639330, 639320, 639320, 639330, 7691800, 7691790, 7691790, 7691800, 7691800));NA
"87";87;0,255547096683586;2023-08-20;NA;NA;NA;NA;NA;list(c(639340, 639340, 639330, 639330, 639340, 7691800, 7691790, 7691790, 7691800, 7691800));NA
"88";88;0,276782189972437;2023-08-22;NA;NA;NA;NA;NA;list(c(639350, 639350, 639340, 639340, 639350, 7691800, 7691790, 7691790, 7691800, 7691800));NA
"89";89;0,330863906085142;2023-08-21;NA;NA;NA;NA;NA;list(c(639360, 639360, 639350, 639350, 639360, 7691800, 7691790, 7691790, 7691800, 7691800));NA
"90";90;0,29542329783726;2023-08-22;NA;NA;NA;NA;NA;list(c(639370, 639370, 639360, 639360, 639370, 7691800, 7691790, 7691790, 7691800, 7691800));NA
"91";91;0,259423541043361;2023-08-20;NA;NA;NA;NA;NA;list(c(639380, 639380, 639370, 639370, 639380, 7691800, 7691790, 7691790, 7691800, 7691800));NA
"92";92;0,246790574732586;2023-08-18;NA;NA;NA;NA;NA;list(c(639390, 639390, 639380, 639380, 639390, 7691800, 7691790, 7691790, 7691800, 7691800));NA
"93";93;0,23443411901826;2023-08-14;NA;NA;NA;NA;NA;list(c(639400, 639400, 639390, 639390, 639400, 7691800, 7691790, 7691790, 7691800, 7691800));NA
"94";94;0,254125683874008;2023-08-11;NA;NA;NA;NA;NA;list(c(639410, 639410, 639400, 639400, 639410, 7691800, 7691790, 7691790, 7691800, 7691800));NA
"95";95;0,303989454434486;2023-08-15;NA;NA;NA;NA;NA;list(c(639420, 639420, 639410, 639410, 639420, 7691800, 7691790, 7691790, 7691800, 7691800));NA
"96";96;0,357222411701514;2023-08-15;NA;NA;NA;NA;NA;list(c(639430, 639430, 639420, 639420, 639430, 7691800, 7691790, 7691790, 7691800, 7691800));NA
"97";97;0,387237913906574;2023-08-14;NA;NA;NA;NA;NA;list(c(639440, 639440, 639430, 639430, 639440, 7691800, 7691790, 7691790, 7691800, 7691800));NA
"98";98;0,39796022727387;2023-08-13;NA;NA;NA;NA;NA;list(c(639450, 639450, 639440, 639440, 639450, 7691800, 7691790, 7691790, 7691800, 7691800));NA
"99";99;0,435414875188144;2023-08-15;NA;NA;NA;NA;NA;list(c(639460, 639460, 639450, 639450, 639460, 7691800, 7691790, 7691790, 7691800, 7691800));NA
"100";100;0,468485100354883;2023-08-16;NA;NA;NA;NA;NA;list(c(639470, 639470, 639460, 639460, 639470, 7691800, 7691790, 7691790, 7691800, 7691800));NA
"101";101;0,477531525189988;2023-08-16;NA;NA;NA;NA;NA;list(c(639480, 639480, 639470, 639470, 639480, 7691800, 7691790, 7691790, 7691800, 7691800));NA
"102";102;0,469875686641899;2023-08-15;NA;NA;NA;NA;NA;list(c(639490, 639490, 639480, 639480, 639490, 7691800, 7691790, 7691790, 7691800, 7691800));NA
"103";103;0,494660470547387;2023-08-13;NA;NA;NA;NA;NA;list(c(639500, 639500, 639490, 639490, 639500, 7691800, 7691790, 7691790, 7691800, 7691800));NA
"104";104;0,51317098706204;2023-08-14;NA;NA;NA;NA;NA;list(c(639510, 639510, 639500, 639500, 639510, 7691800, 7691790, 7691790, 7691800, 7691800));NA
"105";105;0,532869132104679;2023-08-16;NA;NA;NA;NA;NA;list(c(639520, 639520, 639510, 639510, 639520, 7691800, 7691790, 7691790, 7691800, 7691800));NA
"106";106;0,41325311561377;2023-08-19;NA;NA;NA;NA;NA;list(c(639180, 639180, 639170, 639170, 639180, 7691790, 7691780, 7691780, 7691790, 7691790));NA
"107";107;0,389756741904421;2023-08-19;NA;NA;NA;NA;NA;list(c(639190, 639190, 639180, 639180, 639190, 7691790, 7691780, 7691780, 7691790, 7691790));NA
"108";108;0,37908550609427;2023-08-19;NA;NA;NA;NA;NA;list(c(639200, 639200, 639190, 639190, 639200, 7691790, 7691780, 7691780, 7691790, 7691790));NA
"109";109;0,396056470715848;2023-08-19;NA;NA;NA;NA;NA;list(c(639210, 639210, 639200, 639200, 639210, 7691790, 7691780, 7691780, 7691790, 7691790));NA
"110";110;0,346841804566793;2023-08-19;NA;NA;NA;NA;NA;list(c(639220, 639220, 639210, 639210, 639220, 7691790, 7691780, 7691780, 7691790, 7691790));NA
