"";"id";"ndvi_mx";"ndv_mx_dy";"ndv_mx_dt";"2023-07-02";"2023-07-12";"2023-07-18";"2023-07-26";"tot.pixels";"snow.persist";"geometry"
"1";1;0,183116666405112;223,473401173294;2023-08-11;NA;NA;NA;NA;NA;NA;list(c(639180, 639180, 639170, 639170, 639180, 7691820, 7691810, 7691810, 7691820, 7691820))
"2";2;0,261623064172454;232,369606180193;2023-08-20;NA;NA;NA;NA;NA;NA;list(c(639190, 639190, 639180, 639180, 639190, 7691820, 7691810, 7691810, 7691820, 7691820))
"3";3;0,315895505169465;232,848582463652;2023-08-20;NA;NA;NA;NA;NA;NA;list(c(639200, 639200, 639190, 639190, 639200, 7691820, 7691810, 7691810, 7691820, 7691820))
"4";4;0,351066961651668;229,86264517239;2023-08-17;NA;NA;NA;NA;NA;NA;list(c(639210, 639210, 639200, 639200, 639210, 7691820, 7691810, 7691810, 7691820, 7691820))
"5";5;0,429166301240912;231,178730408912;2023-08-19;NA;NA;NA;NA;NA;NA;list(c(639220, 639220, 639210, 639210, 639220, 7691820, 7691810, 7691810, 7691820, 7691820))
"6";6;0,438915660633938;231,092066927136;2023-08-19;NA;NA;NA;NA;NA;NA;list(c(639230, 639230, 639220, 639220, 639230, 7691820, 7691810, 7691810, 7691820, 7691820))
"7";7;0,42925114287209;229,492491101311;2023-08-17;NA;NA;NA;NA;NA;NA;list(c(639240, 639240, 639230, 639230, 639240, 7691820, 7691810, 7691810, 7691820, 7691820))
"8";8;0,456373476736189;226,937912658439;2023-08-14;NA;NA;NA;NA;NA;NA;list(c(639250, 639250, 639240, 639240, 639250, 7691820, 7691810, 7691810, 7691820, 7691820))
"9";9;0,483007641712902;228,135719662638;2023-08-16;NA;NA;NA;NA;NA;NA;list(c(639260, 639260, 639250, 639250, 639260, 7691820, 7691810, 7691810, 7691820, 7691820))
"10";10;0,524261820333777;232,181021507007;2023-08-20;NA;NA;NA;NA;NA;NA;list(c(639270, 639270, 639260, 639260, 639270, 7691820, 7691810, 7691810, 7691820, 7691820))
"11";11;0,520262283855118;232,158981498425;2023-08-20;NA;NA;NA;NA;NA;NA;list(c(639280, 639280, 639270, 639270, 639280, 7691820, 7691810, 7691810, 7691820, 7691820))
"12";12;0,503628798513091;229,63141659438;2023-08-17;NA;NA;NA;NA;NA;NA;list(c(639290, 639290, 639280, 639280, 639290, 7691820, 7691810, 7691810, 7691820, 7691820))
"13";13;0,488311424996937;228,749732324271;2023-08-16;NA;NA;NA;NA;NA;NA;list(c(639300, 639300, 639290, 639290, 639300, 7691820, 7691810, 7691810, 7691820, 7691820))
"14";14;0,472718161727244;229,111365149027;2023-08-17;NA;NA;NA;NA;NA;NA;list(c(639310, 639310, 639300, 639300, 639310, 7691820, 7691810, 7691810, 7691820, 7691820))
"15";15;0,451749134816055;228,980635280703;2023-08-16;NA;NA;NA;NA;NA;NA;list(c(639320, 639320, 639310, 639310, 639320, 7691820, 7691810, 7691810, 7691820, 7691820))
"16";16;0,433096873210161;228,697071968694;2023-08-16;NA;NA;NA;NA;NA;NA;list(c(639330, 639330, 639320, 639320, 639330, 7691820, 7691810, 7691810, 7691820, 7691820))
"17";17;0,417127918066399;227,758739535166;2023-08-15;NA;NA;NA;NA;NA;NA;list(c(639340, 639340, 639330, 639330, 639340, 7691820, 7691810, 7691810, 7691820, 7691820))
"18";18;0,406492854781391;227,355179539045;2023-08-15;NA;NA;NA;NA;NA;NA;list(c(639350, 639350, 639340, 639340, 639350, 7691820, 7691810, 7691810, 7691820, 7691820))
"19";19;0,408559093935764;228,481261134366;2023-08-16;NA;NA;NA;NA;NA;NA;list(c(639360, 639360, 639350, 639350, 639360, 7691820, 7691810, 7691810, 7691820, 7691820))
"20";20;0,403842268911831;227,183198064726;2023-08-15;NA;NA;NA;NA;NA;NA;list(c(639370, 639370, 639360, 639360, 639370, 7691820, 7691810, 7691810, 7691820, 7691820))
"21";21;0,383953616001236;226,567766570828;2023-08-14;NA;NA;NA;NA;NA;NA;list(c(639380, 639380, 639370, 639370, 639380, 7691820, 7691810, 7691810, 7691820, 7691820))
"22";22;0,372573265281972;227,218201184969;2023-08-15;NA;NA;NA;NA;NA;NA;list(c(639390, 639390, 639380, 639380, 639390, 7691820, 7691810, 7691810, 7691820, 7691820))
"23";23;0,368978669292119;227,100029386525;2023-08-15;NA;NA;NA;NA;NA;NA;list(c(639400, 639400, 639390, 639390, 639400, 7691820, 7691810, 7691810, 7691820, 7691820))
"24";24;0,355565096346254;227,60405420079;2023-08-15;NA;NA;NA;NA;NA;NA;list(c(639410, 639410, 639400, 639400, 639410, 7691820, 7691810, 7691810, 7691820, 7691820))
"25";25;0,336531763678067;228,109366158191;2023-08-16;NA;NA;NA;NA;NA;NA;list(c(639420, 639420, 639410, 639410, 639420, 7691820, 7691810, 7691810, 7691820, 7691820))
"26";26;0,360063374057063;226,234723389905;2023-08-14;NA;NA;NA;NA;NA;NA;list(c(639430, 639430, 639420, 639420, 639430, 7691820, 7691810, 7691810, 7691820, 7691820))
"27";27;0,390071450841788;224,212118289983;2023-08-12;NA;NA;NA;NA;NA;NA;list(c(639440, 639440, 639430, 639430, 639440, 7691820, 7691810, 7691810, 7691820, 7691820))
"28";28;0,408952371173655;224,66147751702;2023-08-12;NA;NA;NA;NA;NA;NA;list(c(639450, 639450, 639440, 639440, 639450, 7691820, 7691810, 7691810, 7691820, 7691820))
"29";29;0,408971047429077;224,926970066288;2023-08-12;NA;NA;NA;NA;NA;NA;list(c(639460, 639460, 639450, 639450, 639460, 7691820, 7691810, 7691810, 7691820, 7691820))
"30";30;0,43869891705981;225,967423662227;2023-08-13;NA;NA;NA;NA;NA;NA;list(c(639470, 639470, 639460, 639460, 639470, 7691820, 7691810, 7691810, 7691820, 7691820))
"31";31;0,482120192798902;227,321648078821;2023-08-15;NA;NA;NA;NA;NA;NA;list(c(639480, 639480, 639470, 639470, 639480, 7691820, 7691810, 7691810, 7691820, 7691820))
"32";32;0,522068532547564;229,177894904486;2023-08-17;NA;NA;NA;NA;NA;NA;list(c(639490, 639490, 639480, 639480, 639490, 7691820, 7691810, 7691810, 7691820, 7691820))
"33";33;0,534049098510877;229,474789840948;2023-08-17;NA;NA;NA;NA;NA;NA;list(c(639500, 639500, 639490, 639490, 639500, 7691820, 7691810, 7691810, 7691820, 7691820))
"34";34;0,514646212905063;228,157131820168;2023-08-16;NA;NA;NA;NA;NA;NA;list(c(639510, 639510, 639500, 639500, 639510, 7691820, 7691810, 7691810, 7691820, 7691820))
"35";35;0,501472111514886;228,645702559457;2023-08-16;NA;NA;NA;NA;NA;NA;list(c(639520, 639520, 639510, 639510, 639520, 7691820, 7691810, 7691810, 7691820, 7691820))
"36";36;0,197374127623334;231,877009049895;2023-08-19;NA;NA;NA;NA;NA;NA;list(c(639180, 639180, 639170, 639170, 639180, 7691810, 7691800, 7691800, 7691810, 7691810))
"37";37;0,237108001711022;235,149094136934;2023-08-23;NA;NA;NA;NA;NA;NA;list(c(639190, 639190, 639180, 639180, 639190, 7691810, 7691800, 7691800, 7691810, 7691810))
"38";38;0,229212346799613;233,582226241873;2023-08-21;NA;NA;NA;NA;NA;NA;list(c(639200, 639200, 639190, 639190, 639200, 7691810, 7691800, 7691800, 7691810, 7691810))
"39";39;0,260078215098474;233,577658702914;2023-08-21;NA;NA;NA;NA;NA;NA;list(c(639210, 639210, 639200, 639200, 639210, 7691810, 7691800, 7691800, 7691810, 7691810))
"40";40;0,29274188222189;233,376204742417;2023-08-21;NA;NA;NA;NA;NA;NA;list(c(639220, 639220, 639210, 639210, 639220, 7691810, 7691800, 7691800, 7691810, 7691810))
"41";41;0,312227235961473;230,728346125619;2023-08-18;NA;NA;NA;NA;NA;NA;list(c(639230, 639230, 639220, 639220, 639230, 7691810, 7691800, 7691800, 7691810, 7691810))
"42";42;0,370205169674591;228,649278922148;2023-08-16;NA;NA;NA;NA;NA;NA;list(c(639240, 639240, 639230, 639230, 639240, 7691810, 7691800, 7691800, 7691810, 7691810))
"43";43;0,429961659450782;230,586501967111;2023-08-18;NA;NA;NA;NA;NA;NA;list(c(639250, 639250, 639240, 639240, 639250, 7691810, 7691800, 7691800, 7691810, 7691810))
"44";44;0,461963239758916;234,24769744385;2023-08-22;NA;NA;NA;NA;NA;NA;list(c(639260, 639260, 639250, 639250, 639260, 7691810, 7691800, 7691800, 7691810, 7691810))
