"";"id";"ndvi_mx";"ndv_mx_dy";"ndv_mx_dt";"2023-07-02";"2023-07-12";"2023-07-18";"2023-07-26";"tot.pixels";"snow.persist"
"1";1;0,222913045428868;237,803750350602;2023-08-25;NA;NA;NA;NA;NA;NA
"2";2;0,221125857278821;241,702925252343;2023-08-29;NA;NA;NA;NA;NA;NA
"3";3;0,206082690938274;250,613264932243;2023-09-07;NA;NA;NA;NA;NA;NA
"4";4;0,227328980578022;250,940910491434;2023-09-07;NA;NA;NA;NA;NA;NA
"5";5;0,231741142559258;247,681636337627;2023-09-04;NA;NA;NA;NA;NA;NA
"6";6;0,221248367628505;255,363489934789;2023-09-12;NA;NA;NA;NA;NA;NA
"7";7;0,247713074813873;274,422418530117;2023-10-01;NA;NA;NA;NA;NA;NA
"8";8;0,211522991601669;263,372463399377;2023-09-20;NA;NA;NA;NA;NA;NA
"9";9;0,248994108498664;261,123740931773;2023-09-18;NA;NA;NA;NA;NA;NA
"10";10;0,290760584965028;237,409809061537;2023-08-25;NA;NA;NA;NA;NA;NA
"11";11;0,302731708474312;236,936987232577;2023-08-24;NA;NA;NA;NA;NA;NA
"12";12;0,31983881744236;230,085198569806;2023-08-18;NA;NA;NA;NA;NA;NA
"13";13;0,309683290077373;228,59410539057;2023-08-16;NA;NA;NA;NA;NA;NA
"14";14;0,280110491137748;230,889925198499;2023-08-18;NA;NA;NA;NA;NA;NA
"15";15;0,230209475725133;237,412912179025;2023-08-25;NA;NA;NA;NA;NA;NA
"16";16;0,213763268724506;242,720588618115;2023-08-30;0,45255130338325;0,000959511924570161;0,000618413754853023;0,000565723793677205;360600;0,113673738214088
"17";17;0,213593821796167;268,247403593046;2023-09-25;0,65465;0,0152444444444444;0,00521944444444444;0,00164444444444444;360000;0,169189583333333
"18";18;0,220289250448332;274,397916218601;2023-10-01;0,782813888888889;0,0370861111111111;0,0117222222222222;0,001925;360000;0,208386805555556
"19";19;0,246684070329138;270,478896001136;2023-09-27;1;0,0236166666666667;0,00937222222222222;0,00104722222222222;360000;0,258509027777778
"20";20;0,258839941026963;262,994440932798;2023-09-19;NA;0,0184277777777778;0,00940555555555556;0,0079;360000;NA
"21";21;0,31763361008052;262,001535989359;2023-09-19;NA;NA;NA;NA;NA;NA
"22";22;0,321447406975494;250,33404251637;2023-09-07;NA;NA;NA;NA;NA;NA
"23";23;0,299577831647184;242,402578042715;2023-08-30;NA;NA;NA;NA;NA;NA
"24";24;0,289808683992305;237,16255295671;2023-08-25;NA;NA;NA;NA;NA;NA
"25";25;0,216093290298886;246,075727672946;2023-09-03;NA;NA;NA;NA;NA;NA
"26";26;0,225169799221476;235,960392993227;2023-08-23;NA;NA;NA;NA;NA;NA
"27";27;0,271403417082183;226,307894041733;2023-08-14;NA;NA;NA;NA;NA;NA
"28";28;0,272627603008004;228,030831733933;2023-08-16;0,00416805324459235;0,00138935108153078;0,000626733222407099;0,000149750415973378;360600;0,0015834719911259
"29";29;0,253422724115808;235,863390601418;2023-08-23;0,0000611111111111111;0,0000277777777777778;0,000025;0,00000833333333333333;360000;0,0000305555555555556
"30";30;0,255135069066455;247,934727287844;2023-09-04;0,575083333333333;0,000208333333333333;0,0000666666666666667;0,0000194444444444444;360000;0,143844444444444
"31";31;0,229166910481581;255,177352236879;2023-09-12;0,701258333333333;0,0108138888888889;0,000133333333333333;0,000613888888888889;360000;0,178204861111111
"32";32;0,269250664543506;239,358303536472;2023-08-27;0,491736111111111;0,000605555555555556;0,000366666666666667;0,0003;360000;0,123252083333333
"33";33;0,317159221602196;238,012191625621;2023-08-26;0,819333333333333;0,0000777777777777778;0,00005;0;360000;0,204865277777778
"34";34;0,298073132798891;242,585195615335;2023-08-30;0,956733333333333;0,0168722222222222;0,000105555555555556;0,0001;360000;0,243452777777778
"35";35;0,267189301292092;247,791726962292;2023-09-04;NA;0,050425;0,0446722222222222;0,0226138888888889;360000;NA
