"";"id";"ndvi_mx";"ndv_mx_dy";"ndv_mx_dt";"2023-07-02";"2023-07-12";"2023-07-18";"2023-07-26";"tot.pixels";"snow.persist";"geometry"
"1";1;0,222913045428868;237,803750350602;2023-08-25;NA;NA;NA;NA;NA;NA;list(c(639195, 639195, 639165, 639165, 639195, 7691805, 7691775, 7691775, 7691805, 7691805))
"2";2;0,221125857278821;241,702925252343;2023-08-29;NA;NA;NA;NA;NA;NA;list(c(639225, 639225, 639195, 639195, 639225, 7691805, 7691775, 7691775, 7691805, 7691805))
"3";3;0,206082690938274;250,613264932243;2023-09-07;NA;NA;NA;NA;NA;NA;list(c(639255, 639255, 639225, 639225, 639255, 7691805, 7691775, 7691775, 7691805, 7691805))
"4";4;0,227328980578022;250,940910491434;2023-09-07;NA;NA;NA;NA;NA;NA;list(c(639285, 639285, 639255, 639255, 639285, 7691805, 7691775, 7691775, 7691805, 7691805))
"5";5;0,231741142559258;247,681636337627;2023-09-04;NA;NA;NA;NA;NA;NA;list(c(639315, 639315, 639285, 639285, 639315, 7691805, 7691775, 7691775, 7691805, 7691805))
"6";6;0,221248367628505;255,363489934789;2023-09-12;NA;NA;NA;NA;NA;NA;list(c(639345, 639345, 639315, 639315, 639345, 7691805, 7691775, 7691775, 7691805, 7691805))
"7";7;0,247713074813873;274,422418530117;2023-10-01;NA;NA;NA;NA;NA;NA;list(c(639375, 639375, 639345, 639345, 639375, 7691805, 7691775, 7691775, 7691805, 7691805))
"8";8;0,211522991601669;263,372463399377;2023-09-20;NA;NA;NA;NA;NA;NA;list(c(639405, 639405, 639375, 639375, 639405, 7691805, 7691775, 7691775, 7691805, 7691805))
"9";9;0,248994108498664;261,123740931773;2023-09-18;NA;NA;NA;NA;NA;NA;list(c(639435, 639435, 639405, 639405, 639435, 7691805, 7691775, 7691775, 7691805, 7691805))
"10";10;0,290760584965028;237,409809061537;2023-08-25;NA;NA;NA;NA;NA;NA;list(c(639465, 639465, 639435, 639435, 639465, 7691805, 7691775, 7691775, 7691805, 7691805))
"11";11;0,302731708474312;236,936987232577;2023-08-24;NA;NA;NA;NA;NA;NA;list(c(639495, 639495, 639465, 639465, 639495, 7691805, 7691775, 7691775, 7691805, 7691805))
"12";12;0,31983881744236;230,085198569806;2023-08-18;NA;NA;NA;NA;NA;NA;list(c(639525, 639525, 639495, 639495, 639525, 7691805, 7691775, 7691775, 7691805, 7691805))
"13";13;0,309683290077373;228,59410539057;2023-08-16;NA;NA;NA;NA;NA;NA;list(c(639195, 639195, 639165, 639165, 639195, 7691775, 7691745, 7691745, 7691775, 7691775))
"14";14;0,280110491137748;230,889925198499;2023-08-18;NA;NA;NA;NA;NA;NA;list(c(639225, 639225, 639195, 639195, 639225, 7691775, 7691745, 7691745, 7691775, 7691775))
"15";15;0,230209475725133;237,412912179025;2023-08-25;NA;NA;NA;NA;NA;NA;list(c(639255, 639255, 639225, 639225, 639255, 7691775, 7691745, 7691745, 7691775, 7691775))
"16";16;0,213763268724506;242,720588618115;2023-08-30;0,45255130338325;0,000959511924570161;0,000618413754853023;0,000565723793677205;360600;0,113673738214088;list(c(639285, 639285, 639255, 639255, 639285, 7691775, 7691745, 7691745, 7691775, 7691775))
"17";17;0,213593821796167;268,247403593046;2023-09-25;0,65465;0,0152444444444444;0,00521944444444444;0,00164444444444444;360000;0,169189583333333;list(c(639315, 639315, 639285, 639285, 639315, 7691775, 7691745, 7691745, 7691775, 7691775))
"18";18;0,220289250448332;274,397916218601;2023-10-01;0,782813888888889;0,0370861111111111;0,0117222222222222;0,001925;360000;0,208386805555556;list(c(639345, 639345, 639315, 639315, 639345, 7691775, 7691745, 7691745, 7691775, 7691775))
"19";19;0,246684070329138;270,478896001136;2023-09-27;1;0,0236166666666667;0,00937222222222222;0,00104722222222222;360000;0,258509027777778;list(c(639375, 639375, 639345, 639345, 639375, 7691775, 7691745, 7691745, 7691775, 7691775))
"20";20;0,258839941026963;262,994440932798;2023-09-19;NA;0,0184277777777778;0,00940555555555556;0,0079;360000;NA;list(c(639405, 639405, 639375, 639375, 639405, 7691775, 7691745, 7691745, 7691775, 7691775))
"21";21;0,31763361008052;262,001535989359;2023-09-19;NA;NA;NA;NA;NA;NA;list(c(639435, 639435, 639405, 639405, 639435, 7691775, 7691745, 7691745, 7691775, 7691775))
"22";22;0,321447406975494;250,33404251637;2023-09-07;NA;NA;NA;NA;NA;NA;list(c(639465, 639465, 639435, 639435, 639465, 7691775, 7691745, 7691745, 7691775, 7691775))
"23";23;0,299577831647184;242,402578042715;2023-08-30;NA;NA;NA;NA;NA;NA;list(c(639495, 639495, 639465, 639465, 639495, 7691775, 7691745, 7691745, 7691775, 7691775))
"24";24;0,289808683992305;237,16255295671;2023-08-25;NA;NA;NA;NA;NA;NA;list(c(639525, 639525, 639495, 639495, 639525, 7691775, 7691745, 7691745, 7691775, 7691775))
"25";25;0,216093290298886;246,075727672946;2023-09-03;NA;NA;NA;NA;NA;NA;list(c(639195, 639195, 639165, 639165, 639195, 7691745, 7691715, 7691715, 7691745, 7691745))
"26";26;0,225169799221476;235,960392993227;2023-08-23;NA;NA;NA;NA;NA;NA;list(c(639225, 639225, 639195, 639195, 639225, 7691745, 7691715, 7691715, 7691745, 7691745))
"27";27;0,271403417082183;226,307894041733;2023-08-14;NA;NA;NA;NA;NA;NA;list(c(639255, 639255, 639225, 639225, 639255, 7691745, 7691715, 7691715, 7691745, 7691745))
"28";28;0,272627603008004;228,030831733933;2023-08-16;0,00416805324459235;0,00138935108153078;0,000626733222407099;0,000149750415973378;360600;0,0015834719911259;list(c(639285, 639285, 639255, 639255, 639285, 7691745, 7691715, 7691715, 7691745, 7691745))
"29";29;0,253422724115808;235,863390601418;2023-08-23;0,0000611111111111111;0,0000277777777777778;0,000025;0,00000833333333333333;360000;0,0000305555555555556;list(c(639315, 639315, 639285, 639285, 639315, 7691745, 7691715, 7691715, 7691745, 7691745))
"30";30;0,255135069066455;247,934727287844;2023-09-04;0,575083333333333;0,000208333333333333;0,0000666666666666667;0,0000194444444444444;360000;0,143844444444444;list(c(639345, 639345, 639315, 639315, 639345, 7691745, 7691715, 7691715, 7691745, 7691745))
"31";31;0,229166910481581;255,177352236879;2023-09-12;0,701258333333333;0,0108138888888889;0,000133333333333333;0,000613888888888889;360000;0,178204861111111;list(c(639375, 639375, 639345, 639345, 639375, 7691745, 7691715, 7691715, 7691745, 7691745))
"32";32;0,269250664543506;239,358303536472;2023-08-27;0,491736111111111;0,000605555555555556;0,000366666666666667;0,0003;360000;0,123252083333333;list(c(639405, 639405, 639375, 639375, 639405, 7691745, 7691715, 7691715, 7691745, 7691745))
"33";33;0,317159221602196;238,012191625621;2023-08-26;0,819333333333333;0,0000777777777777778;0,00005;0;360000;0,204865277777778;list(c(639435, 639435, 639405, 639405, 639435, 7691745, 7691715, 7691715, 7691745, 7691745))
"34";34;0,298073132798891;242,585195615335;2023-08-30;0,956733333333333;0,0168722222222222;0,000105555555555556;0,0001;360000;0,243452777777778;list(c(639465, 639465, 639435, 639435, 639465, 7691745, 7691715, 7691715, 7691745, 7691745))
"35";35;0,267189301292092;247,791726962292;2023-09-04;NA;0,050425;0,0446722222222222;0,0226138888888889;360000;NA;list(c(639495, 639495, 639465, 639465, 639495, 7691745, 7691715, 7691715, 7691745, 7691745))
"36";36;0,284755807766487;236,531220513531;2023-08-24;NA;NA;NA;NA;NA;NA;list(c(639525, 639525, 639495, 639495, 639525, 7691745, 7691715, 7691715, 7691745, 7691745))
"37";37;0,241318082407815;237,183589421602;2023-08-25;NA;NA;NA;NA;NA;NA;list(c(639195, 639195, 639165, 639165, 639195, 7691715, 7691685, 7691685, 7691715, 7691715))
"38";38;0,207297311440925;238,726073069378;2023-08-26;NA;NA;NA;NA;NA;NA;list(c(639225, 639225, 639195, 639195, 639225, 7691715, 7691685, 7691685, 7691715, 7691715))
"39";39;0,190055429447966;251,676142455544;2023-09-08;NA;NA;NA;NA;NA;NA;list(c(639255, 639255, 639225, 639225, 639255, 7691715, 7691685, 7691685, 7691715, 7691715))
"40";40;0,217820634163218;249,086779141257;2023-09-06;0,782645590682196;0,0823322240709928;0,0721630615640599;0,0245396561286744;360600;0,240420133111481;list(c(639285, 639285, 639255, 639255, 639285, 7691715, 7691685, 7691685, 7691715, 7691715))
"41";41;0,256277909400524;262,331364076079;2023-09-19;0,843986111111111;0,123308333333333;0,0237083333333333;0,0325416666666667;360000;0,255886111111111;list(c(639315, 639315, 639285, 639285, 639315, 7691715, 7691685, 7691685, 7691715, 7691715))
"42";42;0,275007109352373;272,655105261052;2023-09-29;0,845119444444444;0,0391333333333333;0,0135638888888889;0,0555972222222222;360000;0,238353472222222;list(c(639345, 639345, 639315, 639315, 639345, 7691715, 7691685, 7691685, 7691715, 7691715))
"43";43;0,268652108428796;241,034275085196;2023-08-29;0,163508333333333;0,000361111111111111;0,000141666666666667;0,000211111111111111;360000;0,0410555555555556;list(c(639375, 639375, 639345, 639345, 639375, 7691715, 7691685, 7691685, 7691715, 7691715))
"44";44;0,278567232395289;234,394997092651;2023-08-22;0,183138888888889;0;0,0000805555555555556;0;360000;0,0458048611111111;list(c(639405, 639405, 639375, 639375, 639405, 7691715, 7691685, 7691685, 7691715, 7691715))
"45";45;0,260847960689716;236,804609053142;2023-08-24;0,923113888888889;0,0002;0,0000166666666666667;0;360000;0,230832638888889;list(c(639435, 639435, 639405, 639405, 639435, 7691715, 7691685, 7691685, 7691715, 7691715))
"46";46;0,260477964493475;232,524824758337;2023-08-20;0,986147222222222;0,0190666666666667;0,0000972222222222222;0;360000;0,251327777777778;list(c(639465, 639465, 639435, 639435, 639465, 7691715, 7691685, 7691685, 7691715, 7691715))
"47";47;0,249980943528499;230,274181983554;2023-08-18;NA;NA;NA;NA;NA;NA;list(c(639495, 639495, 639465, 639465, 639495, 7691715, 7691685, 7691685, 7691715, 7691715))
"48";48;0,233188275309658;234,218440618417;2023-08-22;NA;NA;NA;NA;NA;NA;list(c(639525, 639525, 639495, 639495, 639525, 7691715, 7691685, 7691685, 7691715, 7691715))
"49";49;0,291659752794658;230,647803341584;2023-08-18;NA;NA;NA;NA;NA;NA;list(c(639195, 639195, 639165, 639165, 639195, 7691685, 7691655, 7691655, 7691685, 7691685))
"50";50;0,305778823683795;225,474155554159;2023-08-13;NA;NA;NA;NA;NA;NA;list(c(639225, 639225, 639195, 639195, 639225, 7691685, 7691655, 7691655, 7691685, 7691685))
"51";51;0,264027503737452;233,51880047669;2023-08-21;NA;NA;NA;NA;NA;NA;list(c(639255, 639255, 639225, 639225, 639255, 7691685, 7691655, 7691655, 7691685, 7691685))
