X,Y,id,snow.auc,snow.av,2022-07-09,2022-07-19,2022-07-29,2022-08-04,2022-08-13
314985,6763605,22,0,0,0,0,0,0,0
314985,6763575,38,0.000125,6.25e-06,2.5e-05,0,0,0,0
315015,6763575,39,0,0,0,0,0,0,0
315045,6763575,40,0,0,0,0,0,0,0
314955,6763545,53,7.24731944444444,0.262430555555556,0.642713888888889,0.388841666666667,0.0181666666666667,0,0
314985,6763545,54,0.0947805555555555,0.00453680555555556,0.0172972222222222,0.000747222222222222,0.000102777777777778,0,0
315015,6763545,55,0.000236111111111111,1.18055555555556e-05,4.72222222222222e-05,0,0,0,0
315045,6763545,56,0.000180555555555556,9.02777777777778e-06,3.61111111111111e-05,0,0,0,0
315075,6763545,57,8.33333333333333e-05,4.16666666666667e-06,1.66666666666667e-05,0,0,0,0
315105,6763545,58,0,0,0,0,0,0,0
314955,6763515,69,1.16445277777778,0.0475402777777778,0.146975,0.0420444444444444,0.00114166666666667,0,0
314985,6763515,70,0.930075,0.04245625,0.153180555555556,0.0155083333333333,0.00113611111111111,0,0
315015,6763515,71,0,0,0,0,0,0,0
315045,6763515,72,0,0,0,0,0,0,0
315075,6763515,73,1.38888888888889e-05,6.94444444444444e-07,2.77777777777778e-06,0,0,0,0
315105,6763515,74,0,0,0,0,0,0,0
315135,6763515,75,0,0,0,0,0,0,0
315165,6763515,76,6.94444444444444e-05,3.47222222222222e-06,1.38888888888889e-05,0,0,0,0
314955,6763485,85,2.77777777777778e-05,1.38888888888889e-06,5.55555555555556e-06,0,0,0,0
314985,6763485,86,5.55555555555556e-05,2.77777777777778e-06,1.11111111111111e-05,0,0,0,0
315015,6763485,87,0,0,0,0,0,0,0
315045,6763485,88,0,0,0,0,0,0,0
315075,6763485,89,0,0,0,0,0,0,0
315105,6763485,90,0,0,0,0,0,0,0
315135,6763485,91,0,0,0,0,0,0,0
315165,6763485,92,0,0,0,0,0,0,0
315195,6763485,93,5.55555555555556e-05,2.77777777777778e-06,1.11111111111111e-05,0,0,0,0
315225,6763485,94,0.000138888888888889,6.94444444444444e-06,2.77777777777778e-05,0,0,0,0
314925,6763455,100,0.000194444444444444,9.72222222222222e-06,3.88888888888889e-05,0,0,0,0
314955,6763455,101,0,0,0,0,0,0,0
314985,6763455,102,0,0,0,0,0,0,0
315015,6763455,103,0,0,0,0,0,0,0
315045,6763455,104,0,0,0,0,0,0,0
315075,6763455,105,0,0,0,0,0,0,0
315105,6763455,106,0,0,0,0,0,0,0
315135,6763455,107,0,0,0,0,0,0,0
315165,6763455,108,0,0,0,0,0,0,0
315195,6763455,109,0,0,0,0,0,0,0
315225,6763455,110,0,0,0,0,0,0,0
315255,6763455,111,0,0,0,0,0,0,0
314925,6763425,116,0.000277777777777778,1.38888888888889e-05,5.55555555555556e-05,0,0,0,0
314955,6763425,117,0,0,0,0,0,0,0
314985,6763425,118,0,0,0,0,0,0,0
315015,6763425,119,0,0,0,0,0,0,0
315045,6763425,120,0,0,0,0,0,0,0
315075,6763425,121,0,0,0,0,0,0,0
315105,6763425,122,0,0,0,0,0,0,0
315135,6763425,123,0,0,0,0,0,0,0
315165,6763425,124,0,0,0,0,0,0,0
315195,6763425,125,0,0,0,0,0,0,0
315225,6763425,126,0,0,0,0,0,0,0
315255,6763425,127,0.148416666666667,0.00742083333333333,0.0296833333333333,0,0,0,0
314895,6763395,131,0.000166666666666667,8.33333333333333e-06,3.33333333333333e-05,0,0,0,0
314925,6763395,132,0,0,0,0,0,0,0
314955,6763395,133,0,0,0,0,0,0,0
314985,6763395,134,0,0,0,0,0,0,0
315015,6763395,135,0,0,0,0,0,0,0
315045,6763395,136,0,0,0,0,0,0,0
315075,6763395,137,0,0,0,0,0,0,0
315105,6763395,138,0.113555555555556,0.00567777777777778,0.0227111111111111,0,0,0,0
315135,6763395,139,2.77777777777778e-05,1.38888888888889e-06,5.55555555555556e-06,0,0,0,0
315165,6763395,140,4.16666666666667e-05,2.08333333333333e-06,8.33333333333333e-06,0,0,0,0
315195,6763395,141,0,0,0,0,0,0,0
315225,6763395,142,0,0,0,0,0,0,0
314895,6763365,147,0,0,0,0,0,0,0
314925,6763365,148,0.000236111111111111,1.18055555555556e-05,4.72222222222222e-05,0,0,0,0
314955,6763365,149,0,0,0,0,0,0,0
314985,6763365,150,0,0,0,0,0,0,0
315015,6763365,151,0,0,0,0,0,0,0
315045,6763365,152,0,0,0,0,0,0,0
315075,6763365,153,0,0,0,0,0,0,0
315105,6763365,154,1.31433055555556,0.0554243055555556,0.180308333333333,0.0408388888888889,0.00055,0,0
315135,6763365,155,1.95323333333333,0.0943930555555555,0.364433333333333,0.0129777777777778,0.000161111111111111,0,0
315165,6763365,156,0.000319444444444444,1.59722222222222e-05,6.38888888888889e-05,0,0,0,0
315195,6763365,157,0,0,0,0,0,0,0
315225,6763365,158,8.33333333333333e-05,4.16666666666667e-06,1.66666666666667e-05,0,0,0,0
314865,6763335,162,0,0,0,0,0,0,0
314895,6763335,163,0,0,0,0,0,0,0
314925,6763335,164,0,0,0,0,0,0,0
314955,6763335,165,0,0,0,0,0,0,0
