X,Y,id,snow.auc,snow.av,2022-06-29,2022-07-05,2022-07-18,2022-08-01,2022-08-14
315075,6764055,56,0,0,0,0,0,0,0
315075,6764025,67,0,0,0,0,0,0,0
315105,6764025,68,0,0,0,0,0,0,0
315135,6764025,69,0,0,0,0,0,0,0
315165,6764025,70,0.0967,0.00805833333333333,0.0322333333333333,0,0,0,0
315195,6764025,71,0.376008333333333,0.031325,0.125283333333333,1.66666666666667e-05,0,0,0
315225,6764025,72,0,0,0,0,0,0,0
315255,6764025,73,0,0,0,0,0,0,0
315285,6764025,74,0,0,0,0,0,0,0
315315,6764025,75,0,0,0,0,0,0,0
315345,6764025,76,0.424493055555555,0.0353729166666667,0.141488888888889,2.77777777777778e-06,0,0,0
315375,6764025,77,0.0277166666666667,0.00230972222222222,0.00923888888888889,0,0,0,0
315075,6763995,78,0.000241666666666667,2.01388888888889e-05,8.05555555555556e-05,0,0,0,0
315105,6763995,79,7.5e-05,6.25e-06,2.5e-05,0,0,0,0
315135,6763995,80,0,0,0,0,0,0,0
315165,6763995,81,0,0,0,0,0,0,0
315195,6763995,82,1.18667083333333,0.09336875,0.363283333333333,0.0101916666666667,0,0,0
315225,6763995,83,0.739877777777778,0.0600555555555555,0.237266666666667,0.00295555555555556,0,0,0
315255,6763995,84,0,0,0,0,0,0,0
315285,6763995,85,0,0,0,0,0,0,0
315315,6763995,86,0,0,0,0,0,0,0
315345,6763995,87,0,0,0,0,0,0,0
315375,6763995,88,0.185358333333333,0.0154465277777778,0.0617861111111111,0,0,0,0
315075,6763965,89,0,0,0,0,0,0,0
315105,6763965,90,0,0,0,0,0,0,0
315135,6763965,91,0,0,0,0,0,0,0
315165,6763965,92,0,0,0,0,0,0,0
315195,6763965,93,0,0,0,0,0,0,0
315225,6763965,94,0.611391666666667,0.0509493055555556,0.203797222222222,0,0,0,0
315255,6763965,95,0.324966666666667,0.0270805555555556,0.108322222222222,0,0,0,0
315285,6763965,96,0,0,0,0,0,0,0
315315,6763965,97,0.0133555555555556,0.00110694444444444,0.00441666666666667,1.11111111111111e-05,0,0,0
315345,6763965,98,0.254672222222222,0.0210902777777778,0.0841166666666667,0.000244444444444444,0,0,0
315375,6763965,99,0.601547222222222,0.0367798611111111,0.122475,0.0246444444444444,0,0,0
315075,6763935,100,0.889416666666667,0.0741180555555556,0.296472222222222,0,0,0,0
315105,6763935,101,0.0461666666666667,0.00384722222222222,0.0153888888888889,0,0,0,0
315135,6763935,102,0,0,0,0,0,0,0
315165,6763935,103,0,0,0,0,0,0,0
315195,6763935,104,0.0753166666666667,0.00627638888888889,0.0251055555555556,0,0,0,0
315225,6763935,105,0.352641666666667,0.0293868055555556,0.117547222222222,0,0,0,0
315255,6763935,106,0.034125,0.00284375,0.011375,0,0,0,0
315285,6763935,107,0.501558333333333,0.0417965277777778,0.167186111111111,0,0,0,0
315315,6763935,108,0.00201666666666667,0.000168055555555556,0.000672222222222222,0,0,0,0
315345,6763935,109,9.16666666666667e-05,7.63888888888889e-06,3.05555555555556e-05,0,0,0,0
315375,6763935,110,1.58568888888889,0.100654861111111,0.344491666666667,0.0581277777777778,0,0,0
315075,6763905,111,0.864241666666667,0.0720201388888889,0.288080555555556,0,0,0,0
315105,6763905,112,1.49144166666667,0.124286805555556,0.497147222222222,0,0,0,0
315135,6763905,113,1.047725,0.0873104166666667,0.349241666666667,0,0,0,0
315165,6763905,114,0.13235,0.0110111111111111,0.0440111111111111,3.33333333333333e-05,0,0,0
315195,6763905,115,0,0,0,0,0,0,0
315225,6763905,116,0.093475,0.00778958333333333,0.0311583333333333,0,0,0,0
315255,6763905,117,0.12715,0.0105958333333333,0.0423833333333333,0,0,0,0
315285,6763905,118,0.0274583333333333,0.00228819444444444,0.00915277777777778,0,0,0,0
315315,6763905,119,0.201058333333333,0.0167548611111111,0.0670194444444445,0,0,0,0
315345,6763905,120,0.103469444444444,0.00861041666666667,0.0344194444444444,2.22222222222222e-05,0,0,0
315375,6763905,121,6.67691111111111,0.307122222222222,0.768266666666667,0.460222222222222,0,0,0
315075,6763875,122,0,0,0,0,0,0,0
315105,6763875,123,0.018525,0.00154375,0.006175,0,0,0,0
315135,6763875,124,0.55035,0.0458625,0.18345,0,0,0,0
315165,6763875,125,0.736208333333333,0.0613506944444444,0.245402777777778,0,0,0,0
315195,6763875,126,2.13423194444444,0.152115972222222,0.56095,0.0475138888888889,0,0,0
315225,6763875,127,0.761176388888889,0.0466923611111111,0.155866666666667,0.0309027777777778,0,0,0
315255,6763875,128,0,0,0,0,0,0,0
315285,6763875,129,0,0,0,0,0,0,0
315315,6763875,130,0,0,0,0,0,0,0
315345,6763875,131,0.0337666666666667,0.00281388888888889,0.0112555555555556,0,0,0,0
315375,6763875,132,3.55050694444444,0.15601875,0.365877777777778,0.258197222222222,0,0,0
